# Saved on 2025-06-26T17:30:43.085522
# Name: Shreenidhi
# Sample_ID: Batch3_F5_TPTE11
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1.5e-05
#   ProgramTargetOffset: 1.5e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_400.00 uS,Conductance_Target_500.00 uS,Conductance_Target_600.00 uS,Conductance_Target_700.00 uS,Conductance_Target_800.00 uS,Conductance_Target_900.00 uS,Conductance_Target_1000.00 uS,Conductance_Target_1100.00 uS,Conductance_Target_1200.00 uS,Conductance_Target_1300.00 uS
1.4400000000e-04,3.9237434976e-04,5.2027611673e-04,5.9785408666e-04,6.6602711740e-04,7.7267766756e-04,8.7821674242e-04,9.8513948615e-04,1.0787553765e-03,1.1874517077e-03,1.2755220814e-03
1.1440000000e-03,3.9185211790e-04,5.2363167924e-04,5.9659731050e-04,6.6965541919e-04,7.8158838733e-04,8.7496409833e-04,9.8484735645e-04,1.0766154446e-03,1.1711047409e-03,1.2735203200e-03
2.1440000000e-03,3.9206035581e-04,5.3266310715e-04,5.8887664636e-04,6.6048953158e-04,7.7448821685e-04,8.8169348601e-04,9.8241776868e-04,1.0841886251e-03,1.1817257473e-03,1.2713222532e-03
3.1440000000e-03,3.9797061618e-04,5.3115694755e-04,5.8909678046e-04,6.6522938141e-04,7.7511489508e-04,8.7658270786e-04,9.7446587461e-04,1.0777390708e-03,1.1818222993e-03,1.2824736768e-03
4.1440000000e-03,4.0179555072e-04,5.3669216868e-04,5.8501031162e-04,6.6334083385e-04,7.6989752415e-04,8.7211621576e-04,9.7536874819e-04,1.0784879123e-03,1.1744153744e-03,1.2717180653e-03
5.1440000000e-03,4.0721428377e-04,5.2338709793e-04,5.9951973526e-04,6.7279368523e-04,7.6757198258e-04,8.7379587058e-04,9.7337782790e-04,1.0656510131e-03,1.1813653691e-03,1.2790423352e-03
6.1440000000e-03,3.9560352889e-04,5.2936240536e-04,5.9068548580e-04,6.6440421506e-04,7.6504125900e-04,8.7384491053e-04,9.9343706097e-04,1.0776803538e-03,1.1783897207e-03,1.2779244571e-03
7.1440000000e-03,4.0010516386e-04,5.2789881011e-04,5.9145269915e-04,6.6444015829e-04,7.6533833635e-04,8.7380714831e-04,9.7892567283e-04,1.0707816546e-03,1.1785186507e-03,1.2762425467e-03
8.1440000000e-03,3.9866576117e-04,5.2952498663e-04,5.8810815972e-04,6.6092055931e-04,7.7169192082e-04,8.6645857664e-04,9.8012686067e-04,1.0768655193e-03,1.1709828686e-03,1.2596869783e-03
9.1440000000e-03,4.0585782699e-04,5.3147152357e-04,5.9004833020e-04,6.5610198362e-04,7.6543175965e-04,8.6660460511e-04,9.8119009635e-04,1.0753099923e-03,1.1882446415e-03,1.2700530351e-03
