# Saved on 2025-06-26T18:50:15.286440
# Name: Abir
# Sample_ID: Batch3_F5_TPTE16
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1.5e-05
#   ProgramTargetOffset: 1.5e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S)
1.4400000000e-04,3.7870169763e-04
1.1440000000e-03,3.8439906348e-04
2.1440000000e-03,3.8063011743e-04
3.1440000000e-03,3.8100166421e-04
4.1440000000e-03,3.7667305151e-04
5.1440000000e-03,3.7165482354e-04
6.1440000000e-03,3.7103389332e-04
7.1440000000e-03,3.7466401409e-04
8.1440000000e-03,3.7558958866e-04
9.1440000000e-03,3.6866877053e-04
1.0144000000e-02,3.7271467590e-04
1.1144000000e-02,3.7432062527e-04
1.2144000000e-02,3.8352569391e-04
1.3144000000e-02,3.8234396925e-04
1.4144000000e-02,3.8685764594e-04
1.5144000000e-02,3.8029436837e-04
1.6144000000e-02,3.8083711843e-04
1.7144000000e-02,3.8115817006e-04
1.8144000000e-02,3.8277670683e-04
1.9144000000e-02,3.8146830775e-04
2.0144000000e-02,3.7703692215e-04
2.1144000000e-02,3.7422152673e-04
2.2144000000e-02,3.7011741369e-04
2.3144000000e-02,3.7991536374e-04
2.4144000000e-02,3.7509096728e-04
2.5144000000e-02,3.7531983253e-04
2.6144000000e-02,3.7081732444e-04
2.7144000000e-02,3.7466656067e-04
2.8144000000e-02,3.7533030991e-04
2.9144000000e-02,3.7859015720e-04
3.0144000000e-02,3.8368387322e-04
3.1144000000e-02,3.8446891267e-04
3.2144000000e-02,3.8006874092e-04
3.3144000000e-02,3.8051322917e-04
3.4144000000e-02,3.8540463720e-04
3.5144000000e-02,3.8213034713e-04
3.6144000000e-02,3.8132795453e-04
3.7144000000e-02,3.7260509998e-04
3.8144000000e-02,3.7387886550e-04
3.9144000000e-02,3.6823024857e-04
4.0144000000e-02,3.7605765101e-04
4.1144000000e-02,3.7582041841e-04
4.2144000000e-02,3.7500896724e-04
4.3144000000e-02,3.7324891309e-04
4.4144000000e-02,3.7366920878e-04
4.5144000000e-02,3.7835987314e-04
4.6144000000e-02,3.8121172111e-04
4.7144000000e-02,3.8536167267e-04
4.8144000000e-02,3.7575668102e-04
4.9144000000e-02,3.8011326978e-04
5.0144000000e-02,3.7973637518e-04
