# Saved on 2025-06-18T16:42:33.656757
# Name: Abir
# Sample_ID: Batch3_F5_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.5
#   Reset_Compliance: 0.1
#   SaveData: True
Voltage (V),Current (A)
1.0000000000e+00,1.2030000000e-13
1.1000000000e+00,6.7200000000e-14
1.2000000000e+00,3.9400000000e-14
1.3000000000e+00,1.3800000000e-14
1.4000000000e+00,1.3140000000e-13
1.5000000000e+00,4.3000000000e-14
1.6000000000e+00,1.7000000000e-15
1.7000000000e+00,5.5500000000e-14
1.8000000000e+00,6.7000000000e-14
1.9000000000e+00,4.2900000000e-14
2.0000000000e+00,4.2000000000e-14
