# Saved on 2025-06-18T16:58:01.204765
# Name: Abir
# Sample_ID: Batch3_F5_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.5
#   Reset_Compliance: 0.001
#   SaveData: True
Voltage (V),Current (A)
1.0000000000e+00,1.3913000000e-10
1.0000000000e+00,6.6630000000e-11
1.0000000000e+00,3.4553000000e-10
1.0000000000e+00,3.5690000000e-10
1.0000000000e+00,3.5175000000e-10
1.0000000000e+00,3.5555000000e-10
1.0000000000e+00,3.5289000000e-10
1.0000000000e+00,1.1675000000e-10
1.0000000000e+00,3.0446000000e-10
1.0000000000e+00,2.7740000000e-11
1.0000000000e+00,3.0997000000e-10
1.0000000000e+00,3.5538000000e-10
1.0000000000e+00,3.6607000000e-10
1.0000000000e+00,1.0605000000e-10
1.0000000000e+00,3.2464000000e-10
1.0000000000e+00,3.6008000000e-10
1.0000000000e+00,3.4939000000e-10
1.0000000000e+00,3.5771000000e-10
1.1000000000e+00,2.1170000000e-10
1.1000000000e+00,1.3063000000e-10
1.1000000000e+00,3.2126000000e-10
1.1000000000e+00,4.4312000000e-10
1.1000000000e+00,3.9580000000e-11
1.1000000000e+00,7.5670000000e-11
1.1000000000e+00,4.4960000000e-11
1.1000000000e+00,2.4069000000e-10
1.1000000000e+00,4.5996000000e-10
1.1000000000e+00,4.4900000000e-10
1.1000000000e+00,4.4003000000e-10
1.1000000000e+00,4.5616000000e-10
1.1000000000e+00,7.4270000000e-11
1.1000000000e+00,1.2053000000e-10
1.1000000000e+00,3.2515000000e-10
1.1000000000e+00,4.6403000000e-10
1.1000000000e+00,4.4591000000e-10
1.1000000000e+00,7.9620000000e-11
1.2000000000e+00,1.0985000000e-10
1.2000000000e+00,1.0778000000e-10
1.2000000000e+00,3.4660000000e-11
1.2000000000e+00,3.0360000000e-10
1.2000000000e+00,2.9454000000e-10
1.2000000000e+00,1.0051000000e-10
1.2000000000e+00,1.3807000000e-10
1.2000000000e+00,1.4631000000e-10
1.2000000000e+00,3.5608000000e-10
1.2000000000e+00,4.2138000000e-10
1.2000000000e+00,1.0800000000e-12
1.2000000000e+00,1.8533000000e-10
1.2000000000e+00,1.1908000000e-10
1.2000000000e+00,2.3183000000e-10
1.2000000000e+00,7.8670000000e-11
1.2000000000e+00,3.0311000000e-10
1.2000000000e+00,2.9465000000e-10
1.2000000000e+00,1.6546000000e-10
1.3000000000e+00,8.7010000000e-11
1.3000000000e+00,1.9942000000e-10
1.3000000000e+00,3.7669000000e-10
1.3000000000e+00,4.5135000000e-10
1.3000000000e+00,3.7010000000e-11
1.3000000000e+00,1.5971000000e-10
1.3000000000e+00,1.2358000000e-10
1.3000000000e+00,3.6423000000e-10
1.3000000000e+00,3.9970000000e-11
1.3000000000e+00,4.1840000000e-11
1.3000000000e+00,5.3354000000e-10
1.3000000000e+00,5.3469000000e-10
1.3000000000e+00,1.5626000000e-10
1.3000000000e+00,8.5610000000e-11
1.3000000000e+00,1.8668000000e-10
1.3000000000e+00,5.2912000000e-10
1.3000000000e+00,4.1594000000e-10
1.3000000000e+00,4.2763000000e-10
1.4000000000e+00,2.3448000000e-10
1.4000000000e+00,5.9842000000e-10
1.4000000000e+00,5.9858000000e-10
1.4000000000e+00,1.9566000000e-10
1.4000000000e+00,2.7500000000e-12
1.4000000000e+00,2.7226000000e-10
1.4000000000e+00,3.2845000000e-10
1.4000000000e+00,1.8066000000e-10
1.4000000000e+00,1.1820000000e-11
1.4000000000e+00,6.1080000000e-10
1.4000000000e+00,3.6267000000e-10
1.4000000000e+00,2.4606000000e-10
1.4000000000e+00,1.5959000000e-10
1.4000000000e+00,2.0305000000e-10
1.4000000000e+00,3.6877000000e-10
1.4000000000e+00,5.1786000000e-10
1.4000000000e+00,4.6838000000e-10
1.5000000000e+00,7.3132000000e-10
1.5000000000e+00,2.3029000000e-10
1.5000000000e+00,4.5160000000e-10
1.5000000000e+00,3.4147000000e-10
1.5000000000e+00,1.5853000000e-10
1.5000000000e+00,2.4957000000e-10
1.5000000000e+00,5.8500000000e-11
1.5000000000e+00,4.0573000000e-10
1.5000000000e+00,2.8271000000e-10
1.5000000000e+00,5.0690000000e-10
1.5000000000e+00,4.2265000000e-10
1.5000000000e+00,4.8507000000e-10
1.5000000000e+00,6.3970000000e-10
1.5000000000e+00,1.0556000000e-10
1.5000000000e+00,4.7120000000e-10
1.5000000000e+00,3.3433000000e-10
1.5000000000e+00,1.1356000000e-10
1.5000000000e+00,6.5770000000e-10
1.6000000000e+00,6.3970000000e-10
1.6000000000e+00,6.6761000000e-10
1.6000000000e+00,6.1905000000e-10
1.6000000000e+00,5.4800000000e-10
1.6000000000e+00,9.0730000000e-10
1.6000000000e+00,9.7500000000e-11
1.6000000000e+00,6.0110000000e-10
1.6000000000e+00,3.6900000000e-10
1.6000000000e+00,1.1660000000e-10
1.6000000000e+00,6.6030000000e-10
1.6000000000e+00,4.8550000000e-10
1.6000000000e+00,1.1550000000e-10
1.6000000000e+00,2.1480000000e-10
1.6000000000e+00,6.5680000000e-10
1.6000000000e+00,2.0080000000e-10
1.6000000000e+00,3.3370000000e-10
1.6000000000e+00,4.0820000000e-10
1.6000000000e+00,4.4950000000e-10
1.6000000000e+00,8.7700000000e-11
