# Saved on 2025-06-18T17:07:00.161695
# Name: Abir
# Sample_ID: Batch3_F5_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 2.3
#   Neg_Voltage: -1.5
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,3.5700000000e-10,1.3056000000e-07
-1.5000000000e-02,2.2724000000e-06,3.8464000000e-05
-3.0000000000e-02,4.5230000000e-06,7.4402000000e-05
-4.5000000000e-02,6.9540000000e-06,1.1012000000e-04
-6.0000000000e-02,9.3550000000e-06,1.4550000000e-04
-7.5000000000e-02,1.1774000000e-05,1.8360000000e-04
-9.0000000000e-02,1.4258000000e-05,2.2052000000e-04
-1.0500000000e-01,1.6866000000e-05,2.5728000000e-04
-1.2000000000e-01,1.9574000000e-05,2.9274000000e-04
-1.3500000000e-01,2.2238000000e-05,3.2892000000e-04
-1.5000000000e-01,2.5178000000e-05,3.6614000000e-04
-1.6500000000e-01,2.8124000000e-05,4.0466000000e-04
-1.8000000000e-01,3.1118000000e-05,4.4080000000e-04
-1.9500000000e-01,3.4072000000e-05,4.7760000000e-04
-2.1000000000e-01,3.7676000000e-05,5.1492000000e-04
-2.2500000000e-01,4.0966000000e-05,5.5076000000e-04
-2.4000000000e-01,4.4048000000e-05,5.8660000000e-04
-2.5500000000e-01,4.8072000000e-05,6.2624000000e-04
-2.7000000000e-01,5.1320000000e-05,6.6208000000e-04
-2.8500000000e-01,5.5222000000e-05,6.9752000000e-04
-3.0000000000e-01,5.9310000000e-05,7.3382000000e-04
-3.1500000000e-01,6.3334000000e-05,7.6920000000e-04
-3.3000000000e-01,6.7584000000e-05,8.0664000000e-04
-3.4500000000e-01,7.1950000000e-05,8.4350000000e-04
-3.6000000000e-01,7.6136000000e-05,8.7956000000e-04
-3.7500000000e-01,8.0812000000e-05,9.1516000000e-04
-3.9000000000e-01,8.5934000000e-05,9.5068000000e-04
-4.0500000000e-01,9.0722000000e-05,9.8682000000e-04
-4.2000000000e-01,9.5920000000e-05,1.0250000000e-03
-4.3500000000e-01,1.0142000000e-04,1.0598000000e-03
-4.5000000000e-01,1.0714000000e-04,1.0968000000e-03
-4.6500000000e-01,1.1284000000e-04,1.1314000000e-03
-4.8000000000e-01,1.1880000000e-04,1.1688000000e-03
-4.9500000000e-01,1.2472000000e-04,1.2060000000e-03
-5.1000000000e-01,1.3124000000e-04,1.2398000000e-03
-5.2500000000e-01,1.3718000000e-04,1.2758000000e-03
-5.4000000000e-01,1.4356000000e-04,1.3114000000e-03
-5.5500000000e-01,1.4998000000e-04,1.3458000000e-03
-5.7000000000e-01,1.5700000000e-04,1.3824000000e-03
-5.8500000000e-01,1.6412000000e-04,1.4182000000e-03
-6.0000000000e-01,1.7126000000e-04,1.4538000000e-03
-6.1500000000e-01,1.7928000000e-04,1.4870000000e-03
-6.3000000000e-01,1.8666000000e-04,1.5238000000e-03
-6.4500000000e-01,1.9344000000e-04,1.5588000000e-03
-6.6000000000e-01,2.0248000000e-04,1.5960000000e-03
