# Saved on 2025-06-18T17:09:27.895846
# Name: Abir
# Sample_ID: Batch3_F5_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 0.1
#   Neg_Voltage: -2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 1e-06
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,6.5250000000e-07,0.0000000000e+00
-2.0000000000e-02,6.8068000000e-05,0.0000000000e+00
-4.0000000000e-02,1.3992000000e-04,0.0000000000e+00
-6.0000000000e-02,2.0884000000e-04,0.0000000000e+00
-8.0000000000e-02,2.7502000000e-04,0.0000000000e+00
-1.0000000000e-01,3.4818000000e-04,0.0000000000e+00
-1.2000000000e-01,4.1796000000e-04,0.0000000000e+00
-1.4000000000e-01,4.9000000000e-04,0.0000000000e+00
-1.6000000000e-01,5.5862000000e-04,0.0000000000e+00
-1.8000000000e-01,6.2708000000e-04,0.0000000000e+00
-2.0000000000e-01,7.0084000000e-04,0.0000000000e+00
-2.2000000000e-01,7.6872000000e-04,0.0000000000e+00
-2.4000000000e-01,8.3818000000e-04,0.0000000000e+00
-2.6000000000e-01,9.0808000000e-04,0.0000000000e+00
-2.8000000000e-01,9.7690000000e-04,0.0000000000e+00
-3.0000000000e-01,1.0460000000e-03,0.0000000000e+00
-3.2000000000e-01,1.1170000000e-03,0.0000000000e+00
-3.4000000000e-01,1.1890000000e-03,0.0000000000e+00
-3.6000000000e-01,1.2574000000e-03,0.0000000000e+00
-3.8000000000e-01,1.3262000000e-03,0.0000000000e+00
-4.0000000000e-01,1.3960000000e-03,0.0000000000e+00
-4.2000000000e-01,1.4696000000e-03,0.0000000000e+00
-4.4000000000e-01,1.5366000000e-03,0.0000000000e+00
-4.6000000000e-01,1.6050000000e-03,0.0000000000e+00
-4.8000000000e-01,1.6724000000e-03,0.0000000000e+00
-5.0000000000e-01,1.7432000000e-03,0.0000000000e+00
-5.2000000000e-01,1.8130000000e-03,0.0000000000e+00
-5.4000000000e-01,1.8800000000e-03,0.0000000000e+00
-5.6000000000e-01,1.9480000000e-03,0.0000000000e+00
-5.8000000000e-01,2.0194000000e-03,0.0000000000e+00
-6.0000000000e-01,2.0880000000e-03,0.0000000000e+00
-6.2000000000e-01,2.1578000000e-03,0.0000000000e+00
-6.4000000000e-01,2.2254000000e-03,0.0000000000e+00
-6.6000000000e-01,2.2928000000e-03,0.0000000000e+00
-6.8000000000e-01,2.3654000000e-03,0.0000000000e+00
-7.0000000000e-01,2.4302000000e-03,0.0000000000e+00
-7.2000000000e-01,2.4990000000e-03,0.0000000000e+00
-7.4000000000e-01,2.5670000000e-03,0.0000000000e+00
-7.6000000000e-01,2.6340000000e-03,0.0000000000e+00
-7.8000000000e-01,2.7046000000e-03,0.0000000000e+00
-8.0000000000e-01,2.7694000000e-03,0.0000000000e+00
-8.2000000000e-01,2.8370000000e-03,0.0000000000e+00
-8.4000000000e-01,2.9072000000e-03,0.0000000000e+00
-8.6000000000e-01,2.9740000000e-03,0.0000000000e+00
-8.8000000000e-01,3.0410000000e-03,0.0000000000e+00
-9.0000000000e-01,3.1086000000e-03,0.0000000000e+00
-9.2000000000e-01,3.1780000000e-03,0.0000000000e+00
-9.4000000000e-01,3.2448000000e-03,0.0000000000e+00
-9.6000000000e-01,3.3106000000e-03,0.0000000000e+00
-9.8000000000e-01,3.3752000000e-03,0.0000000000e+00
-1.0000000000e+00,3.4438000000e-03,0.0000000000e+00
-1.0200000000e+00,3.5116000000e-03,0.0000000000e+00
-1.0400000000e+00,3.5766000000e-03,0.0000000000e+00
-1.0600000000e+00,3.6406000000e-03,0.0000000000e+00
-1.0800000000e+00,3.7102000000e-03,0.0000000000e+00
-1.1000000000e+00,3.7766000000e-03,0.0000000000e+00
-1.1200000000e+00,3.8438000000e-03,0.0000000000e+00
-1.1400000000e+00,3.9090000000e-03,0.0000000000e+00
-1.1600000000e+00,3.9734000000e-03,0.0000000000e+00
-1.1800000000e+00,4.0436000000e-03,0.0000000000e+00
