# Saved on 2025-06-18T17:09:05.941874
# Name: Abir
# Sample_ID: Batch3_F5_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 0.1
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,5.5380000000e-07,0.0000000000e+00
-1.1000000000e-02,3.2004000000e-05,0.0000000000e+00
-2.2000000000e-02,6.6062000000e-05,0.0000000000e+00
-3.3000000000e-02,9.8554000000e-05,0.0000000000e+00
-4.4000000000e-02,1.2846000000e-04,0.0000000000e+00
-5.5000000000e-02,1.5852000000e-04,0.0000000000e+00
-6.6000000000e-02,1.9190000000e-04,0.0000000000e+00
-7.7000000000e-02,2.2470000000e-04,0.0000000000e+00
-8.8000000000e-02,2.5588000000e-04,0.0000000000e+00
-9.9000000000e-02,2.8914000000e-04,0.0000000000e+00
-1.1000000000e-01,3.1970000000e-04,0.0000000000e+00
-1.2100000000e-01,3.5028000000e-04,0.0000000000e+00
-1.3200000000e-01,3.8460000000e-04,0.0000000000e+00
-1.4300000000e-01,4.1666000000e-04,0.0000000000e+00
-1.5400000000e-01,4.4920000000e-04,0.0000000000e+00
-1.6500000000e-01,4.8220000000e-04,0.0000000000e+00
-1.7600000000e-01,5.1334000000e-04,0.0000000000e+00
-1.8700000000e-01,5.4488000000e-04,0.0000000000e+00
-1.9800000000e-01,5.7784000000e-04,0.0000000000e+00
-2.0900000000e-01,6.1256000000e-04,0.0000000000e+00
-2.2000000000e-01,6.4322000000e-04,0.0000000000e+00
-2.3100000000e-01,6.7472000000e-04,0.0000000000e+00
-2.4200000000e-01,7.0498000000e-04,0.0000000000e+00
-2.5300000000e-01,7.3788000000e-04,0.0000000000e+00
-2.6400000000e-01,7.7074000000e-04,0.0000000000e+00
-2.7500000000e-01,8.0206000000e-04,0.0000000000e+00
-2.8600000000e-01,8.3592000000e-04,0.0000000000e+00
-2.9700000000e-01,8.6648000000e-04,0.0000000000e+00
-3.0800000000e-01,8.9648000000e-04,0.0000000000e+00
-3.1900000000e-01,9.3028000000e-04,0.0000000000e+00
-3.3000000000e-01,9.6282000000e-04,0.0000000000e+00
-3.4100000000e-01,9.9474000000e-04,0.0000000000e+00
-3.5200000000e-01,1.0270000000e-03,0.0000000000e+00
-3.6300000000e-01,1.0582000000e-03,0.0000000000e+00
-3.7400000000e-01,1.0932000000e-03,0.0000000000e+00
-3.8500000000e-01,1.1242000000e-03,0.0000000000e+00
-3.9600000000e-01,1.1548000000e-03,0.0000000000e+00
-4.0700000000e-01,1.1864000000e-03,0.0000000000e+00
-4.1800000000e-01,1.2166000000e-03,0.0000000000e+00
-4.2900000000e-01,1.2500000000e-03,0.0000000000e+00
-4.4000000000e-01,1.2818000000e-03,0.0000000000e+00
-4.5100000000e-01,1.3130000000e-03,0.0000000000e+00
-4.6200000000e-01,1.3450000000e-03,0.0000000000e+00
-4.7300000000e-01,1.3750000000e-03,0.0000000000e+00
-4.8400000000e-01,1.4064000000e-03,0.0000000000e+00
-4.9500000000e-01,1.4404000000e-03,0.0000000000e+00
-5.0600000000e-01,1.4712000000e-03,0.0000000000e+00
-5.1700000000e-01,1.5024000000e-03,0.0000000000e+00
-5.2800000000e-01,1.5354000000e-03,0.0000000000e+00
-5.3900000000e-01,1.5662000000e-03,0.0000000000e+00
-5.5000000000e-01,1.5964000000e-03,0.0000000000e+00
