# Saved on 2025-06-18T17:09:35.385733
# Name: Abir
# Sample_ID: Batch3_F5_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 0.1
#   Neg_Voltage: -2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 1e-06
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,4.6530000000e-07,0.0000000000e+00
-2.1000000000e-02,7.4502000000e-05,0.0000000000e+00
-4.2000000000e-02,1.5106000000e-04,0.0000000000e+00
-6.3000000000e-02,2.2618000000e-04,0.0000000000e+00
-8.4000000000e-02,3.0162000000e-04,0.0000000000e+00
-1.0500000000e-01,3.7824000000e-04,0.0000000000e+00
-1.2600000000e-01,4.5280000000e-04,0.0000000000e+00
-1.4700000000e-01,5.2742000000e-04,0.0000000000e+00
-1.6800000000e-01,6.0362000000e-04,0.0000000000e+00
-1.8900000000e-01,6.8252000000e-04,0.0000000000e+00
-2.1000000000e-01,7.5678000000e-04,0.0000000000e+00
-2.3100000000e-01,8.3144000000e-04,0.0000000000e+00
-2.5200000000e-01,9.0464000000e-04,0.0000000000e+00
-2.7300000000e-01,9.8066000000e-04,0.0000000000e+00
-2.9400000000e-01,1.0576000000e-03,0.0000000000e+00
-3.1500000000e-01,1.1328000000e-03,0.0000000000e+00
-3.3600000000e-01,1.2062000000e-03,0.0000000000e+00
-3.5700000000e-01,1.2818000000e-03,0.0000000000e+00
-3.7800000000e-01,1.3602000000e-03,0.0000000000e+00
-3.9900000000e-01,1.4340000000e-03,0.0000000000e+00
-4.2000000000e-01,1.5092000000e-03,0.0000000000e+00
-4.4100000000e-01,1.5854000000e-03,0.0000000000e+00
-4.6200000000e-01,1.6594000000e-03,0.0000000000e+00
-4.8300000000e-01,1.7334000000e-03,0.0000000000e+00
-5.0400000000e-01,1.8114000000e-03,0.0000000000e+00
-5.2500000000e-01,1.8870000000e-03,0.0000000000e+00
-5.4600000000e-01,1.9584000000e-03,0.0000000000e+00
-5.6700000000e-01,2.0336000000e-03,0.0000000000e+00
-5.8800000000e-01,2.1060000000e-03,0.0000000000e+00
-6.0900000000e-01,2.1814000000e-03,0.0000000000e+00
-6.3000000000e-01,2.2564000000e-03,0.0000000000e+00
-6.5100000000e-01,2.3296000000e-03,0.0000000000e+00
-6.7200000000e-01,2.4046000000e-03,0.0000000000e+00
-6.9300000000e-01,2.4762000000e-03,0.0000000000e+00
-7.1400000000e-01,2.5486000000e-03,0.0000000000e+00
-7.3500000000e-01,2.6254000000e-03,0.0000000000e+00
-7.5600000000e-01,2.6986000000e-03,0.0000000000e+00
-7.7700000000e-01,2.7714000000e-03,0.0000000000e+00
-7.9800000000e-01,2.8462000000e-03,0.0000000000e+00
-8.1900000000e-01,2.9190000000e-03,0.0000000000e+00
-8.4000000000e-01,2.9906000000e-03,0.0000000000e+00
-8.6100000000e-01,3.0648000000e-03,0.0000000000e+00
-8.8200000000e-01,3.1414000000e-03,0.0000000000e+00
-9.0300000000e-01,3.2110000000e-03,0.0000000000e+00
-9.2400000000e-01,3.2828000000e-03,0.0000000000e+00
-9.4500000000e-01,3.3542000000e-03,0.0000000000e+00
-9.6600000000e-01,3.4272000000e-03,0.0000000000e+00
-9.8700000000e-01,3.4998000000e-03,0.0000000000e+00
-1.0080000000e+00,3.5716000000e-03,0.0000000000e+00
-1.0290000000e+00,3.6452000000e-03,0.0000000000e+00
-1.0500000000e+00,3.7140000000e-03,0.0000000000e+00
-1.0710000000e+00,3.7850000000e-03,0.0000000000e+00
-1.0920000000e+00,3.8588000000e-03,0.0000000000e+00
-1.1130000000e+00,3.9306000000e-03,0.0000000000e+00
-1.1340000000e+00,4.0028000000e-03,0.0000000000e+00
-1.1550000000e+00,4.0736000000e-03,0.0000000000e+00
-1.1760000000e+00,4.1436000000e-03,0.0000000000e+00
-1.1970000000e+00,4.2144000000e-03,0.0000000000e+00
-1.2180000000e+00,4.2854000000e-03,0.0000000000e+00
-1.2390000000e+00,4.3596000000e-03,0.0000000000e+00
-1.2600000000e+00,4.4286000000e-03,0.0000000000e+00
-1.2810000000e+00,4.4980000000e-03,0.0000000000e+00
-1.3020000000e+00,4.5666000000e-03,0.0000000000e+00
-1.3230000000e+00,4.6356000000e-03,0.0000000000e+00
-1.3440000000e+00,4.7072000000e-03,0.0000000000e+00
-1.3650000000e+00,4.7756000000e-03,0.0000000000e+00
-1.3860000000e+00,4.8472000000e-03,0.0000000000e+00
-1.4070000000e+00,4.9170000000e-03,0.0000000000e+00
-1.4280000000e+00,4.9824000000e-03,0.0000000000e+00
-1.4490000000e+00,5.0542000000e-03,0.0000000000e+00
-1.4700000000e+00,5.1240000000e-03,0.0000000000e+00
-1.4910000000e+00,5.1934000000e-03,0.0000000000e+00
-1.5120000000e+00,5.2636000000e-03,0.0000000000e+00
-1.5330000000e+00,5.3282000000e-03,0.0000000000e+00
-1.5540000000e+00,5.3982000000e-03,0.0000000000e+00
-1.5750000000e+00,5.4682000000e-03,0.0000000000e+00
-1.5960000000e+00,5.5376000000e-03,0.0000000000e+00
-1.6170000000e+00,5.6072000000e-03,0.0000000000e+00
-1.6380000000e+00,5.6766000000e-03,0.0000000000e+00
-1.6590000000e+00,5.7402000000e-03,0.0000000000e+00
-1.6800000000e+00,5.8100000000e-03,0.0000000000e+00
-1.7010000000e+00,5.8754000000e-03,0.0000000000e+00
-1.7220000000e+00,5.9450000000e-03,0.0000000000e+00
-1.7430000000e+00,6.0120000000e-03,0.0000000000e+00
-1.7640000000e+00,6.0830000000e-03,0.0000000000e+00
-1.7850000000e+00,6.1458000000e-03,0.0000000000e+00
-1.8060000000e+00,6.2098000000e-03,0.0000000000e+00
-1.8270000000e+00,6.2848000000e-03,0.0000000000e+00
-1.8480000000e+00,6.3478000000e-03,0.0000000000e+00
-1.8690000000e+00,6.4124000000e-03,0.0000000000e+00
-1.8900000000e+00,6.4814000000e-03,0.0000000000e+00
-1.9110000000e+00,6.5462000000e-03,0.0000000000e+00
-1.9320000000e+00,6.6142000000e-03,0.0000000000e+00
-1.9530000000e+00,6.6876000000e-03,0.0000000000e+00
-1.9740000000e+00,6.7564000000e-03,0.0000000000e+00
-1.9950000000e+00,6.8104000000e-03,0.0000000000e+00
-2.0160000000e+00,6.8844000000e-03,0.0000000000e+00
-2.0370000000e+00,6.9450000000e-03,0.0000000000e+00
-2.0580000000e+00,7.0214000000e-03,0.0000000000e+00
-2.0790000000e+00,7.0796000000e-03,0.0000000000e+00
-2.1000000000e+00,7.1378000000e-03,0.0000000000e+00
