# Saved on 2025-06-18T17:39:15.899298
# Name: Abir
# Sample_ID: Batch3_F5_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,4.1430000000e-09,0.0000000000e+00
-1.0000000000e-02,4.4662000000e-07,0.0000000000e+00
-2.0000000000e-02,8.9142000000e-07,0.0000000000e+00
-3.0000000000e-02,1.3778000000e-06,0.0000000000e+00
-4.0000000000e-02,1.8373000000e-06,0.0000000000e+00
-5.0000000000e-02,2.3066000000e-06,0.0000000000e+00
-6.0000000000e-02,2.8043000000e-06,0.0000000000e+00
-7.0000000000e-02,3.3497000000e-06,0.0000000000e+00
-8.0000000000e-02,3.9023000000e-06,0.0000000000e+00
-9.0000000000e-02,4.3914000000e-06,0.0000000000e+00
-1.0000000000e-01,4.9423000000e-06,0.0000000000e+00
-1.1000000000e-01,5.5520000000e-06,0.0000000000e+00
-1.2000000000e-01,4.5086000000e-06,0.0000000000e+00
-1.3000000000e-01,4.9910000000e-06,0.0000000000e+00
-1.4000000000e-01,5.4099000000e-06,0.0000000000e+00
-1.5000000000e-01,8.0620000000e-06,0.0000000000e+00
-1.6000000000e-01,8.6974000000e-06,0.0000000000e+00
-1.7000000000e-01,9.3616000000e-06,0.0000000000e+00
-1.8000000000e-01,1.0112000000e-05,0.0000000000e+00
-1.9000000000e-01,1.0864000000e-05,0.0000000000e+00
-2.0000000000e-01,1.1606000000e-05,0.0000000000e+00
-2.1000000000e-01,9.1287000000e-06,0.0000000000e+00
-2.2000000000e-01,9.6823000000e-06,0.0000000000e+00
-2.3000000000e-01,1.0308000000e-05,0.0000000000e+00
-2.4000000000e-01,1.0916000000e-05,0.0000000000e+00
-2.5000000000e-01,1.1580000000e-05,0.0000000000e+00
-2.6000000000e-01,1.2256000000e-05,0.0000000000e+00
-2.7000000000e-01,1.2904000000e-05,0.0000000000e+00
-2.8000000000e-01,1.3358000000e-05,0.0000000000e+00
-2.9000000000e-01,1.4076000000e-05,0.0000000000e+00
-3.0000000000e-01,1.4904000000e-05,0.0000000000e+00
-3.1000000000e-01,1.5570000000e-05,0.0000000000e+00
-3.2000000000e-01,1.6366000000e-05,0.0000000000e+00
-3.3000000000e-01,1.7122000000e-05,0.0000000000e+00
-3.4000000000e-01,1.7806000000e-05,0.0000000000e+00
-3.5000000000e-01,1.8624000000e-05,0.0000000000e+00
-3.6000000000e-01,1.9476000000e-05,0.0000000000e+00
-3.7000000000e-01,2.0382000000e-05,0.0000000000e+00
-3.8000000000e-01,2.1380000000e-05,0.0000000000e+00
-3.9000000000e-01,2.2290000000e-05,0.0000000000e+00
-4.0000000000e-01,2.3298000000e-05,0.0000000000e+00
-4.1000000000e-01,2.4222000000e-05,0.0000000000e+00
-4.2000000000e-01,2.5026000000e-05,0.0000000000e+00
-4.3000000000e-01,2.6324000000e-05,0.0000000000e+00
-4.4000000000e-01,2.7348000000e-05,0.0000000000e+00
-4.5000000000e-01,2.8386000000e-05,0.0000000000e+00
-4.6000000000e-01,2.9640000000e-05,0.0000000000e+00
-4.7000000000e-01,3.0764000000e-05,0.0000000000e+00
-4.8000000000e-01,3.1954000000e-05,0.0000000000e+00
-4.9000000000e-01,3.3284000000e-05,0.0000000000e+00
-5.0000000000e-01,3.4422000000e-05,0.0000000000e+00
-5.1000000000e-01,3.5770000000e-05,0.0000000000e+00
-5.2000000000e-01,3.7284000000e-05,0.0000000000e+00
-5.3000000000e-01,3.8056000000e-05,0.0000000000e+00
-5.4000000000e-01,3.9544000000e-05,0.0000000000e+00
-5.5000000000e-01,4.1194000000e-05,0.0000000000e+00
-5.6000000000e-01,4.3492000000e-05,0.0000000000e+00
-5.7000000000e-01,4.5192000000e-05,0.0000000000e+00
-5.8000000000e-01,4.6988000000e-05,0.0000000000e+00
-5.9000000000e-01,4.8644000000e-05,0.0000000000e+00
-6.0000000000e-01,5.0862000000e-05,0.0000000000e+00
-6.1000000000e-01,5.2830000000e-05,0.0000000000e+00
-6.2000000000e-01,5.4848000000e-05,0.0000000000e+00
-6.3000000000e-01,5.6732000000e-05,0.0000000000e+00
-6.4000000000e-01,5.9294000000e-05,0.0000000000e+00
-6.5000000000e-01,6.1580000000e-05,0.0000000000e+00
-6.6000000000e-01,6.3586000000e-05,0.0000000000e+00
-6.7000000000e-01,6.6402000000e-05,0.0000000000e+00
-6.8000000000e-01,6.8354000000e-05,0.0000000000e+00
-6.9000000000e-01,7.1410000000e-05,0.0000000000e+00
-7.0000000000e-01,7.4020000000e-05,0.0000000000e+00
-7.1000000000e-01,7.6502000000e-05,0.0000000000e+00
-7.2000000000e-01,7.9900000000e-05,0.0000000000e+00
-7.3000000000e-01,8.2388000000e-05,0.0000000000e+00
-7.4000000000e-01,8.5302000000e-05,0.0000000000e+00
-7.5000000000e-01,8.7916000000e-05,0.0000000000e+00
-7.6000000000e-01,9.1344000000e-05,0.0000000000e+00
-7.7000000000e-01,9.5834000000e-05,0.0000000000e+00
-7.8000000000e-01,9.8868000000e-05,0.0000000000e+00
-7.9000000000e-01,1.0172000000e-04,0.0000000000e+00
-8.0000000000e-01,1.0894000000e-04,0.0000000000e+00
-8.1000000000e-01,1.1322000000e-04,0.0000000000e+00
-8.2000000000e-01,1.1754000000e-04,0.0000000000e+00
-8.3000000000e-01,1.1814000000e-04,0.0000000000e+00
-8.4000000000e-01,1.2792000000e-04,0.0000000000e+00
-8.5000000000e-01,1.3180000000e-04,0.0000000000e+00
-8.6000000000e-01,1.3780000000e-04,0.0000000000e+00
-8.7000000000e-01,1.4598000000e-04,0.0000000000e+00
-8.8000000000e-01,1.4210000000e-04,0.0000000000e+00
-8.9000000000e-01,1.5260000000e-04,0.0000000000e+00
-9.0000000000e-01,1.5906000000e-04,0.0000000000e+00
-9.1000000000e-01,1.6636000000e-04,0.0000000000e+00
-9.2000000000e-01,1.7942000000e-04,0.0000000000e+00
-9.3000000000e-01,1.8934000000e-04,0.0000000000e+00
-9.4000000000e-01,1.8394000000e-04,0.0000000000e+00
-9.5000000000e-01,1.9966000000e-04,0.0000000000e+00
-9.6000000000e-01,2.3212000000e-04,0.0000000000e+00
-9.7000000000e-01,2.3456000000e-04,0.0000000000e+00
-9.8000000000e-01,2.4766000000e-04,0.0000000000e+00
-9.9000000000e-01,2.9284000000e-04,0.0000000000e+00
-1.0000000000e+00,3.3272000000e-04,0.0000000000e+00
-1.0000000000e+00,4.1912000000e-04,0.0000000000e+00
-9.9000000000e-01,4.4230000000e-04,0.0000000000e+00
-9.8000000000e-01,7.3612000000e-04,0.0000000000e+00
-9.7000000000e-01,2.7472000000e-04,0.0000000000e+00
-9.6000000000e-01,2.5912000000e-04,0.0000000000e+00
-9.5000000000e-01,2.5612000000e-04,0.0000000000e+00
-9.4000000000e-01,5.5468000000e-04,0.0000000000e+00
-9.3000000000e-01,3.0986000000e-04,0.0000000000e+00
-9.2000000000e-01,2.6236000000e-04,0.0000000000e+00
-9.1000000000e-01,2.6220000000e-04,0.0000000000e+00
-9.0000000000e-01,4.5790000000e-04,0.0000000000e+00
-8.9000000000e-01,6.5136000000e-04,0.0000000000e+00
-8.8000000000e-01,6.4146000000e-04,0.0000000000e+00
-8.7000000000e-01,6.6864000000e-04,0.0000000000e+00
-8.6000000000e-01,6.6538000000e-04,0.0000000000e+00
-8.5000000000e-01,5.9656000000e-04,0.0000000000e+00
-8.4000000000e-01,6.4816000000e-04,0.0000000000e+00
-8.3000000000e-01,6.6298000000e-04,0.0000000000e+00
-8.2000000000e-01,6.4208000000e-04,0.0000000000e+00
-8.1000000000e-01,6.4912000000e-04,0.0000000000e+00
-8.0000000000e-01,6.9858000000e-04,0.0000000000e+00
-7.9000000000e-01,6.8346000000e-04,0.0000000000e+00
-7.8000000000e-01,7.1634000000e-04,0.0000000000e+00
-7.7000000000e-01,7.7426000000e-04,0.0000000000e+00
-7.6000000000e-01,8.7576000000e-04,0.0000000000e+00
-7.5000000000e-01,8.4890000000e-04,0.0000000000e+00
-7.4000000000e-01,8.3104000000e-04,0.0000000000e+00
-7.3000000000e-01,9.2200000000e-04,0.0000000000e+00
-7.2000000000e-01,9.2664000000e-04,0.0000000000e+00
