# Saved on 2025-06-18T17:40:00.874990
# Name: Abir
# Sample_ID: Batch3_F5_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,3.7100000000e-10,6.0900000000e-10
-1.0000000000e-02,6.8256000000e-07,1.2436000000e-06
-2.0000000000e-02,1.2906000000e-06,2.4558000000e-06
-3.0000000000e-02,1.9308000000e-06,3.6750000000e-06
-4.0000000000e-02,2.5808000000e-06,4.9507000000e-06
-5.0000000000e-02,3.1514000000e-06,6.2250000000e-06
-6.0000000000e-02,3.5891000000e-06,7.6071000000e-06
-7.0000000000e-02,4.1469000000e-06,8.9615000000e-06
-8.0000000000e-02,4.7565000000e-06,9.0720000000e-06
-9.0000000000e-02,5.4044000000e-06,1.0718000000e-05
-1.0000000000e-01,5.9790000000e-06,1.0964000000e-05
-1.1000000000e-01,6.5786000000e-06,1.2234000000e-05
-1.2000000000e-01,7.2101000000e-06,1.3458000000e-05
-1.3000000000e-01,7.9167000000e-06,1.4700000000e-05
-1.4000000000e-01,8.6119000000e-06,1.6180000000e-05
-1.5000000000e-01,9.3201000000e-06,1.7388000000e-05
-1.6000000000e-01,1.0034000000e-05,1.8792000000e-05
-1.7000000000e-01,1.0566000000e-05,2.0168000000e-05
-1.8000000000e-01,1.1444000000e-05,2.1628000000e-05
-1.9000000000e-01,1.2252000000e-05,2.3038000000e-05
-2.0000000000e-01,1.3064000000e-05,2.4170000000e-05
-2.1000000000e-01,1.2430000000e-05,2.6012000000e-05
-2.2000000000e-01,1.4578000000e-05,2.7758000000e-05
-2.3000000000e-01,1.5150000000e-05,2.9304000000e-05
-2.4000000000e-01,1.4594000000e-05,3.0102000000e-05
-2.5000000000e-01,1.4880000000e-05,3.1722000000e-05
-2.6000000000e-01,1.6036000000e-05,3.4204000000e-05
-2.7000000000e-01,1.6548000000e-05,3.4850000000e-05
-2.8000000000e-01,1.7336000000e-05,3.6462000000e-05
-2.9000000000e-01,1.8100000000e-05,3.8572000000e-05
-3.0000000000e-01,1.9128000000e-05,4.0050000000e-05
-3.1000000000e-01,1.9782000000e-05,4.1996000000e-05
-3.2000000000e-01,2.0698000000e-05,4.3832000000e-05
-3.3000000000e-01,2.1566000000e-05,4.5620000000e-05
-3.4000000000e-01,2.2464000000e-05,4.7616000000e-05
-3.5000000000e-01,2.3304000000e-05,4.9490000000e-05
-3.6000000000e-01,2.4066000000e-05,5.1508000000e-05
-3.7000000000e-01,2.5028000000e-05,5.3696000000e-05
-3.8000000000e-01,2.5988000000e-05,5.5520000000e-05
-3.9000000000e-01,2.6960000000e-05,5.7616000000e-05
-4.0000000000e-01,2.7890000000e-05,6.0066000000e-05
-4.1000000000e-01,2.8978000000e-05,6.2038000000e-05
-4.2000000000e-01,3.0046000000e-05,6.4030000000e-05
-4.3000000000e-01,3.1002000000e-05,6.6406000000e-05
-4.4000000000e-01,3.1900000000e-05,6.8614000000e-05
-4.5000000000e-01,3.2966000000e-05,6.9590000000e-05
-4.6000000000e-01,3.3752000000e-05,7.3418000000e-05
-4.7000000000e-01,3.4208000000e-05,7.5890000000e-05
