# Saved on 2025-06-18T17:41:03.386974
# Name: Abir
# Sample_ID: Batch3_F5_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A),Loop 4 (A),Loop 5 (A)
0.0000000000e+00,9.9210000000e-09,1.7282000000e-08,2.5125000000e-08,5.8600000000e-09,3.8430000000e-09
-1.0000000000e-02,8.8952000000e-07,1.1331000000e-06,9.8802000000e-07,4.9966000000e-07,4.9698000000e-07
-2.0000000000e-02,1.8092000000e-06,2.1849000000e-06,1.8831000000e-06,1.0404000000e-06,8.8362000000e-07
-3.0000000000e-02,2.7070000000e-06,3.2069000000e-06,2.9175000000e-06,1.5150000000e-06,1.3529000000e-06
-4.0000000000e-02,3.6772000000e-06,4.3245000000e-06,3.8973000000e-06,2.0445000000e-06,1.7404000000e-06
-5.0000000000e-02,4.5950000000e-06,5.4855000000e-06,4.9400000000e-06,2.6222000000e-06,2.2979000000e-06
-6.0000000000e-02,5.5448000000e-06,6.6854000000e-06,5.8847000000e-06,3.1501000000e-06,2.7341000000e-06
-7.0000000000e-02,6.6581000000e-06,7.8602000000e-06,6.8882000000e-06,3.6451000000e-06,3.1831000000e-06
-8.0000000000e-02,7.5960000000e-06,8.9882000000e-06,7.9947000000e-06,4.1649000000e-06,3.6488000000e-06
-9.0000000000e-02,8.7369000000e-06,1.0132000000e-05,8.9964000000e-06,4.8209000000e-06,4.1117000000e-06
-1.0000000000e-01,9.7976000000e-06,1.1270000000e-05,1.0042000000e-05,5.3795000000e-06,4.5992000000e-06
-1.1000000000e-01,1.0984000000e-05,1.2686000000e-05,1.1220000000e-05,5.9159000000e-06,5.1224000000e-06
-1.2000000000e-01,1.2116000000e-05,1.3800000000e-05,1.2398000000e-05,6.5022000000e-06,5.6283000000e-06
-1.3000000000e-01,1.3234000000e-05,1.5854000000e-05,1.3536000000e-05,7.1389000000e-06,6.2137000000e-06
-1.4000000000e-01,1.4450000000e-05,1.6620000000e-05,1.4558000000e-05,7.7105000000e-06,6.7698000000e-06
-1.5000000000e-01,1.5578000000e-05,1.6738000000e-05,1.5698000000e-05,8.4708000000e-06,7.3738000000e-06
-1.6000000000e-01,1.6798000000e-05,1.6414000000e-05,1.6806000000e-05,9.0682000000e-06,7.9118000000e-06
-1.7000000000e-01,1.8098000000e-05,1.8044000000e-05,1.8014000000e-05,9.8160000000e-06,8.5367000000e-06
-1.8000000000e-01,1.9392000000e-05,1.8622000000e-05,1.9204000000e-05,1.0336000000e-05,9.1075000000e-06
-1.9000000000e-01,2.0620000000e-05,1.8970000000e-05,1.9878000000e-05,1.1204000000e-05,9.7809000000e-06
-2.0000000000e-01,2.1998000000e-05,2.0390000000e-05,2.1514000000e-05,1.1830000000e-05,1.0448000000e-05
-2.1000000000e-01,2.3252000000e-05,2.1766000000e-05,2.2590000000e-05,1.2700000000e-05,1.1088000000e-05
-2.2000000000e-01,2.4592000000e-05,2.2026000000e-05,2.3610000000e-05,1.3400000000e-05,1.1776000000e-05
-2.3000000000e-01,2.6094000000e-05,2.4194000000e-05,2.4880000000e-05,1.3908000000e-05,1.2516000000e-05
-2.4000000000e-01,2.7568000000e-05,2.4960000000e-05,2.6650000000e-05,1.4720000000e-05,1.3130000000e-05
-2.5000000000e-01,2.8974000000e-05,2.5492000000e-05,2.7684000000e-05,1.5466000000e-05,1.4022000000e-05
-2.6000000000e-01,3.0448000000e-05,2.7600000000e-05,2.9900000000e-05,1.6402000000e-05,1.4638000000e-05
-2.7000000000e-01,3.1874000000e-05,2.8004000000e-05,3.1668000000e-05,1.7234000000e-05,1.5304000000e-05
-2.8000000000e-01,3.3342000000e-05,2.9548000000e-05,2.8532000000e-05,1.8126000000e-05,1.6194000000e-05
-2.9000000000e-01,3.4868000000e-05,3.1746000000e-05,3.0010000000e-05,1.8964000000e-05,1.6900000000e-05
-3.0000000000e-01,3.6362000000e-05,3.2830000000e-05,3.1216000000e-05,1.9546000000e-05,1.7714000000e-05
-3.1000000000e-01,3.7892000000e-05,3.3832000000e-05,3.2514000000e-05,2.0608000000e-05,1.8580000000e-05
-3.2000000000e-01,3.9446000000e-05,3.5832000000e-05,3.3600000000e-05,2.1678000000e-05,1.9394000000e-05
-3.3000000000e-01,4.1076000000e-05,3.7146000000e-05,3.4274000000e-05,2.2530000000e-05,2.0248000000e-05
-3.4000000000e-01,4.2780000000e-05,3.9944000000e-05,3.6252000000e-05,2.3260000000e-05,2.1146000000e-05
-3.5000000000e-01,4.4450000000e-05,4.1846000000e-05,3.7378000000e-05,2.4336000000e-05,2.2000000000e-05
-3.6000000000e-01,4.6062000000e-05,4.4110000000e-05,3.8470000000e-05,2.5242000000e-05,2.3138000000e-05
-3.7000000000e-01,4.7888000000e-05,4.5460000000e-05,3.9880000000e-05,2.5190000000e-05,2.4128000000e-05
-3.8000000000e-01,4.9680000000e-05,4.5776000000e-05,4.1908000000e-05,2.7166000000e-05,2.5194000000e-05
-3.9000000000e-01,5.1520000000e-05,4.9140000000e-05,4.3678000000e-05,2.7208000000e-05,2.6150000000e-05
-4.0000000000e-01,5.3482000000e-05,5.1840000000e-05,4.5164000000e-05,2.8560000000e-05,2.7284000000e-05
-4.1000000000e-01,5.5412000000e-05,5.3204000000e-05,4.6252000000e-05,2.9078000000e-05,2.8384000000e-05
-4.2000000000e-01,5.7276000000e-05,5.6296000000e-05,4.8804000000e-05,3.0318000000e-05,2.9548000000e-05
-4.3000000000e-01,5.9408000000e-05,5.8370000000e-05,5.0660000000e-05,3.1334000000e-05,3.0696000000e-05
-4.4000000000e-01,6.1494000000e-05,5.9194000000e-05,5.1916000000e-05,3.2512000000e-05,3.2024000000e-05
-4.5000000000e-01,6.3532000000e-05,6.2948000000e-05,5.3676000000e-05,3.3448000000e-05,3.3584000000e-05
-4.6000000000e-01,6.5744000000e-05,6.5552000000e-05,5.6094000000e-05,3.5118000000e-05,3.4710000000e-05
-4.7000000000e-01,6.7994000000e-05,6.7796000000e-05,5.8444000000e-05,3.6430000000e-05,3.5806000000e-05
-4.8000000000e-01,7.0156000000e-05,7.0252000000e-05,6.0132000000e-05,3.8150000000e-05,3.7226000000e-05
-4.9000000000e-01,7.2378000000e-05,7.2684000000e-05,6.2286000000e-05,3.9520000000e-05,3.8732000000e-05
-5.0000000000e-01,7.4830000000e-05,7.6422000000e-05,6.4404000000e-05,4.0796000000e-05,4.0232000000e-05
-5.1000000000e-01,7.7256000000e-05,7.9260000000e-05,6.6360000000e-05,4.2334000000e-05,4.1434000000e-05
-5.2000000000e-01,7.9880000000e-05,8.0338000000e-05,6.9070000000e-05,4.3716000000e-05,4.3390000000e-05
-5.3000000000e-01,8.2702000000e-05,8.3624000000e-05,7.1556000000e-05,4.5382000000e-05,4.5072000000e-05
-5.4000000000e-01,8.4400000000e-05,8.6378000000e-05,7.3972000000e-05,4.6502000000e-05,4.7038000000e-05
-5.5000000000e-01,8.8136000000e-05,8.9586000000e-05,7.6472000000e-05,4.8380000000e-05,4.8742000000e-05
-5.6000000000e-01,9.0926000000e-05,9.2120000000e-05,7.9294000000e-05,5.0060000000e-05,5.0614000000e-05
-5.7000000000e-01,8.9916000000e-05,9.5162000000e-05,8.1734000000e-05,5.1778000000e-05,5.2538000000e-05
-5.8000000000e-01,9.6830000000e-05,9.8912000000e-05,8.4308000000e-05,5.3512000000e-05,5.4008000000e-05
-5.9000000000e-01,9.9802000000e-05,1.0236000000e-04,8.7774000000e-05,5.5126000000e-05,5.6262000000e-05
-6.0000000000e-01,1.0758000000e-04,1.0568000000e-04,9.0600000000e-05,5.6856000000e-05,5.8564000000e-05
-6.1000000000e-01,1.0988000000e-04,1.0918000000e-04,9.3818000000e-05,5.9052000000e-05,6.1258000000e-05
-6.2000000000e-01,1.1314000000e-04,1.1286000000e-04,9.6962000000e-05,6.1258000000e-05,6.3638000000e-05
-6.3000000000e-01,1.1320000000e-04,1.1642000000e-04,1.0036000000e-04,6.3064000000e-05,6.6256000000e-05
-6.4000000000e-01,1.1606000000e-04,1.2000000000e-04,1.0328000000e-04,6.5614000000e-05,6.8964000000e-05
-6.5000000000e-01,1.1988000000e-04,1.2380000000e-04,1.0670000000e-04,6.8012000000e-05,7.1148000000e-05
-6.6000000000e-01,1.2380000000e-04,1.2958000000e-04,1.0916000000e-04,7.0566000000e-05,7.3598000000e-05
-6.7000000000e-01,1.2768000000e-04,1.3420000000e-04,1.1158000000e-04,7.3156000000e-05,7.6654000000e-05
-6.8000000000e-01,1.3204000000e-04,1.3812000000e-04,1.1742000000e-04,7.5590000000e-05,7.9112000000e-05
-6.9000000000e-01,1.3464000000e-04,1.4294000000e-04,1.2078000000e-04,7.8452000000e-05,8.2268000000e-05
-7.0000000000e-01,1.4000000000e-04,1.4716000000e-04,1.2260000000e-04,8.1192000000e-05,8.5106000000e-05
-7.1000000000e-01,1.4500000000e-04,1.5350000000e-04,1.2902000000e-04,8.4228000000e-05,8.8132000000e-05
-7.2000000000e-01,1.4288000000e-04,1.5984000000e-04,1.4006000000e-04,8.7728000000e-05,9.1720000000e-05
-7.3000000000e-01,1.6676000000e-04,1.6526000000e-04,1.3716000000e-04,9.0876000000e-05,9.5672000000e-05
-7.4000000000e-01,1.7600000000e-04,1.7126000000e-04,1.4654000000e-04,9.4334000000e-05,9.9330000000e-05
-7.5000000000e-01,1.8268000000e-04,1.7670000000e-04,1.5030000000e-04,9.7818000000e-05,1.0292000000e-04
-7.6000000000e-01,1.8822000000e-04,1.8320000000e-04,1.4810000000e-04,1.0144000000e-04,1.0692000000e-04
-7.7000000000e-01,1.9276000000e-04,1.9112000000e-04,1.5194000000e-04,1.0530000000e-04,1.1180000000e-04
-7.8000000000e-01,1.9294000000e-04,1.9732000000e-04,1.5950000000e-04,1.0944000000e-04,1.1592000000e-04
-7.9000000000e-01,2.1026000000e-04,2.0490000000e-04,1.6494000000e-04,1.1378000000e-04,1.2058000000e-04
-8.0000000000e-01,2.1756000000e-04,2.1352000000e-04,1.7040000000e-04,1.1776000000e-04,1.2548000000e-04
-8.1000000000e-01,2.0996000000e-04,2.2348000000e-04,1.6844000000e-04,1.2252000000e-04,1.3366000000e-04
-8.2000000000e-01,2.1608000000e-04,2.3254000000e-04,1.8130000000e-04,1.2676000000e-04,1.3594000000e-04
-8.3000000000e-01,2.3078000000e-04,2.4228000000e-04,1.9260000000e-04,1.3284000000e-04,1.4366000000e-04
-8.4000000000e-01,2.4288000000e-04,2.4774000000e-04,1.6414000000e-04,1.3810000000e-04,1.5008000000e-04
-8.5000000000e-01,2.4832000000e-04,2.6082000000e-04,2.0768000000e-04,1.4506000000e-04,1.5692000000e-04
-8.6000000000e-01,2.6586000000e-04,2.5312000000e-04,1.8484000000e-04,1.4918000000e-04,1.5950000000e-04
-8.7000000000e-01,2.7798000000e-04,2.8530000000e-04,1.7988000000e-04,1.5606000000e-04,1.6256000000e-04
-8.8000000000e-01,2.9108000000e-04,2.8344000000e-04,2.4986000000e-04,1.6442000000e-04,1.7878000000e-04
-8.9000000000e-01,3.0404000000e-04,3.0348000000e-04,2.4940000000e-04,1.7024000000e-04,1.8828000000e-04
-9.0000000000e-01,3.0738000000e-04,3.4770000000e-04,2.7706000000e-04,1.8032000000e-04,1.9778000000e-04
-9.1000000000e-01,3.2976000000e-04,3.4008000000e-04,2.7872000000e-04,1.8910000000e-04,2.0758000000e-04
-9.2000000000e-01,3.4214000000e-04,3.7822000000e-04,2.8944000000e-04,1.9794000000e-04,2.1622000000e-04
-9.3000000000e-01,3.4832000000e-04,3.7524000000e-04,2.3914000000e-04,2.1208000000e-04,2.4384000000e-04
-9.4000000000e-01,3.7222000000e-04,3.8440000000e-04,2.5028000000e-04,2.2238000000e-04,2.4232000000e-04
-9.5000000000e-01,4.0044000000e-04,4.0934000000e-04,2.9996000000e-04,2.4302000000e-04,2.9722000000e-04
