# Saved on 2025-06-18T17:49:37.110306
# Name: Abir
# Sample_ID: Batch3_F5_TPTE38
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1
#   Reset_Compliance: 0.1
#   SaveData: True
Voltage (V),Current (A)
1.0000000000e+00,3.8170000000e-10
1.0000000000e+00,3.6590000000e-11
1.0000000000e+00,2.4970000000e-11
1.0000000000e+00,1.9056000000e-10
1.0000000000e+00,2.2018000000e-10
1.0000000000e+00,3.6974000000e-10
1.0000000000e+00,3.5973000000e-10
1.0000000000e+00,3.6709000000e-10
1.0000000000e+00,1.3856000000e-10
1.0000000000e+00,3.6173000000e-10
1.0000000000e+00,3.2644000000e-10
1.0000000000e+00,3.8778000000e-10
1.0000000000e+00,3.3098000000e-10
1.0000000000e+00,3.1870000000e-11
1.0000000000e+00,2.7795000000e-10
1.0000000000e+00,1.0409000000e-10
1.0000000000e+00,1.3137000000e-10
1.0000000000e+00,3.6603000000e-10
1.1000000000e+00,3.5363000000e-10
1.1000000000e+00,3.5761000000e-10
1.1000000000e+00,4.5200000000e-11
1.1000000000e+00,3.9103000000e-10
1.1000000000e+00,2.3853000000e-10
1.1000000000e+00,7.1300000000e-11
1.1000000000e+00,3.6077000000e-10
1.1000000000e+00,3.5181000000e-10
1.1000000000e+00,2.9772000000e-10
1.1000000000e+00,1.2345000000e-10
1.1000000000e+00,7.1910000000e-11
1.1000000000e+00,2.7105000000e-10
1.1000000000e+00,4.4850000000e-11
1.1000000000e+00,3.0253000000e-10
1.1000000000e+00,3.5054000000e-10
1.1000000000e+00,3.6292000000e-10
1.1000000000e+00,2.5528000000e-10
1.1000000000e+00,7.7870000000e-11
1.2000000000e+00,3.4889000000e-10
1.2000000000e+00,6.1650000000e-11
1.2000000000e+00,3.3988000000e-10
1.2000000000e+00,3.1210000000e-11
1.2000000000e+00,4.0433000000e-10
1.2000000000e+00,2.2468000000e-10
1.2000000000e+00,4.0800000000e-10
1.2000000000e+00,3.5517000000e-10
1.2000000000e+00,3.1990000000e-11
1.2000000000e+00,4.1351000000e-10
1.2000000000e+00,1.1809000000e-10
1.2000000000e+00,7.4710000000e-11
1.2000000000e+00,2.8725000000e-10
1.2000000000e+00,4.3490000000e-11
1.2000000000e+00,3.5287000000e-10
