# Saved on 2025-06-18T17:51:55.860888
# Name: Abir
# Sample_ID: Batch3_F5_TPTE38
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,3.6650000000e-07,0.0000000000e+00
-1.0000000000e-02,3.4708000000e-05,0.0000000000e+00
-2.0000000000e-02,6.6606000000e-05,0.0000000000e+00
-3.0000000000e-02,1.0058800000e-04,0.0000000000e+00
-4.0000000000e-02,1.3116000000e-04,0.0000000000e+00
-5.0000000000e-02,1.6418000000e-04,0.0000000000e+00
-6.0000000000e-02,1.9512000000e-04,0.0000000000e+00
-7.0000000000e-02,2.2946000000e-04,0.0000000000e+00
-8.0000000000e-02,2.6262000000e-04,0.0000000000e+00
-9.0000000000e-02,2.9500000000e-04,0.0000000000e+00
-1.0000000000e-01,3.2484000000e-04,0.0000000000e+00
-1.1000000000e-01,3.5900000000e-04,0.0000000000e+00
-1.2000000000e-01,3.9248000000e-04,0.0000000000e+00
-1.3000000000e-01,4.2740000000e-04,0.0000000000e+00
-1.4000000000e-01,4.5962000000e-04,0.0000000000e+00
-1.5000000000e-01,4.9216000000e-04,0.0000000000e+00
-1.6000000000e-01,5.2560000000e-04,0.0000000000e+00
-1.7000000000e-01,5.5712000000e-04,0.0000000000e+00
-1.8000000000e-01,5.8966000000e-04,0.0000000000e+00
-1.9000000000e-01,6.2612000000e-04,0.0000000000e+00
-2.0000000000e-01,6.5798000000e-04,0.0000000000e+00
-2.1000000000e-01,6.8960000000e-04,0.0000000000e+00
-2.2000000000e-01,7.2198000000e-04,0.0000000000e+00
-2.3000000000e-01,7.5334000000e-04,0.0000000000e+00
-2.4000000000e-01,7.8756000000e-04,0.0000000000e+00
-2.5000000000e-01,8.2164000000e-04,0.0000000000e+00
-2.6000000000e-01,8.5368000000e-04,0.0000000000e+00
-2.7000000000e-01,8.8652000000e-04,0.0000000000e+00
-2.8000000000e-01,9.1766000000e-04,0.0000000000e+00
-2.9000000000e-01,9.5054000000e-04,0.0000000000e+00
-3.0000000000e-01,9.8578000000e-04,0.0000000000e+00
-3.1000000000e-01,1.0172000000e-03,0.0000000000e+00
-3.2000000000e-01,1.0514000000e-03,0.0000000000e+00
-3.3000000000e-01,1.0826000000e-03,0.0000000000e+00
-3.4000000000e-01,1.1172000000e-03,0.0000000000e+00
-3.5000000000e-01,1.1516000000e-03,0.0000000000e+00
-3.6000000000e-01,1.1820000000e-03,0.0000000000e+00
-3.7000000000e-01,1.2146000000e-03,0.0000000000e+00
-3.8000000000e-01,1.2474000000e-03,0.0000000000e+00
-3.9000000000e-01,1.2796000000e-03,0.0000000000e+00
-4.0000000000e-01,1.3130000000e-03,0.0000000000e+00
-4.1000000000e-01,1.3466000000e-03,0.0000000000e+00
-4.2000000000e-01,1.3784000000e-03,0.0000000000e+00
-4.3000000000e-01,1.4080000000e-03,0.0000000000e+00
-4.4000000000e-01,1.4432000000e-03,0.0000000000e+00
-4.5000000000e-01,1.4762000000e-03,0.0000000000e+00
-4.6000000000e-01,1.5112000000e-03,0.0000000000e+00
-4.7000000000e-01,1.5430000000e-03,0.0000000000e+00
-4.8000000000e-01,1.5744000000e-03,0.0000000000e+00
-4.9000000000e-01,1.6084000000e-03,0.0000000000e+00
