# Saved on 2025-06-18T17:53:41.053017
# Name: Abir
# Sample_ID: Batch3_F5_TPTE38
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 0.01
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,4.4590000000e-09,0.0000000000e+00
-1.0000000000e-02,7.4216000000e-07,0.0000000000e+00
-2.0000000000e-02,1.4655000000e-06,0.0000000000e+00
-3.0000000000e-02,2.2617000000e-06,0.0000000000e+00
-4.0000000000e-02,2.9191000000e-06,0.0000000000e+00
-5.0000000000e-02,3.6871000000e-06,0.0000000000e+00
-6.0000000000e-02,4.4324000000e-06,0.0000000000e+00
-7.0000000000e-02,5.1968000000e-06,0.0000000000e+00
-8.0000000000e-02,5.9841000000e-06,0.0000000000e+00
-9.0000000000e-02,6.7486000000e-06,0.0000000000e+00
-1.0000000000e-01,7.4766000000e-06,0.0000000000e+00
-1.1000000000e-01,8.2760000000e-06,0.0000000000e+00
-1.2000000000e-01,8.9693000000e-06,0.0000000000e+00
-1.3000000000e-01,9.8824000000e-06,0.0000000000e+00
-1.4000000000e-01,1.0594000000e-05,0.0000000000e+00
-1.5000000000e-01,1.1554000000e-05,0.0000000000e+00
-1.6000000000e-01,1.2362000000e-05,0.0000000000e+00
-1.7000000000e-01,1.3220000000e-05,0.0000000000e+00
-1.8000000000e-01,1.4122000000e-05,0.0000000000e+00
-1.9000000000e-01,1.5074000000e-05,0.0000000000e+00
-2.0000000000e-01,1.6258000000e-05,0.0000000000e+00
-2.1000000000e-01,1.7222000000e-05,0.0000000000e+00
-2.2000000000e-01,1.8234000000e-05,0.0000000000e+00
-2.3000000000e-01,1.9312000000e-05,0.0000000000e+00
-2.4000000000e-01,2.0372000000e-05,0.0000000000e+00
-2.5000000000e-01,2.1430000000e-05,0.0000000000e+00
-2.6000000000e-01,2.2652000000e-05,0.0000000000e+00
-2.7000000000e-01,2.3790000000e-05,0.0000000000e+00
-2.8000000000e-01,2.4840000000e-05,0.0000000000e+00
-2.9000000000e-01,2.6220000000e-05,0.0000000000e+00
-3.0000000000e-01,2.7582000000e-05,0.0000000000e+00
-3.1000000000e-01,2.8886000000e-05,0.0000000000e+00
-3.2000000000e-01,3.0250000000e-05,0.0000000000e+00
-3.3000000000e-01,3.1390000000e-05,0.0000000000e+00
-3.4000000000e-01,3.2766000000e-05,0.0000000000e+00
-3.5000000000e-01,3.4434000000e-05,0.0000000000e+00
-3.6000000000e-01,3.3956000000e-05,0.0000000000e+00
-3.7000000000e-01,3.5018000000e-05,0.0000000000e+00
-3.8000000000e-01,3.6860000000e-05,0.0000000000e+00
-3.9000000000e-01,3.8452000000e-05,0.0000000000e+00
-4.0000000000e-01,3.9436000000e-05,0.0000000000e+00
-4.1000000000e-01,4.1120000000e-05,0.0000000000e+00
-4.2000000000e-01,4.3468000000e-05,0.0000000000e+00
-4.3000000000e-01,4.4680000000e-05,0.0000000000e+00
-4.4000000000e-01,4.6416000000e-05,0.0000000000e+00
-4.5000000000e-01,4.8314000000e-05,0.0000000000e+00
-4.6000000000e-01,5.0158000000e-05,0.0000000000e+00
-4.7000000000e-01,5.2134000000e-05,0.0000000000e+00
-4.8000000000e-01,5.4630000000e-05,0.0000000000e+00
-4.9000000000e-01,5.6470000000e-05,0.0000000000e+00
-5.0000000000e-01,5.8162000000e-05,0.0000000000e+00
-5.1000000000e-01,6.0304000000e-05,0.0000000000e+00
-5.2000000000e-01,6.2476000000e-05,0.0000000000e+00
-5.3000000000e-01,6.4900000000e-05,0.0000000000e+00
