# Saved on 2025-06-18T17:57:45.133904
# Name: Abir
# Sample_ID: Batch3_F5_TPTE38
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 1.2
#   Neg_Voltage: -1.3
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A),Loop 4 (A),Loop 5 (A)
0.0000000000e+00,5.0300000000e-09,6.6140000000e-09,1.3479000000e-08,5.0100000000e-10,3.6760000000e-09
-1.3000000000e-02,3.6890000000e-07,8.7224000000e-07,9.7394000000e-07,5.7976000000e-07,4.3450000000e-07
-2.6000000000e-02,7.3706000000e-07,1.7706000000e-06,1.8926000000e-06,1.1471000000e-06,8.7312000000e-07
-3.9000000000e-02,1.1229000000e-06,2.6857000000e-06,2.8652000000e-06,1.7364000000e-06,1.3309000000e-06
-5.2000000000e-02,1.5136000000e-06,3.5740000000e-06,3.8241000000e-06,2.3774000000e-06,1.8503000000e-06
-6.5000000000e-02,1.9993000000e-06,4.5238000000e-06,4.7972000000e-06,2.9956000000e-06,2.3382000000e-06
-7.8000000000e-02,2.4431000000e-06,5.5273000000e-06,5.7640000000e-06,3.6233000000e-06,2.9009000000e-06
-9.1000000000e-02,2.9281000000e-06,6.4081000000e-06,6.7937000000e-06,4.3082000000e-06,3.4644000000e-06
-1.0400000000e-01,3.4636000000e-06,7.6256000000e-06,7.8484000000e-06,4.9728000000e-06,4.0789000000e-06
-1.1700000000e-01,4.0139000000e-06,8.3103000000e-06,9.0144000000e-06,5.7881000000e-06,4.7226000000e-06
-1.3000000000e-01,4.5194000000e-06,9.4392000000e-06,1.0204000000e-05,6.5354000000e-06,5.4350000000e-06
-1.4300000000e-01,5.2579000000e-06,1.0506000000e-05,1.1432000000e-05,7.4083000000e-06,6.1336000000e-06
-1.5600000000e-01,5.8546000000e-06,1.1660000000e-05,1.2772000000e-05,8.2359000000e-06,6.9160000000e-06
-1.6900000000e-01,6.5503000000e-06,1.2924000000e-05,1.4136000000e-05,9.1456000000e-06,7.7230000000e-06
-1.8200000000e-01,7.3093000000e-06,1.4216000000e-05,1.5448000000e-05,1.0082000000e-05,8.6142000000e-06
-1.9500000000e-01,8.1220000000e-06,1.5600000000e-05,1.6876000000e-05,1.1094000000e-05,9.5423000000e-06
-2.0800000000e-01,8.9496000000e-06,1.6956000000e-05,1.8296000000e-05,1.2194000000e-05,1.0562000000e-05
-2.2100000000e-01,9.7533000000e-06,1.8540000000e-05,1.9808000000e-05,1.3312000000e-05,1.1634000000e-05
-2.3400000000e-01,1.0760000000e-05,2.0558000000e-05,2.1378000000e-05,1.4492000000e-05,1.2736000000e-05
-2.4700000000e-01,1.1748000000e-05,2.2212000000e-05,2.2874000000e-05,1.5880000000e-05,1.3984000000e-05
-2.6000000000e-01,1.2772000000e-05,2.3978000000e-05,2.4556000000e-05,1.7194000000e-05,1.5170000000e-05
-2.7300000000e-01,1.3960000000e-05,2.5742000000e-05,2.6176000000e-05,1.8650000000e-05,1.6436000000e-05
-2.8600000000e-01,1.5116000000e-05,2.7538000000e-05,2.7810000000e-05,2.0192000000e-05,1.7898000000e-05
-2.9900000000e-01,1.6262000000e-05,2.9426000000e-05,3.0038000000e-05,2.1628000000e-05,1.9024000000e-05
-3.1200000000e-01,1.7464000000e-05,3.1520000000e-05,3.1788000000e-05,2.3194000000e-05,2.0880000000e-05
-3.2500000000e-01,1.8768000000e-05,3.3576000000e-05,3.3636000000e-05,2.5010000000e-05,2.2412000000e-05
-3.3800000000e-01,2.0272000000e-05,3.5792000000e-05,3.5606000000e-05,2.6768000000e-05,2.4188000000e-05
-3.5100000000e-01,2.1446000000e-05,3.8138000000e-05,3.7582000000e-05,2.8580000000e-05,2.5816000000e-05
-3.6400000000e-01,2.3268000000e-05,4.0446000000e-05,3.9546000000e-05,3.0664000000e-05,2.7830000000e-05
-3.7700000000e-01,2.4940000000e-05,4.2912000000e-05,4.1752000000e-05,3.2752000000e-05,2.9970000000e-05
-3.9000000000e-01,2.6714000000e-05,4.5348000000e-05,4.3984000000e-05,3.4856000000e-05,3.1960000000e-05
-4.0300000000e-01,2.8358000000e-05,4.7830000000e-05,4.6424000000e-05,3.7138000000e-05,3.3552000000e-05
-4.1600000000e-01,3.0280000000e-05,5.0638000000e-05,4.9268000000e-05,3.9432000000e-05,3.5600000000e-05
-4.2900000000e-01,3.2104000000e-05,5.3090000000e-05,5.1882000000e-05,4.1884000000e-05,3.8482000000e-05
-4.4200000000e-01,3.4238000000e-05,5.6704000000e-05,5.4438000000e-05,4.4386000000e-05,4.0358000000e-05
-4.5500000000e-01,3.6394000000e-05,5.9648000000e-05,5.6984000000e-05,4.7204000000e-05,4.2696000000e-05
-4.6800000000e-01,3.8552000000e-05,6.2890000000e-05,5.9898000000e-05,4.9896000000e-05,4.5392000000e-05
-4.8100000000e-01,4.0200000000e-05,6.5236000000e-05,6.2882000000e-05,5.2870000000e-05,4.8042000000e-05
-4.9400000000e-01,4.2674000000e-05,6.9512000000e-05,6.6154000000e-05,5.5800000000e-05,5.0808000000e-05
-5.0700000000e-01,4.5226000000e-05,7.2226000000e-05,6.9514000000e-05,5.8848000000e-05,5.3102000000e-05
-5.2000000000e-01,4.7704000000e-05,7.6184000000e-05,7.2958000000e-05,6.2226000000e-05,5.6782000000e-05
-5.3300000000e-01,5.0582000000e-05,7.9744000000e-05,7.6766000000e-05,6.5368000000e-05,5.8992000000e-05
-5.4600000000e-01,5.3412000000e-05,8.3260000000e-05,8.0388000000e-05,6.8908000000e-05,6.3530000000e-05
-5.5900000000e-01,5.6228000000e-05,8.7570000000e-05,8.4308000000e-05,7.2236000000e-05,6.7048000000e-05
-5.7200000000e-01,5.9274000000e-05,9.1888000000e-05,8.8424000000e-05,7.5726000000e-05,6.9446000000e-05
-5.8500000000e-01,6.2392000000e-05,9.5686000000e-05,9.2364000000e-05,7.9662000000e-05,7.4224000000e-05
-5.9800000000e-01,6.5668000000e-05,1.0020000000e-04,9.6676000000e-05,8.3862000000e-05,7.6452000000e-05
-6.1100000000e-01,6.9218000000e-05,1.0486000000e-04,1.0130000000e-04,8.7884000000e-05,8.0234000000e-05
-6.2400000000e-01,7.2584000000e-05,1.0942000000e-04,1.0574000000e-04,9.2158000000e-05,8.4508000000e-05
-6.3700000000e-01,7.6352000000e-05,1.1530000000e-04,1.1092000000e-04,9.6416000000e-05,8.8592000000e-05
-6.5000000000e-01,8.0708000000e-05,1.2052000000e-04,1.1666000000e-04,1.0170000000e-04,9.2558000000e-05
-6.6300000000e-01,8.3934000000e-05,1.2488000000e-04,1.2160000000e-04,1.0618000000e-04,9.7136000000e-05
-6.7600000000e-01,8.8518000000e-05,1.3032000000e-04,1.2678000000e-04,1.1092000000e-04,1.0186000000e-04
-6.8900000000e-01,9.2592000000e-05,1.3618000000e-04,1.3224000000e-04,1.1622000000e-04,1.0690000000e-04
-7.0200000000e-01,9.6898000000e-05,1.4178000000e-04,1.3766000000e-04,1.2170000000e-04,1.1154000000e-04
-7.1500000000e-01,1.0210000000e-04,1.4782000000e-04,1.4362000000e-04,1.2744000000e-04,1.1670000000e-04
-7.2800000000e-01,1.0654000000e-04,1.5368000000e-04,1.4942000000e-04,1.3342000000e-04,1.2282000000e-04
-7.4100000000e-01,1.1168000000e-04,1.6000000000e-04,1.5548000000e-04,1.3914000000e-04,1.2776000000e-04
-7.5400000000e-01,1.1686000000e-04,1.6682000000e-04,1.6140000000e-04,1.4488000000e-04,1.3334000000e-04
-7.6700000000e-01,1.2250000000e-04,1.7312000000e-04,1.6784000000e-04,1.5128000000e-04,1.3982000000e-04
-7.8000000000e-01,1.2796000000e-04,1.7984000000e-04,1.7498000000e-04,1.5754000000e-04,1.4598000000e-04
-7.9300000000e-01,1.3380000000e-04,1.8684000000e-04,1.8180000000e-04,1.6496000000e-04,1.5204000000e-04
-8.0600000000e-01,1.3988000000e-04,1.9368000000e-04,1.8900000000e-04,1.7246000000e-04,1.5738000000e-04
-8.1900000000e-01,1.4570000000e-04,2.0130000000e-04,1.9640000000e-04,1.7930000000e-04,1.6494000000e-04
-8.3200000000e-01,1.5154000000e-04,2.0900000000e-04,2.0410000000e-04,1.8740000000e-04,1.7134000000e-04
-8.4500000000e-01,1.6064000000e-04,2.1668000000e-04,2.1166000000e-04,1.9340000000e-04,1.8774000000e-04
-8.5800000000e-01,1.6590000000e-04,2.2340000000e-04,2.2048000000e-04,2.0112000000e-04,1.9034000000e-04
-8.7100000000e-01,1.7296000000e-04,2.3252000000e-04,2.2850000000e-04,2.0964000000e-04,1.9404000000e-04
-8.8400000000e-01,1.8150000000e-04,2.4128000000e-04,2.3684000000e-04,2.1920000000e-04,2.0182000000e-04
-8.9700000000e-01,1.8774000000e-04,2.5176000000e-04,2.4570000000e-04,2.2778000000e-04,2.0990000000e-04
-9.1000000000e-01,1.9758000000e-04,2.6072000000e-04,2.5454000000e-04,2.3548000000e-04,2.1936000000e-04
-9.2300000000e-01,2.0390000000e-04,2.6792000000e-04,2.6420000000e-04,2.4462000000e-04,2.2818000000e-04
-9.3600000000e-01,2.1348000000e-04,2.7866000000e-04,2.7356000000e-04,2.5438000000e-04,2.3674000000e-04
-9.4900000000e-01,2.2312000000e-04,2.8816000000e-04,2.8292000000e-04,2.6564000000e-04,2.4634000000e-04
-9.6200000000e-01,2.2982000000e-04,2.9922000000e-04,2.9164000000e-04,2.7390000000e-04,2.5570000000e-04
-9.7500000000e-01,2.3886000000e-04,3.1116000000e-04,2.9986000000e-04,2.8512000000e-04,2.6880000000e-04
-9.8800000000e-01,2.4942000000e-04,3.2030000000e-04,3.1318000000e-04,2.9426000000e-04,2.7576000000e-04
-1.0010000000e+00,2.6218000000e-04,3.3220000000e-04,3.2416000000e-04,3.0592000000e-04,2.8884000000e-04
-1.0140000000e+00,2.7236000000e-04,3.4654000000e-04,3.3542000000e-04,3.1724000000e-04,2.9926000000e-04
-1.0270000000e+00,2.7974000000e-04,3.5474000000e-04,3.4668000000e-04,3.2672000000e-04,3.1188000000e-04
-1.0400000000e+00,2.9300000000e-04,3.7040000000e-04,3.5892000000e-04,3.3788000000e-04,3.2156000000e-04
-1.0530000000e+00,3.0444000000e-04,3.7924000000e-04,3.7300000000e-04,3.5026000000e-04,3.3414000000e-04
-1.0660000000e+00,3.1242000000e-04,3.9222000000e-04,3.8530000000e-04,3.6268000000e-04,3.4760000000e-04
-1.0790000000e+00,3.2610000000e-04,4.0580000000e-04,3.9684000000e-04,3.7960000000e-04,3.5752000000e-04
-1.0920000000e+00,3.3980000000e-04,4.1752000000e-04,4.1090000000e-04,3.8944000000e-04,3.7196000000e-04
-1.1050000000e+00,3.5056000000e-04,4.3370000000e-04,4.2186000000e-04,4.0374000000e-04,3.8530000000e-04
-1.1180000000e+00,3.6482000000e-04,4.4974000000e-04,4.3832000000e-04,4.1448000000e-04,3.9646000000e-04
-1.1310000000e+00,3.7672000000e-04,4.6504000000e-04,4.5490000000e-04,4.2692000000e-04,4.1422000000e-04
-1.1440000000e+00,3.9306000000e-04,4.7834000000e-04,4.7178000000e-04,4.5210000000e-04,4.2790000000e-04
-1.1570000000e+00,4.0886000000e-04,4.9282000000e-04,4.8600000000e-04,4.4748000000e-04,4.4186000000e-04
-1.1700000000e+00,4.2038000000e-04,5.0848000000e-04,5.0352000000e-04,4.7296000000e-04,4.5878000000e-04
-1.1830000000e+00,4.3578000000e-04,5.2514000000e-04,5.1910000000e-04,4.7116000000e-04,4.7358000000e-04
-1.1960000000e+00,4.4796000000e-04,5.4216000000e-04,5.3906000000e-04,4.8478000000e-04,4.8964000000e-04
-1.2090000000e+00,4.6992000000e-04,5.5620000000e-04,5.5286000000e-04,5.0360000000e-04,5.0714000000e-04
-1.2220000000e+00,4.8648000000e-04,5.7256000000e-04,5.8016000000e-04,5.2012000000e-04,5.2022000000e-04
-1.2350000000e+00,5.0478000000e-04,5.9064000000e-04,5.8104000000e-04,5.3172000000e-04,5.4090000000e-04
-1.2480000000e+00,5.2018000000e-04,6.0476000000e-04,6.1652000000e-04,5.5236000000e-04,5.5450000000e-04
-1.2610000000e+00,5.4014000000e-04,6.2018000000e-04,6.2860000000e-04,5.8268000000e-04,5.8060000000e-04
-1.2740000000e+00,5.5862000000e-04,6.3772000000e-04,6.5352000000e-04,6.0768000000e-04,5.9930000000e-04
-1.2870000000e+00,5.7664000000e-04,6.6256000000e-04,6.9136000000e-04,6.2104000000e-04,6.2158000000e-04
-1.3000000000e+00,5.9966000000e-04,6.8748000000e-04,7.3774000000e-04,6.3954000000e-04,6.3904000000e-04
-1.3000000000e+00,5.9570000000e-04,6.8660000000e-04,7.0816000000e-04,6.4194000000e-04,6.4202000000e-04
-1.2870000000e+00,5.7716000000e-04,6.9382000000e-04,6.7010000000e-04,6.2284000000e-04,6.2954000000e-04
-1.2740000000e+00,5.6206000000e-04,6.6910000000e-04,6.5250000000e-04,6.1312000000e-04,6.1390000000e-04
-1.2610000000e+00,5.4456000000e-04,6.7960000000e-04,6.3212000000e-04,5.9998000000e-04,5.8490000000e-04
-1.2480000000e+00,5.4196000000e-04,5.3810000000e-04,6.2068000000e-04,5.8904000000e-04,5.6082000000e-04
-1.2350000000e+00,5.2528000000e-04,5.2434000000e-04,6.0430000000e-04,5.5554000000e-04,5.5674000000e-04
-1.2220000000e+00,5.0764000000e-04,5.0394000000e-04,5.9962000000e-04,5.4626000000e-04,5.2864000000e-04
-1.2090000000e+00,4.9108000000e-04,4.8880000000e-04,5.6694000000e-04,5.2930000000e-04,5.1208000000e-04
