# Saved on 2025-06-18T17:55:25.246403
# Name: Abir
# Sample_ID: Batch3_F5_TPTE38
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 0.75
#   Neg_Voltage: -1.3
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,1.8994000000e-08,0.0000000000e+00
-1.3000000000e-02,1.2787000000e-06,0.0000000000e+00
-2.6000000000e-02,2.4074000000e-06,0.0000000000e+00
-3.9000000000e-02,3.3247000000e-06,0.0000000000e+00
-5.2000000000e-02,4.4522000000e-06,0.0000000000e+00
-6.5000000000e-02,5.5774000000e-06,0.0000000000e+00
-7.8000000000e-02,6.7381000000e-06,0.0000000000e+00
-9.1000000000e-02,7.8222000000e-06,0.0000000000e+00
-1.0400000000e-01,9.0564000000e-06,0.0000000000e+00
-1.1700000000e-01,1.0270000000e-05,0.0000000000e+00
-1.3000000000e-01,1.1420000000e-05,0.0000000000e+00
-1.4300000000e-01,1.2692000000e-05,0.0000000000e+00
-1.5600000000e-01,1.3890000000e-05,0.0000000000e+00
-1.6900000000e-01,1.5168000000e-05,0.0000000000e+00
-1.8200000000e-01,1.6576000000e-05,0.0000000000e+00
-1.9500000000e-01,1.7948000000e-05,0.0000000000e+00
-2.0800000000e-01,1.9456000000e-05,0.0000000000e+00
-2.2100000000e-01,2.0910000000e-05,0.0000000000e+00
-2.3400000000e-01,2.2420000000e-05,0.0000000000e+00
-2.4700000000e-01,2.4006000000e-05,0.0000000000e+00
-2.6000000000e-01,2.5582000000e-05,0.0000000000e+00
-2.7300000000e-01,2.7372000000e-05,0.0000000000e+00
-2.8600000000e-01,2.9132000000e-05,0.0000000000e+00
-2.9900000000e-01,3.0952000000e-05,0.0000000000e+00
-3.1200000000e-01,3.2824000000e-05,0.0000000000e+00
-3.2500000000e-01,3.4888000000e-05,0.0000000000e+00
-3.3800000000e-01,3.6682000000e-05,0.0000000000e+00
-3.5100000000e-01,3.8718000000e-05,0.0000000000e+00
-3.6400000000e-01,4.0810000000e-05,0.0000000000e+00
-3.7700000000e-01,4.3182000000e-05,0.0000000000e+00
-3.9000000000e-01,4.5278000000e-05,0.0000000000e+00
-4.0300000000e-01,4.7546000000e-05,0.0000000000e+00
-4.1600000000e-01,4.9954000000e-05,0.0000000000e+00
-4.2900000000e-01,5.2460000000e-05,0.0000000000e+00
-4.4200000000e-01,5.5200000000e-05,0.0000000000e+00
-4.5500000000e-01,5.7680000000e-05,0.0000000000e+00
-4.6800000000e-01,6.0504000000e-05,0.0000000000e+00
-4.8100000000e-01,6.3510000000e-05,0.0000000000e+00
-4.9400000000e-01,6.6568000000e-05,0.0000000000e+00
-5.0700000000e-01,6.9352000000e-05,0.0000000000e+00
-5.2000000000e-01,7.1766000000e-05,0.0000000000e+00
-5.3300000000e-01,7.4768000000e-05,0.0000000000e+00
-5.4600000000e-01,7.8040000000e-05,0.0000000000e+00
-5.5900000000e-01,8.1422000000e-05,0.0000000000e+00
-5.7200000000e-01,8.4728000000e-05,0.0000000000e+00
-5.8500000000e-01,8.8460000000e-05,0.0000000000e+00
-5.9800000000e-01,9.1992000000e-05,0.0000000000e+00
-6.1100000000e-01,9.5722000000e-05,0.0000000000e+00
-6.2400000000e-01,1.0006000000e-04,0.0000000000e+00
-6.3700000000e-01,1.0404000000e-04,0.0000000000e+00
-6.5000000000e-01,1.0790000000e-04,0.0000000000e+00
-6.6300000000e-01,1.1220000000e-04,0.0000000000e+00
