# Saved on 2025-06-18T17:58:33.435292
# Name: Abir
# Sample_ID: Batch3_F5_TPTE38
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 1.2
#   Neg_Voltage: -1.3
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A),Loop 4 (A),Loop 5 (A)
0.0000000000e+00,9.1080000000e-09,3.2440000000e-08,5.1502000000e-08,1.3802000000e-08,3.0738000000e-08
-1.5000000000e-02,1.5676000000e-06,2.5777000000e-06,3.4225000000e-06,2.9641000000e-06,2.8441000000e-06
-3.0000000000e-02,3.1898000000e-06,5.0894000000e-06,6.7343000000e-06,6.0600000000e-06,5.6563000000e-06
-4.5000000000e-02,4.8438000000e-06,7.6270000000e-06,1.0336000000e-05,8.9870000000e-06,8.3718000000e-06
-6.0000000000e-02,6.5147000000e-06,1.0198000000e-05,1.3966000000e-05,1.2256000000e-05,1.1174000000e-05
-7.5000000000e-02,8.2424000000e-06,1.2954000000e-05,1.7442000000e-05,1.5472000000e-05,1.4140000000e-05
-9.0000000000e-02,1.0016000000e-05,1.5696000000e-05,2.1126000000e-05,1.8794000000e-05,1.7114000000e-05
-1.0500000000e-01,1.1900000000e-05,1.8492000000e-05,2.5022000000e-05,2.2304000000e-05,1.9868000000e-05
-1.2000000000e-01,1.3746000000e-05,2.1466000000e-05,2.8720000000e-05,2.5672000000e-05,2.2952000000e-05
-1.3500000000e-01,1.5758000000e-05,2.4210000000e-05,3.2520000000e-05,2.9398000000e-05,2.6112000000e-05
-1.5000000000e-01,1.7834000000e-05,2.7440000000e-05,3.6694000000e-05,3.3236000000e-05,2.9336000000e-05
-1.6500000000e-01,1.9930000000e-05,2.3984000000e-05,4.0776000000e-05,3.7150000000e-05,3.2620000000e-05
-1.8000000000e-01,2.2198000000e-05,2.6204000000e-05,4.4764000000e-05,4.1222000000e-05,3.5966000000e-05
-1.9500000000e-01,2.4500000000e-05,2.9312000000e-05,4.9310000000e-05,4.5268000000e-05,3.9304000000e-05
-2.1000000000e-01,2.6826000000e-05,3.2334000000e-05,5.3628000000e-05,4.9364000000e-05,4.2892000000e-05
-2.2500000000e-01,2.9410000000e-05,3.4848000000e-05,5.8158000000e-05,5.3664000000e-05,4.6548000000e-05
-2.4000000000e-01,3.2014000000e-05,3.8178000000e-05,6.3028000000e-05,5.8344000000e-05,5.0142000000e-05
-2.5500000000e-01,3.4532000000e-05,4.1168000000e-05,6.7882000000e-05,6.2972000000e-05,5.4184000000e-05
-2.7000000000e-01,3.7244000000e-05,4.4642000000e-05,7.2746000000e-05,6.7942000000e-05,5.8338000000e-05
-2.8500000000e-01,4.0276000000e-05,4.8264000000e-05,7.8046000000e-05,7.3026000000e-05,6.2610000000e-05
-3.0000000000e-01,4.3134000000e-05,5.1586000000e-05,8.3312000000e-05,7.8142000000e-05,6.6808000000e-05
-3.1500000000e-01,4.6412000000e-05,5.5284000000e-05,8.8258000000e-05,8.3552000000e-05,7.1336000000e-05
-3.3000000000e-01,4.9744000000e-05,5.9036000000e-05,9.3858000000e-05,8.8980000000e-05,7.5710000000e-05
-3.4500000000e-01,5.3104000000e-05,6.3050000000e-05,9.9366000000e-05,9.4572000000e-05,8.0656000000e-05
-3.6000000000e-01,5.6740000000e-05,6.7198000000e-05,1.0534000000e-04,1.0042000000e-04,8.5014000000e-05
-3.7500000000e-01,6.0514000000e-05,7.1630000000e-05,1.1106000000e-04,1.0630000000e-04,8.9984000000e-05
-3.9000000000e-01,6.4244000000e-05,7.7994000000e-05,1.1750000000e-04,1.1218000000e-04,9.5586000000e-05
-4.0500000000e-01,6.8356000000e-05,8.0048000000e-05,1.2370000000e-04,1.1880000000e-04,1.0040000000e-04
-4.2000000000e-01,7.2288000000e-05,8.4608000000e-05,1.2992000000e-04,1.2502000000e-04,1.0594000000e-04
-4.3500000000e-01,7.6386000000e-05,8.8888000000e-05,1.3626000000e-04,1.3136000000e-04,1.1182000000e-04
-4.5000000000e-01,8.0920000000e-05,9.3690000000e-05,1.4334000000e-04,1.3814000000e-04,1.1742000000e-04
-4.6500000000e-01,8.5274000000e-05,9.8938000000e-05,1.5034000000e-04,1.4468000000e-04,1.2308000000e-04
-4.8000000000e-01,8.9964000000e-05,1.0362000000e-04,1.5758000000e-04,1.5114000000e-04,1.2900000000e-04
-4.9500000000e-01,9.4962000000e-05,1.0900000000e-04,1.6484000000e-04,1.5864000000e-04,1.3532000000e-04
-5.1000000000e-01,9.9940000000e-05,1.1434000000e-04,1.7220000000e-04,1.6564000000e-04,1.4198000000e-04
-5.2500000000e-01,1.0556000000e-04,1.2008000000e-04,1.8038000000e-04,1.7354000000e-04,1.4822000000e-04
-5.4000000000e-01,1.1098000000e-04,1.2540000000e-04,1.8776000000e-04,1.8100000000e-04,1.5514000000e-04
-5.5500000000e-01,1.1610000000e-04,1.3118000000e-04,1.9578000000e-04,1.8892000000e-04,1.6202000000e-04
-5.7000000000e-01,1.2180000000e-04,1.3762000000e-04,2.0444000000e-04,1.9732000000e-04,1.6898000000e-04
-5.8500000000e-01,1.2740000000e-04,1.4348000000e-04,2.1244000000e-04,2.0580000000e-04,1.7696000000e-04
-6.0000000000e-01,1.3372000000e-04,1.4946000000e-04,2.2240000000e-04,2.1450000000e-04,1.8424000000e-04
-6.1500000000e-01,1.4014000000e-04,1.5596000000e-04,2.3072000000e-04,2.2288000000e-04,1.9244000000e-04
-6.3000000000e-01,1.4634000000e-04,1.6306000000e-04,2.3986000000e-04,2.3170000000e-04,2.0092000000e-04
-6.4500000000e-01,1.5292000000e-04,1.6998000000e-04,2.4902000000e-04,2.4076000000e-04,2.0870000000e-04
-6.6000000000e-01,1.5970000000e-04,1.7808000000e-04,2.5892000000e-04,2.5030000000e-04,2.1704000000e-04
-6.7500000000e-01,1.6674000000e-04,1.8718000000e-04,2.6856000000e-04,2.6078000000e-04,2.2578000000e-04
-6.9000000000e-01,1.7430000000e-04,1.9316000000e-04,2.7864000000e-04,2.7054000000e-04,2.3496000000e-04
-7.0500000000e-01,1.8194000000e-04,2.0272000000e-04,2.8946000000e-04,2.8010000000e-04,2.4406000000e-04
-7.2000000000e-01,1.8532000000e-04,2.1036000000e-04,2.9654000000e-04,2.9070000000e-04,2.5330000000e-04
-7.3500000000e-01,1.9332000000e-04,2.1912000000e-04,3.0788000000e-04,2.9788000000e-04,2.6242000000e-04
-7.5000000000e-01,2.0606000000e-04,2.2860000000e-04,3.2254000000e-04,3.0872000000e-04,2.7296000000e-04
-7.6500000000e-01,2.0922000000e-04,2.3688000000e-04,3.3334000000e-04,3.2004000000e-04,2.8302000000e-04
-7.8000000000e-01,2.1850000000e-04,2.4450000000e-04,3.4538000000e-04,3.3178000000e-04,2.9326000000e-04
-7.9500000000e-01,2.2752000000e-04,2.5988000000e-04,3.5700000000e-04,3.4300000000e-04,3.0548000000e-04
-8.1000000000e-01,2.3606000000e-04,2.6212000000e-04,3.6474000000e-04,3.5424000000e-04,3.1614000000e-04
-8.2500000000e-01,2.5140000000e-04,2.7198000000e-04,3.8214000000e-04,3.6782000000e-04,3.2656000000e-04
-8.4000000000e-01,2.5604000000e-04,2.7860000000e-04,3.9002000000e-04,3.7980000000e-04,3.3858000000e-04
-8.5500000000e-01,2.7156000000e-04,2.8792000000e-04,4.0438000000e-04,3.9420000000e-04,3.4974000000e-04
-8.7000000000e-01,2.8228000000e-04,2.9970000000e-04,4.2176000000e-04,4.0710000000e-04,3.5664000000e-04
-8.8500000000e-01,2.9314000000e-04,3.1286000000e-04,4.3434000000e-04,4.2062000000e-04,3.7154000000e-04
-9.0000000000e-01,3.0426000000e-04,3.1978000000e-04,4.4390000000e-04,4.3550000000e-04,3.8286000000e-04
-9.1500000000e-01,3.1536000000e-04,3.3376000000e-04,4.6058000000e-04,4.5004000000e-04,3.9420000000e-04
-9.3000000000e-01,3.2720000000e-04,3.4506000000e-04,4.7882000000e-04,4.7078000000e-04,4.1000000000e-04
-9.4500000000e-01,3.4002000000e-04,3.5584000000e-04,4.9406000000e-04,4.8740000000e-04,4.2302000000e-04
-9.6000000000e-01,3.5232000000e-04,3.6714000000e-04,5.0890000000e-04,5.0168000000e-04,4.3718000000e-04
-9.7500000000e-01,3.6734000000e-04,3.8030000000e-04,5.2496000000e-04,5.1720000000e-04,4.5146000000e-04
-9.9000000000e-01,3.7814000000e-04,3.9394000000e-04,5.4170000000e-04,5.3316000000e-04,4.7116000000e-04
-1.0050000000e+00,3.9620000000e-04,4.0770000000e-04,5.6010000000e-04,5.4394000000e-04,4.8820000000e-04
-1.0200000000e+00,4.0804000000e-04,4.2126000000e-04,5.7268000000e-04,5.5822000000e-04,4.9818000000e-04
-1.0350000000e+00,4.2144000000e-04,4.3654000000e-04,5.8450000000e-04,5.7570000000e-04,5.1088000000e-04
-1.0500000000e+00,4.3522000000e-04,4.5054000000e-04,6.0318000000e-04,5.9594000000e-04,5.2746000000e-04
-1.0650000000e+00,4.4586000000e-04,4.6652000000e-04,6.2036000000e-04,6.2060000000e-04,5.4512000000e-04
-1.0800000000e+00,4.6982000000e-04,4.8122000000e-04,6.4156000000e-04,6.3948000000e-04,5.6434000000e-04
-1.0950000000e+00,4.8388000000e-04,4.9692000000e-04,6.6334000000e-04,6.5772000000e-04,5.8340000000e-04
-1.1100000000e+00,4.9878000000e-04,5.1326000000e-04,6.8618000000e-04,6.7188000000e-04,6.0186000000e-04
-1.1250000000e+00,5.1670000000e-04,5.4008000000e-04,7.0282000000e-04,6.9278000000e-04,6.2146000000e-04
-1.1400000000e+00,5.3402000000e-04,5.4690000000e-04,7.1814000000e-04,7.1062000000e-04,6.3964000000e-04
-1.1550000000e+00,5.4872000000e-04,5.6790000000e-04,7.4090000000e-04,7.4136000000e-04,6.5722000000e-04
-1.1700000000e+00,5.6682000000e-04,5.8608000000e-04,7.6538000000e-04,7.5106000000e-04,6.7706000000e-04
-1.1850000000e+00,5.8800000000e-04,6.0220000000e-04,7.8876000000e-04,7.7926000000e-04,7.0008000000e-04
-1.2000000000e+00,6.1042000000e-04,6.2192000000e-04,8.1124000000e-04,8.0832000000e-04,7.1774000000e-04
-1.2150000000e+00,6.2254000000e-04,6.4376000000e-04,8.3118000000e-04,8.2388000000e-04,7.4026000000e-04
-1.2300000000e+00,6.4558000000e-04,6.7014000000e-04,8.5720000000e-04,8.2752000000e-04,7.6526000000e-04
-1.2450000000e+00,6.6510000000e-04,6.8598000000e-04,8.8160000000e-04,8.8650000000e-04,7.7806000000e-04
-1.2600000000e+00,6.8992000000e-04,7.1172000000e-04,9.0686000000e-04,9.0368000000e-04,8.0918000000e-04
-1.2750000000e+00,7.1232000000e-04,7.3382000000e-04,9.2492000000e-04,9.2090000000e-04,8.3348000000e-04
-1.2900000000e+00,7.4290000000e-04,7.5522000000e-04,9.4970000000e-04,9.6744000000e-04,8.5172000000e-04
-1.3050000000e+00,7.7336000000e-04,7.8028000000e-04,9.9012000000e-04,9.7030000000e-04,8.7496000000e-04
-1.3200000000e+00,8.0692000000e-04,8.0064000000e-04,1.0054000000e-03,9.9800000000e-04,9.0502000000e-04
-1.3350000000e+00,8.3060000000e-04,8.2958000000e-04,1.0404000000e-03,1.0178000000e-03,9.2818000000e-04
-1.3500000000e+00,8.4764000000e-04,8.5760000000e-04,1.0470000000e-03,1.0476000000e-03,9.5276000000e-04
-1.3650000000e+00,8.7416000000e-04,8.8168000000e-04,1.0878000000e-03,1.0844000000e-03,9.8076000000e-04
-1.3800000000e+00,9.1654000000e-04,9.2524000000e-04,1.1254000000e-03,1.1342000000e-03,1.0122000000e-03
-1.3950000000e+00,9.3350000000e-04,9.4402000000e-04,1.1448000000e-03,1.1562000000e-03,1.0446000000e-03
-1.4100000000e+00,9.5838000000e-04,9.5812000000e-04,1.1662000000e-03,1.1758000000e-03,1.0752000000e-03
-1.4250000000e+00,9.8410000000e-04,1.0200000000e-03,1.2220000000e-03,1.2172000000e-03,1.1178000000e-03
-1.4400000000e+00,1.0524000000e-03,1.0080000000e-03,1.2290000000e-03,1.2660000000e-03,1.1596000000e-03
-1.4550000000e+00,1.0804000000e-03,1.0396000000e-03,1.3044000000e-03,1.2750000000e-03,1.2136000000e-03
-1.4700000000e+00,1.1090000000e-03,1.1074000000e-03,1.2842000000e-03,1.3094000000e-03,1.2196000000e-03
-1.4850000000e+00,1.1276000000e-03,1.1248000000e-03,1.3356000000e-03,1.3270000000e-03,1.2314000000e-03
-1.5000000000e+00,1.1518000000e-03,1.1660000000e-03,1.4484000000e-03,1.3426000000e-03,1.3094000000e-03
-1.5000000000e+00,1.1644000000e-03,1.1790000000e-03,1.1498000000e-03,1.3742000000e-03,1.3476000000e-03
-1.4850000000e+00,1.1270000000e-03,1.1132000000e-03,1.1192000000e-03,1.2998000000e-03,1.2628000000e-03
-1.4700000000e+00,1.0948000000e-03,1.1164400000e-03,1.0708000000e-03,1.2830000000e-03,1.2140000000e-03
-1.4550000000e+00,1.0839600000e-03,1.0989600000e-03,1.0423400000e-03,1.2662000000e-03,1.1770000000e-03
-1.4400000000e+00,1.0383600000e-03,1.0580200000e-03,1.0149800000e-03,1.2060000000e-03,1.1610000000e-03
-1.4250000000e+00,1.0241000000e-03,1.0546800000e-03,1.0027200000e-03,1.1800000000e-03,1.1272800000e-03
-1.4100000000e+00,9.9354000000e-04,1.0293000000e-03,9.7154000000e-04,1.1778000000e-03,1.0946400000e-03
-1.3950000000e+00,9.2284000000e-04,9.9274000000e-04,9.2108000000e-04,1.1526000000e-03,1.1068800000e-03
-1.3800000000e+00,9.3072000000e-04,9.4074000000e-04,9.1642000000e-04,1.1330200000e-03,1.0408200000e-03
-1.3650000000e+00,9.3186000000e-04,9.2874000000e-04,8.7542000000e-04,1.1046400000e-03,1.0311800000e-03
-1.3500000000e+00,8.7984000000e-04,9.0344000000e-04,8.3690000000e-04,1.0857400000e-03,1.0078800000e-03
-1.3350000000e+00,8.5280000000e-04,8.7740000000e-04,8.3696000000e-04,1.0801000000e-03,9.6862000000e-04
-1.3200000000e+00,8.0056000000e-04,8.6394000000e-04,8.1836000000e-04,1.0419800000e-03,1.0135000000e-03
-1.3050000000e+00,8.2456000000e-04,8.4114000000e-04,8.0170000000e-04,1.0165200000e-03,9.8840000000e-04
-1.2900000000e+00,7.7128000000e-04,8.4534000000e-04,7.8378000000e-04,9.9850000000e-04,9.7246000000e-04
-1.2750000000e+00,7.5454000000e-04,8.2038000000e-04,7.5246000000e-04,9.6770000000e-04,9.3338000000e-04
-1.2600000000e+00,7.5052000000e-04,7.8992000000e-04,7.2796000000e-04,9.2998000000e-04,9.7048000000e-04
-1.2450000000e+00,7.1534000000e-04,7.9274000000e-04,7.0458000000e-04,9.1216000000e-04,9.3584000000e-04
-1.2300000000e+00,7.1678000000e-04,7.6798000000e-04,6.9404000000e-04,9.0922000000e-04,8.9698000000e-04
-1.2150000000e+00,7.0992000000e-04,7.3418000000e-04,6.6884000000e-04,8.9882000000e-04,8.5538000000e-04
-1.2000000000e+00,7.1508000000e-04,7.2758000000e-04,6.3072000000e-04,8.6322000000e-04,8.4678000000e-04
-1.1850000000e+00,6.9980000000e-04,7.3634000000e-04,6.1774000000e-04,8.7184000000e-04,8.3764000000e-04
-1.1700000000e+00,6.4846000000e-04,7.0438000000e-04,5.9844000000e-04,8.5208000000e-04,8.0300000000e-04
-1.1550000000e+00,6.6220000000e-04,6.6252000000e-04,5.8194000000e-04,8.4238000000e-04,8.5328000000e-04
-1.1400000000e+00,6.5034000000e-04,6.4354000000e-04,5.9148000000e-04,8.1454000000e-04,7.8812000000e-04
-1.1250000000e+00,6.3094000000e-04,6.5748000000e-04,5.7400000000e-04,7.9304000000e-04,8.2710000000e-04
-1.1100000000e+00,6.6260000000e-04,6.5254000000e-04,5.7240000000e-04,7.8324000000e-04,8.3280000000e-04
-1.0950000000e+00,6.5010000000e-04,6.2244000000e-04,5.5146000000e-04,7.7226000000e-04,7.8756000000e-04
-1.0800000000e+00,6.7574000000e-04,6.1206000000e-04,5.3244000000e-04,8.1380000000e-04,7.9870000000e-04
-1.0650000000e+00,6.6892000000e-04,5.9508000000e-04,5.9394000000e-04,7.7062000000e-04,7.4536000000e-04
-1.0500000000e+00,1.6734000000e-03,5.9804000000e-04,5.7268000000e-04,7.2062000000e-04,7.2288000000e-04
-1.0350000000e+00,1.8470000000e-03,6.0432000000e-04,5.4850000000e-04,7.4076000000e-04,1.4730000000e-03
-1.0200000000e+00,1.8424000000e-03,6.3204000000e-04,5.7032000000e-04,7.0590000000e-04,1.5044000000e-03
-1.0050000000e+00,1.8432000000e-03,6.3180000000e-04,5.3410000000e-04,6.8986000000e-04,1.4986000000e-03
-9.9000000000e-01,1.8284000000e-03,6.2724000000e-04,5.2602000000e-04,6.9772000000e-04,1.4594000000e-03
-9.7500000000e-01,1.7702000000e-03,5.9154000000e-04,5.2024000000e-04,6.6050000000e-04,1.4328000000e-03
-9.6000000000e-01,1.7250000000e-03,5.8668000000e-04,5.5010000000e-04,6.5600000000e-04,1.3734000000e-03
-9.4500000000e-01,1.7048000000e-03,5.8620000000e-04,5.7026000000e-04,6.3314000000e-04,1.3608000000e-03
-9.3000000000e-01,1.6560000000e-03,6.0364000000e-04,5.4814000000e-04,6.3624000000e-04,1.3008000000e-03
-9.1500000000e-01,1.6086000000e-03,6.1436000000e-04,5.9418000000e-04,6.8876000000e-04,1.2754000000e-03
-9.0000000000e-01,1.5626000000e-03,7.0634000000e-04,5.6552000000e-04,6.6296000000e-04,1.2608000000e-03
-8.8500000000e-01,1.5310000000e-03,6.8898000000e-04,5.3870000000e-04,6.4134000000e-04,1.2222000000e-03
-8.7000000000e-01,1.5006000000e-03,6.8442000000e-04,5.5560000000e-04,6.7324000000e-04,1.1980000000e-03
-8.5500000000e-01,1.4692000000e-03,6.2168000000e-04,5.4190000000e-04,6.7976000000e-04,1.1688000000e-03
-8.4000000000e-01,1.4516000000e-03,7.2924000000e-04,6.6640000000e-04,6.5076000000e-04,1.1532000000e-03
-8.2500000000e-01,1.4130000000e-03,7.5824000000e-04,8.0506000000e-04,7.4476000000e-04,1.1326000000e-03
-8.1000000000e-01,1.3732000000e-03,9.7880000000e-04,9.6574000000e-04,9.5436000000e-04,1.1148000000e-03
-7.9500000000e-01,1.3326000000e-03,1.0648000000e-03,1.0165000000e-03,1.0141200000e-03,1.1324800000e-03
-7.8000000000e-01,1.2836000000e-03,1.0870000000e-03,1.0293800000e-03,1.0886000000e-03,1.1049400000e-03
-7.6500000000e-01,1.2488000000e-03,1.1402800000e-03,1.0064200000e-03,1.0886000000e-03,1.1013000000e-03
-7.5000000000e-01,1.2190000000e-03,1.1220800000e-03,9.9442000000e-04,1.0783800000e-03,1.0760600000e-03
-7.3500000000e-01,1.1934000000e-03,1.1085600000e-03,9.9424000000e-04,1.0624000000e-03,1.0614800000e-03
