# Saved on 2025-06-18T17:55:07.166135
# Name: Abir
# Sample_ID: Batch3_F5_TPTE38
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 0.5
#   Neg_Voltage: -1.3
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,6.4300000000e-10,4.2430000000e-09
-1.3000000000e-02,9.0256000000e-07,8.2448000000e-07
-2.6000000000e-02,1.8187000000e-06,1.6685000000e-06
-3.9000000000e-02,2.6888000000e-06,2.4558000000e-06
-5.2000000000e-02,3.6370000000e-06,3.2640000000e-06
-6.5000000000e-02,4.5446000000e-06,4.0938000000e-06
-7.8000000000e-02,5.4308000000e-06,4.9688000000e-06
-9.1000000000e-02,6.3104000000e-06,5.8550000000e-06
-1.0400000000e-01,7.2677000000e-06,6.7212000000e-06
-1.1700000000e-01,8.2686000000e-06,7.6039000000e-06
-1.3000000000e-01,9.2430000000e-06,8.5149000000e-06
-1.4300000000e-01,1.0318000000e-05,9.4975000000e-06
-1.5600000000e-01,1.1358000000e-05,1.0516000000e-05
-1.6900000000e-01,1.2544000000e-05,1.1354000000e-05
-1.8200000000e-01,1.3664000000e-05,1.2420000000e-05
-1.9500000000e-01,1.4736000000e-05,1.3746000000e-05
-2.0800000000e-01,1.5960000000e-05,1.4654000000e-05
-2.2100000000e-01,1.7394000000e-05,1.5866000000e-05
-2.3400000000e-01,1.8724000000e-05,1.7230000000e-05
-2.4700000000e-01,2.0156000000e-05,1.8650000000e-05
-2.6000000000e-01,2.1576000000e-05,1.9800000000e-05
-2.7300000000e-01,2.3000000000e-05,2.1236000000e-05
-2.8600000000e-01,2.4480000000e-05,2.2882000000e-05
-2.9900000000e-01,2.6000000000e-05,2.4364000000e-05
-3.1200000000e-01,2.7624000000e-05,2.5766000000e-05
-3.2500000000e-01,2.9440000000e-05,2.7606000000e-05
-3.3800000000e-01,3.0996000000e-05,2.9214000000e-05
-3.5100000000e-01,3.2612000000e-05,3.1044000000e-05
-3.6400000000e-01,3.4720000000e-05,3.2454000000e-05
-3.7700000000e-01,3.6440000000e-05,3.4566000000e-05
-3.9000000000e-01,3.8522000000e-05,3.6486000000e-05
-4.0300000000e-01,4.0968000000e-05,3.8138000000e-05
-4.1600000000e-01,4.2920000000e-05,4.0338000000e-05
-4.2900000000e-01,4.5440000000e-05,4.2998000000e-05
-4.4200000000e-01,4.7588000000e-05,4.4692000000e-05
-4.5500000000e-01,4.9792000000e-05,4.7522000000e-05
-4.6800000000e-01,5.2232000000e-05,4.9456000000e-05
-4.8100000000e-01,5.4810000000e-05,5.1946000000e-05
-4.9400000000e-01,5.7978000000e-05,5.4484000000e-05
-5.0700000000e-01,6.0142000000e-05,5.7468000000e-05
-5.2000000000e-01,6.3112000000e-05,5.9970000000e-05
-5.3300000000e-01,6.6178000000e-05,6.2824000000e-05
-5.4600000000e-01,6.9420000000e-05,6.5814000000e-05
-5.5900000000e-01,7.3066000000e-05,6.8792000000e-05
-5.7200000000e-01,7.5656000000e-05,7.2006000000e-05
-5.8500000000e-01,7.9040000000e-05,7.5192000000e-05
-5.9800000000e-01,8.2624000000e-05,7.8482000000e-05
-6.1100000000e-01,8.6470000000e-05,8.2012000000e-05
-6.2400000000e-01,9.0300000000e-05,8.5584000000e-05
-6.3700000000e-01,9.4166000000e-05,8.9296000000e-05
-6.5000000000e-01,9.7966000000e-05,9.3298000000e-05
-6.6300000000e-01,1.0202000000e-04,9.7340000000e-05
-6.7600000000e-01,1.0640000000e-04,1.0166000000e-04
-6.8900000000e-01,1.1090000000e-04,1.0586000000e-04
-7.0200000000e-01,1.1560000000e-04,1.1010000000e-04
-7.1500000000e-01,1.2000000000e-04,1.1498000000e-04
-7.2800000000e-01,1.2498000000e-04,1.1978000000e-04
-7.4100000000e-01,1.2974000000e-04,1.2406000000e-04
-7.5400000000e-01,1.3550000000e-04,1.2956000000e-04
-7.6700000000e-01,1.4036000000e-04,1.3478000000e-04
-7.8000000000e-01,1.4616000000e-04,1.4032000000e-04
-7.9300000000e-01,1.5130000000e-04,1.4606000000e-04
-8.0600000000e-01,1.5736000000e-04,1.5196000000e-04
-8.1900000000e-01,1.6400000000e-04,1.5800000000e-04
-8.3200000000e-01,1.6998000000e-04,1.6394000000e-04
-8.4500000000e-01,1.7652000000e-04,1.6998000000e-04
-8.5800000000e-01,1.8280000000e-04,1.7704000000e-04
-8.7100000000e-01,1.8974000000e-04,1.8398000000e-04
-8.8400000000e-01,1.9750000000e-04,1.9100000000e-04
-8.9700000000e-01,2.0556000000e-04,1.9844000000e-04
-9.1000000000e-01,2.1428000000e-04,2.0684000000e-04
-9.2300000000e-01,2.2034000000e-04,2.1346000000e-04
-9.3600000000e-01,2.2782000000e-04,2.2160000000e-04
-9.4900000000e-01,2.3680000000e-04,2.2952000000e-04
-9.6200000000e-01,2.4490000000e-04,2.3850000000e-04
-9.7500000000e-01,2.5404000000e-04,2.4636000000e-04
-9.8800000000e-01,2.6414000000e-04,2.5470000000e-04
-1.0010000000e+00,2.7342000000e-04,2.6504000000e-04
-1.0140000000e+00,2.8156000000e-04,2.7516000000e-04
-1.0270000000e+00,2.9238000000e-04,2.8368000000e-04
-1.0400000000e+00,3.0272000000e-04,2.9490000000e-04
-1.0530000000e+00,3.1432000000e-04,3.0450000000e-04
-1.0660000000e+00,3.2466000000e-04,3.1564000000e-04
-1.0790000000e+00,3.3572000000e-04,3.2662000000e-04
-1.0920000000e+00,3.4852000000e-04,3.3936000000e-04
-1.1050000000e+00,3.5890000000e-04,3.5196000000e-04
