# Saved on 2025-06-18T17:56:43.138445
# Name: Abir
# Sample_ID: Batch3_F5_TPTE38
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -1.3
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A),Loop 4 (A),Loop 5 (A)
0.0000000000e+00,3.6510000000e-09,4.7070000000e-09,3.2060000000e-09,5.0900000000e-10,1.3010000000e-09
-1.3000000000e-02,6.5962000000e-07,5.8006000000e-07,4.3144000000e-07,3.1406000000e-07,3.0130000000e-07
-2.6000000000e-02,1.3459000000e-06,1.1271000000e-06,8.7896000000e-07,6.1588000000e-07,6.1520000000e-07
-3.9000000000e-02,1.9838000000e-06,1.6647000000e-06,1.3431000000e-06,9.7720000000e-07,9.1798000000e-07
-5.2000000000e-02,2.6658000000e-06,2.2498000000e-06,1.7674000000e-06,1.3310000000e-06,1.2342000000e-06
-6.5000000000e-02,3.3217000000e-06,2.8298000000e-06,2.2567000000e-06,1.6669000000e-06,1.5831000000e-06
-7.8000000000e-02,4.0564000000e-06,3.4478000000e-06,2.7348000000e-06,2.0293000000e-06,1.9183000000e-06
-9.1000000000e-02,4.7810000000e-06,4.2790000000e-06,3.2539000000e-06,2.4781000000e-06,2.3296000000e-06
-1.0400000000e-01,5.5964000000e-06,5.0069000000e-06,3.8008000000e-06,2.8529000000e-06,2.6959000000e-06
-1.1700000000e-01,6.3061000000e-06,5.4854000000e-06,4.3733000000e-06,3.3021000000e-06,3.1320000000e-06
-1.3000000000e-01,7.1130000000e-06,6.5107000000e-06,4.9492000000e-06,3.7504000000e-06,3.5881000000e-06
-1.4300000000e-01,7.9769000000e-06,7.3011000000e-06,5.5705000000e-06,4.2461000000e-06,4.0958000000e-06
-1.5600000000e-01,8.8411000000e-06,8.2277000000e-06,6.2237000000e-06,4.7927000000e-06,4.5986000000e-06
-1.6900000000e-01,9.8222000000e-06,9.1439000000e-06,6.9540000000e-06,5.3768000000e-06,5.1631000000e-06
-1.8200000000e-01,1.0860000000e-05,1.0108500000e-05,7.7105000000e-06,6.0109000000e-06,5.7429000000e-06
-1.9500000000e-01,1.1798000000e-05,1.0646000000e-05,8.4642000000e-06,6.6329000000e-06,6.4229000000e-06
-2.0800000000e-01,1.2812000000e-05,1.1730000000e-05,9.3007000000e-06,7.2814000000e-06,7.1640000000e-06
-2.2100000000e-01,1.3962000000e-05,1.2878000000e-05,1.0094000000e-05,8.0286000000e-06,7.8618000000e-06
-2.3400000000e-01,1.5142000000e-05,1.3950000000e-05,1.1034000000e-05,8.7811000000e-06,8.5955000000e-06
-2.4700000000e-01,1.6262000000e-05,1.5740000000e-05,1.1962000000e-05,9.7438000000e-06,9.3940000000e-06
-2.6000000000e-01,1.7594000000e-05,1.7112000000e-05,1.2992000000e-05,1.0606000000e-05,1.0318000000e-05
-2.7300000000e-01,1.8960000000e-05,1.8430000000e-05,1.4096000000e-05,1.1516000000e-05,1.1244000000e-05
-2.8600000000e-01,2.0284000000e-05,1.9838000000e-05,1.5198000000e-05,1.2490000000e-05,1.2262000000e-05
-2.9900000000e-01,2.1764000000e-05,2.0692000000e-05,1.6438000000e-05,1.3646000000e-05,1.3276000000e-05
-3.1200000000e-01,2.3336000000e-05,2.2806000000e-05,1.7680000000e-05,1.4850000000e-05,1.4458000000e-05
-3.2500000000e-01,2.4872000000e-05,2.4218000000e-05,1.9000000000e-05,1.5992000000e-05,1.5634000000e-05
