# Saved on 2025-06-18T17:59:19.815106
# Name: Abir
# Sample_ID: Batch3_F5_TPTE38
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 1.2
#   Neg_Voltage: -1.3
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A),Loop 4 (A),Loop 5 (A)
0.0000000000e+00,4.0192000000e-08,1.5176000000e-08,7.7050000000e-09,1.8605000000e-08,1.5708000000e-08
-1.3000000000e-02,2.5499000000e-06,2.6096000000e-06,2.6706000000e-06,2.3664000000e-06,2.9600000000e-06
-2.6000000000e-02,5.2232000000e-06,5.3229000000e-06,5.6039000000e-06,4.8878000000e-06,5.9635000000e-06
-3.9000000000e-02,7.8474000000e-06,7.9173000000e-06,8.3787000000e-06,7.3324000000e-06,9.0793000000e-06
-5.2000000000e-02,1.0634000000e-05,1.0702000000e-05,1.1500000000e-05,9.8802000000e-06,1.2156000000e-05
-6.5000000000e-02,1.3302000000e-05,1.3440000000e-05,1.4304000000e-05,1.2422000000e-05,1.5288000000e-05
-7.8000000000e-02,1.6124000000e-05,1.6264000000e-05,1.7294000000e-05,1.5012000000e-05,1.8572000000e-05
-9.1000000000e-02,1.9078000000e-05,1.9126000000e-05,2.0242000000e-05,1.7676000000e-05,2.1912000000e-05
-1.0400000000e-01,2.1924000000e-05,2.1926000000e-05,2.3324000000e-05,2.0322000000e-05,2.5278000000e-05
-1.1700000000e-01,2.4916000000e-05,2.4462000000e-05,2.6450000000e-05,2.3114000000e-05,2.8830000000e-05
-1.3000000000e-01,2.8096000000e-05,2.7598000000e-05,2.9560000000e-05,2.6096000000e-05,3.2350000000e-05
-1.4300000000e-01,3.1150000000e-05,3.0654000000e-05,3.2916000000e-05,2.9104000000e-05,3.5780000000e-05
-1.5600000000e-01,3.4326000000e-05,3.3906000000e-05,3.6244000000e-05,3.2138000000e-05,3.9472000000e-05
-1.6900000000e-01,3.7736000000e-05,3.7264000000e-05,3.9582000000e-05,3.5232000000e-05,4.3088000000e-05
-1.8200000000e-01,4.1066000000e-05,4.0648000000e-05,4.3154000000e-05,3.8368000000e-05,4.6818000000e-05
-1.9500000000e-01,4.4530000000e-05,4.4022000000e-05,4.6784000000e-05,4.1728000000e-05,5.0720000000e-05
-2.0800000000e-01,4.8172000000e-05,4.7640000000e-05,5.0472000000e-05,4.5062000000e-05,5.4558000000e-05
-2.2100000000e-01,5.1756000000e-05,5.1292000000e-05,5.4422000000e-05,4.8370000000e-05,5.8660000000e-05
-2.3400000000e-01,5.5436000000e-05,5.5140000000e-05,5.8352000000e-05,5.2104000000e-05,6.2850000000e-05
-2.4700000000e-01,5.9496000000e-05,5.8940000000e-05,6.2254000000e-05,5.5678000000e-05,6.6850000000e-05
-2.6000000000e-01,6.3626000000e-05,6.2810000000e-05,6.6362000000e-05,5.9572000000e-05,7.1210000000e-05
-2.7300000000e-01,6.7702000000e-05,6.7056000000e-05,7.0542000000e-05,6.3262000000e-05,7.5586000000e-05
-2.8600000000e-01,7.2118000000e-05,7.0912000000e-05,7.4648000000e-05,6.7386000000e-05,7.9844000000e-05
-2.9900000000e-01,7.6422000000e-05,7.5254000000e-05,7.9310000000e-05,7.1198000000e-05,8.4390000000e-05
-3.1200000000e-01,8.0694000000e-05,7.9754000000e-05,8.3792000000e-05,7.5596000000e-05,8.9060000000e-05
-3.2500000000e-01,8.5228000000e-05,8.4050000000e-05,8.8284000000e-05,7.9774000000e-05,9.3628000000e-05
-3.3800000000e-01,8.9784000000e-05,8.8550000000e-05,9.2884000000e-05,8.4280000000e-05,9.8416000000e-05
-3.5100000000e-01,9.4510000000e-05,9.3364000000e-05,9.7888000000e-05,8.8820000000e-05,1.0302000000e-04
-3.6400000000e-01,9.9248000000e-05,9.8134000000e-05,1.0328000000e-04,9.3604000000e-05,1.0798000000e-04
-3.7700000000e-01,1.0460000000e-04,1.0360000000e-04,1.0828000000e-04,9.8306000000e-05,1.1332000000e-04
-3.9000000000e-01,1.0984000000e-04,1.0830000000e-04,1.1352000000e-04,1.0318000000e-04,1.1844000000e-04
-4.0300000000e-01,1.1508000000e-04,1.1350000000e-04,1.1900000000e-04,1.0832000000e-04,1.2384000000e-04
-4.1600000000e-01,1.2036000000e-04,1.1884000000e-04,1.2444000000e-04,1.1388000000e-04,1.2888000000e-04
-4.2900000000e-01,1.2572000000e-04,1.2404000000e-04,1.2986000000e-04,1.1890000000e-04,1.3422000000e-04
-4.4200000000e-01,1.3144000000e-04,1.2974000000e-04,1.3596000000e-04,1.2428000000e-04,1.3980000000e-04
-4.5500000000e-01,1.3740000000e-04,1.3554000000e-04,1.4186000000e-04,1.3012000000e-04,1.4540000000e-04
-4.6800000000e-01,1.4324000000e-04,1.4118000000e-04,1.4764000000e-04,1.3566000000e-04,1.5120000000e-04
-4.8100000000e-01,1.4932000000e-04,1.4680000000e-04,1.5378000000e-04,1.4144000000e-04,1.5724000000e-04
-4.9400000000e-01,1.5564000000e-04,1.5318000000e-04,1.5974000000e-04,1.4802000000e-04,1.6284000000e-04
-5.0700000000e-01,1.6140000000e-04,1.5946000000e-04,1.6636000000e-04,1.5420000000e-04,1.6892000000e-04
-5.2000000000e-01,1.6818000000e-04,1.6592000000e-04,1.7334000000e-04,1.6050000000e-04,1.7520000000e-04
-5.3300000000e-01,1.7328000000e-04,1.7214000000e-04,1.7992000000e-04,1.6650000000e-04,1.8012000000e-04
-5.4600000000e-01,1.7988000000e-04,1.7886000000e-04,1.8660000000e-04,1.7296000000e-04,1.8672000000e-04
-5.5900000000e-01,1.8644000000e-04,1.8576000000e-04,1.9350000000e-04,1.8004000000e-04,1.9348000000e-04
-5.7200000000e-01,1.9324000000e-04,1.9250000000e-04,2.0046000000e-04,1.8722000000e-04,2.0114000000e-04
-5.8500000000e-01,1.9994000000e-04,1.9958000000e-04,2.0814000000e-04,1.9414000000e-04,2.0708000000e-04
-5.9800000000e-01,2.0730000000e-04,2.0744000000e-04,2.1574000000e-04,2.0142000000e-04,2.1508000000e-04
-6.1100000000e-01,2.1490000000e-04,2.1468000000e-04,2.2362000000e-04,2.0862000000e-04,2.2230000000e-04
-6.2400000000e-01,2.2190000000e-04,2.1696000000e-04,2.3142000000e-04,2.1582000000e-04,2.3032000000e-04
-6.3700000000e-01,2.2994000000e-04,2.2586000000e-04,2.3838000000e-04,2.2444000000e-04,2.3764000000e-04
-6.5000000000e-01,2.3762000000e-04,2.3614000000e-04,2.4690000000e-04,2.3212000000e-04,2.4504000000e-04
-6.6300000000e-01,2.4548000000e-04,2.3932000000e-04,2.5504000000e-04,2.4066000000e-04,2.5316000000e-04
-6.7600000000e-01,2.5384000000e-04,2.4772000000e-04,2.6484000000e-04,2.4840000000e-04,2.6042000000e-04
-6.8900000000e-01,2.6172000000e-04,2.5540000000e-04,2.7280000000e-04,2.5708000000e-04,2.6866000000e-04
-7.0200000000e-01,2.7102000000e-04,2.6342000000e-04,2.8198000000e-04,2.6592000000e-04,2.7884000000e-04
-7.1500000000e-01,2.7932000000e-04,2.7210000000e-04,2.9024000000e-04,2.7600000000e-04,2.8344000000e-04
-7.2800000000e-01,2.8832000000e-04,2.8110000000e-04,2.9908000000e-04,2.8534000000e-04,2.9104000000e-04
-7.4100000000e-01,2.9614000000e-04,2.9056000000e-04,3.0924000000e-04,2.9500000000e-04,3.0056000000e-04
-7.5400000000e-01,3.0626000000e-04,3.0004000000e-04,3.1806000000e-04,3.0386000000e-04,3.0926000000e-04
-7.6700000000e-01,3.1832000000e-04,3.0910000000e-04,3.2882000000e-04,3.0846000000e-04,3.1832000000e-04
-7.8000000000e-01,3.2866000000e-04,3.1926000000e-04,3.3816000000e-04,3.1946000000e-04,3.2808000000e-04
-7.9300000000e-01,3.3970000000e-04,3.2866000000e-04,3.4774000000e-04,3.2862000000e-04,3.3702000000e-04
-8.0600000000e-01,3.4856000000e-04,3.3900000000e-04,3.5920000000e-04,3.3832000000e-04,3.4592000000e-04
-8.1900000000e-01,3.6712000000e-04,3.5100000000e-04,3.6960000000e-04,3.5480000000e-04,3.5654000000e-04
-8.3200000000e-01,3.6472000000e-04,3.6010000000e-04,3.8200000000e-04,3.6488000000e-04,3.7188000000e-04
-8.4500000000e-01,3.7488000000e-04,3.7040000000e-04,3.9218000000e-04,3.7348000000e-04,3.8274000000e-04
-8.5800000000e-01,3.8660000000e-04,3.8150000000e-04,4.0434000000e-04,3.8490000000e-04,3.9374000000e-04
-8.7100000000e-01,4.0232000000e-04,3.9218000000e-04,4.1494000000e-04,3.9766000000e-04,4.0528000000e-04
-8.8400000000e-01,4.1486000000e-04,4.0434000000e-04,4.2796000000e-04,4.0816000000e-04,4.1752000000e-04
-8.9700000000e-01,4.2778000000e-04,4.2138000000e-04,4.4068000000e-04,4.1746000000e-04,4.2272000000e-04
-9.1000000000e-01,4.3408000000e-04,4.3490000000e-04,4.5300000000e-04,4.2936000000e-04,4.3456000000e-04
-9.2300000000e-01,4.4846000000e-04,4.4586000000e-04,4.6480000000e-04,4.3910000000e-04,4.4698000000e-04
