# Saved on 2025-06-27T16:10:21.004455
# Name: Abir
# Sample_ID: Batch5_Sample7_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.2
#   Reset_Compliance: 0.1
#   SaveData: True
Voltage (V),Current (A)
1.0000000000e+00,9.1450000000e-11
1.0000000000e+00,6.1740000000e-11
1.0000000000e+00,8.0120000000e-11
1.0000000000e+00,2.8232000000e-10
1.0000000000e+00,4.7859000000e-10
1.0000000000e+00,5.1696000000e-10
1.0000000000e+00,3.0164000000e-10
1.0000000000e+00,5.5210000000e-11
1.0000000000e+00,1.2536000000e-10
1.0000000000e+00,3.1616000000e-10
1.0000000000e+00,5.6690000000e-10
1.0000000000e+00,3.0291000000e-10
1.0000000000e+00,2.6299000000e-10
1.0000000000e+00,2.5550000000e-11
1.0000000000e+00,8.1520000000e-11
1.0000000000e+00,6.9870000000e-11
1.0000000000e+00,8.5160000000e-11
1.0000000000e+00,2.9018000000e-10
1.1000000000e+00,6.3529000000e-10
1.1000000000e+00,7.5896000000e-10
1.1000000000e+00,5.0332000000e-10
1.1000000000e+00,4.1470000000e-10
1.1000000000e+00,3.8083000000e-10
1.1000000000e+00,1.8800000000e-10
1.1000000000e+00,4.1677000000e-10
1.1000000000e+00,4.2415000000e-10
1.1000000000e+00,7.3710000000e-10
1.1000000000e+00,8.0830000000e-11
1.1000000000e+00,7.0110000000e-10
1.1000000000e+00,1.4371000000e-10
1.1000000000e+00,6.2010000000e-10
1.1000000000e+00,2.0874000000e-10
1.1000000000e+00,5.3600000000e-10
1.1000000000e+00,2.0507000000e-10
1.1000000000e+00,2.2538000000e-10
1.1000000000e+00,4.3085000000e-10
1.2000000000e+00,5.8990000000e-10
1.2000000000e+00,7.2460000000e-10
1.2000000000e+00,5.9110000000e-10
1.2000000000e+00,7.1280000000e-10
1.2000000000e+00,5.8330000000e-10
1.2000000000e+00,6.9190000000e-10
1.2000000000e+00,9.8800000000e-10
1.2000000000e+00,6.8160000000e-10
1.2000000000e+00,9.9080000000e-10
1.2000000000e+00,6.7230000000e-10
1.2000000000e+00,1.0034000000e-09
1.2000000000e+00,6.4660000000e-10
1.2000000000e+00,1.0077000000e-09
1.2000000000e+00,6.3250000000e-10
1.2000000000e+00,1.0035000000e-09
1.2000000000e+00,6.1670000000e-10
1.2000000000e+00,9.9860000000e-10
1.2000000000e+00,5.9610000000e-10
1.2000000000e+00,7.3360000000e-10
1.2000000000e+00,9.9420000000e-10
1.2000000000e+00,7.3020000000e-10
1.3000000000e+00,1.3454000000e-09
1.3000000000e+00,9.4800000000e-10
1.3000000000e+00,6.6950000000e-10
1.3000000000e+00,1.1047000000e-09
1.3000000000e+00,1.2920000000e-09
1.3000000000e+00,9.2380000000e-10
1.3000000000e+00,8.1990000000e-10
1.3000000000e+00,1.0540000000e-09
1.3000000000e+00,1.1102000000e-09
1.3000000000e+00,1.0727000000e-09
1.3000000000e+00,1.0311000000e-09
1.3000000000e+00,9.0710000000e-10
1.3000000000e+00,9.6100000000e-10
1.3000000000e+00,9.2110000000e-10
1.3000000000e+00,1.0416000000e-09
1.3000000000e+00,8.0240000000e-10
1.3000000000e+00,1.0061000000e-09
1.3000000000e+00,1.2895000000e-09
1.3000000000e+00,9.5690000000e-10
1.3000000000e+00,9.5110000000e-10
1.3000000000e+00,1.0944000000e-09
1.4000000000e+00,1.8923000000e-09
1.4000000000e+00,1.4474000000e-09
1.4000000000e+00,1.2086000000e-09
1.4000000000e+00,1.6696000000e-09
1.4000000000e+00,1.8352000000e-09
1.4000000000e+00,1.4693000000e-09
1.4000000000e+00,1.3823000000e-09
1.4000000000e+00,1.6240000000e-09
1.4000000000e+00,1.6435000000e-09
1.4000000000e+00,1.5466000000e-09
1.4000000000e+00,1.5792000000e-09
1.4000000000e+00,1.4619000000e-09
1.4000000000e+00,1.4977000000e-09
1.4000000000e+00,1.4888000000e-09
1.4000000000e+00,1.5957000000e-09
1.4000000000e+00,1.3424000000e-09
1.4000000000e+00,1.5196000000e-09
1.4000000000e+00,1.8385000000e-09
1.4000000000e+00,1.5062000000e-09
1.4000000000e+00,1.4853000000e-09
1.4000000000e+00,1.6463000000e-09
1.5000000000e+00,2.6881000000e-09
1.5000000000e+00,2.2534000000e-09
1.5000000000e+00,2.0118000000e-09
1.5000000000e+00,2.4811000000e-09
1.5000000000e+00,2.6083000000e-09
1.5000000000e+00,2.2669000000e-09
1.5000000000e+00,2.1785000000e-09
1.5000000000e+00,2.4146000000e-09
1.5000000000e+00,2.4381000000e-09
1.5000000000e+00,2.3759000000e-09
1.5000000000e+00,2.2315000000e-09
1.5000000000e+00,2.2503000000e-09
1.5000000000e+00,2.3018000000e-09
1.5000000000e+00,2.2547000000e-09
1.5000000000e+00,2.3995000000e-09
1.5000000000e+00,2.1423000000e-09
1.5000000000e+00,2.3722000000e-09
1.5000000000e+00,2.6658000000e-09
1.5000000000e+00,2.3211000000e-09
1.5000000000e+00,2.2608000000e-09
1.5000000000e+00,2.4669000000e-09
1.6000000000e+00,3.8466000000e-09
1.6000000000e+00,3.5115000000e-09
1.6000000000e+00,3.1807000000e-09
1.6000000000e+00,3.6396000000e-09
1.6000000000e+00,3.7362000000e-09
1.6000000000e+00,3.4346000000e-09
1.6000000000e+00,3.1633000000e-09
1.6000000000e+00,3.5254000000e-09
1.6000000000e+00,3.7792000000e-09
1.6000000000e+00,3.4815000000e-09
1.6000000000e+00,3.1352000000e-09
1.6000000000e+00,3.5932000000e-09
1.6000000000e+00,3.4682000000e-09
1.6000000000e+00,3.3856000000e-09
1.6000000000e+00,3.5705000000e-09
1.6000000000e+00,3.5213000000e-09
1.6000000000e+00,3.5816000000e-09
1.6000000000e+00,3.8123000000e-09
1.6000000000e+00,3.4924000000e-09
1.6000000000e+00,3.4180000000e-09
1.6000000000e+00,3.4653000000e-09
1.7000000000e+00,5.2809000000e-09
1.7000000000e+00,4.9481000000e-09
1.7000000000e+00,4.8890000000e-09
1.7000000000e+00,5.1223000000e-09
1.7000000000e+00,5.0080000000e-09
1.7000000000e+00,5.1259000000e-09
1.7000000000e+00,4.8422000000e-09
1.7000000000e+00,5.1707000000e-09
1.7000000000e+00,5.4301000000e-09
1.7000000000e+00,5.0008000000e-09
1.7000000000e+00,5.1408000000e-09
1.7000000000e+00,5.2558000000e-09
1.7000000000e+00,5.2196000000e-09
1.7000000000e+00,5.2667000000e-09
1.7000000000e+00,4.9982000000e-09
1.7000000000e+00,5.1486000000e-09
1.7000000000e+00,5.2064000000e-09
1.7000000000e+00,5.0992000000e-09
1.7000000000e+00,5.0976000000e-09
1.7000000000e+00,5.0074000000e-09
1.7000000000e+00,5.0566000000e-09
1.8000000000e+00,7.2365000000e-09
1.8000000000e+00,7.4260000000e-09
1.8000000000e+00,7.5100000000e-09
1.8000000000e+00,6.8514000000e-09
1.8000000000e+00,7.0421000000e-09
1.8000000000e+00,7.3652000000e-09
1.8000000000e+00,7.1565000000e-09
1.8000000000e+00,7.4839000000e-09
1.8000000000e+00,7.1465000000e-09
1.8000000000e+00,7.3881000000e-09
1.8000000000e+00,7.4990000000e-09
1.8000000000e+00,7.5490000000e-09
1.8000000000e+00,7.9670000000e-09
1.8000000000e+00,7.0945000000e-09
1.8000000000e+00,7.4575000000e-09
1.8000000000e+00,7.6230000000e-09
1.8000000000e+00,6.7747000000e-09
1.8000000000e+00,7.0629000000e-09
1.8000000000e+00,7.6050000000e-09
1.8000000000e+00,7.7180000000e-09
1.8000000000e+00,7.2680000000e-09
1.8000000000e+00,7.4446000000e-09
1.9000000000e+00,1.1039000000e-08
1.9000000000e+00,1.0909000000e-08
1.9000000000e+00,1.0526000000e-08
1.9000000000e+00,1.0993000000e-08
1.9000000000e+00,1.1084000000e-08
1.9000000000e+00,1.0810000000e-08
1.9000000000e+00,1.1066000000e-08
1.9000000000e+00,1.1159000000e-08
1.9000000000e+00,1.0852000000e-08
1.9000000000e+00,1.0951000000e-08
