# Saved on 2025-06-27T16:18:19.061728
# Name: Abir
# Sample_ID: Batch5_Sample7_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 3
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A)
0.0000000000e+00,7.8420000000e-08,0.0000000000e+00,0.0000000000e+00
-1.0000000000e-02,1.7244000000e-05,0.0000000000e+00,0.0000000000e+00
-2.0000000000e-02,3.5058000000e-05,0.0000000000e+00,0.0000000000e+00
-3.0000000000e-02,5.2068000000e-05,0.0000000000e+00,0.0000000000e+00
-4.0000000000e-02,7.0522000000e-05,0.0000000000e+00,0.0000000000e+00
-5.0000000000e-02,8.8538000000e-05,0.0000000000e+00,0.0000000000e+00
-6.0000000000e-02,1.0638000000e-04,0.0000000000e+00,0.0000000000e+00
-7.0000000000e-02,1.2374000000e-04,0.0000000000e+00,0.0000000000e+00
-8.0000000000e-02,1.4242000000e-04,0.0000000000e+00,0.0000000000e+00
-9.0000000000e-02,1.6264000000e-04,0.0000000000e+00,0.0000000000e+00
-1.0000000000e-01,1.8054000000e-04,0.0000000000e+00,0.0000000000e+00
-1.1000000000e-01,1.9964000000e-04,0.0000000000e+00,0.0000000000e+00
-1.2000000000e-01,2.1956000000e-04,0.0000000000e+00,0.0000000000e+00
-1.3000000000e-01,2.3888000000e-04,0.0000000000e+00,0.0000000000e+00
-1.4000000000e-01,2.5818000000e-04,0.0000000000e+00,0.0000000000e+00
-1.5000000000e-01,2.8042000000e-04,0.0000000000e+00,0.0000000000e+00
-1.6000000000e-01,3.0114000000e-04,0.0000000000e+00,0.0000000000e+00
-1.7000000000e-01,3.2018000000e-04,0.0000000000e+00,0.0000000000e+00
-1.8000000000e-01,3.4148000000e-04,0.0000000000e+00,0.0000000000e+00
-1.9000000000e-01,3.6152000000e-04,0.0000000000e+00,0.0000000000e+00
-2.0000000000e-01,3.8456000000e-04,0.0000000000e+00,0.0000000000e+00
-2.1000000000e-01,4.0764000000e-04,0.0000000000e+00,0.0000000000e+00
-2.2000000000e-01,4.2960000000e-04,0.0000000000e+00,0.0000000000e+00
-2.3000000000e-01,4.5334000000e-04,0.0000000000e+00,0.0000000000e+00
-2.4000000000e-01,4.7438000000e-04,0.0000000000e+00,0.0000000000e+00
-2.5000000000e-01,4.9718000000e-04,0.0000000000e+00,0.0000000000e+00
-2.6000000000e-01,5.2274000000e-04,0.0000000000e+00,0.0000000000e+00
-2.7000000000e-01,5.4588000000e-04,0.0000000000e+00,0.0000000000e+00
-2.8000000000e-01,5.6988000000e-04,0.0000000000e+00,0.0000000000e+00
-2.9000000000e-01,5.9486000000e-04,0.0000000000e+00,0.0000000000e+00
-3.0000000000e-01,6.1858000000e-04,0.0000000000e+00,0.0000000000e+00
