# Saved on 2025-06-27T16:19:09.919757
# Name: Abir
# Sample_ID: Batch5_Sample7_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 3
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -1.5
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A)
0.0000000000e+00,2.1042000000e-08,0.0000000000e+00,0.0000000000e+00
-1.5000000000e-02,2.6532000000e-05,0.0000000000e+00,0.0000000000e+00
-3.0000000000e-02,5.2948000000e-05,0.0000000000e+00,0.0000000000e+00
-4.5000000000e-02,8.0320000000e-05,0.0000000000e+00,0.0000000000e+00
-6.0000000000e-02,1.0842000000e-04,0.0000000000e+00,0.0000000000e+00
-7.5000000000e-02,1.3614000000e-04,0.0000000000e+00,0.0000000000e+00
-9.0000000000e-02,1.6236000000e-04,0.0000000000e+00,0.0000000000e+00
-1.0500000000e-01,1.9212000000e-04,0.0000000000e+00,0.0000000000e+00
-1.2000000000e-01,2.2126000000e-04,0.0000000000e+00,0.0000000000e+00
-1.3500000000e-01,2.5076000000e-04,0.0000000000e+00,0.0000000000e+00
-1.5000000000e-01,2.8174000000e-04,0.0000000000e+00,0.0000000000e+00
-1.6500000000e-01,3.1376000000e-04,0.0000000000e+00,0.0000000000e+00
-1.8000000000e-01,3.4442000000e-04,0.0000000000e+00,0.0000000000e+00
-1.9500000000e-01,3.7490000000e-04,0.0000000000e+00,0.0000000000e+00
-2.1000000000e-01,4.1026000000e-04,0.0000000000e+00,0.0000000000e+00
-2.2500000000e-01,4.4452000000e-04,0.0000000000e+00,0.0000000000e+00
-2.4000000000e-01,4.8014000000e-04,0.0000000000e+00,0.0000000000e+00
-2.5500000000e-01,5.1480000000e-04,0.0000000000e+00,0.0000000000e+00
-2.7000000000e-01,5.4958000000e-04,0.0000000000e+00,0.0000000000e+00
-2.8500000000e-01,5.8712000000e-04,0.0000000000e+00,0.0000000000e+00
-3.0000000000e-01,6.2190000000e-04,0.0000000000e+00,0.0000000000e+00
-3.1500000000e-01,6.6132000000e-04,0.0000000000e+00,0.0000000000e+00
-3.3000000000e-01,7.0144000000e-04,0.0000000000e+00,0.0000000000e+00
-3.4500000000e-01,7.3810000000e-04,0.0000000000e+00,0.0000000000e+00
-3.6000000000e-01,7.7648000000e-04,0.0000000000e+00,0.0000000000e+00
-3.7500000000e-01,8.1564000000e-04,0.0000000000e+00,0.0000000000e+00
-3.9000000000e-01,8.5572000000e-04,0.0000000000e+00,0.0000000000e+00
-4.0500000000e-01,8.9706000000e-04,0.0000000000e+00,0.0000000000e+00
-4.2000000000e-01,9.3868000000e-04,0.0000000000e+00,0.0000000000e+00
-4.3500000000e-01,9.7972000000e-04,0.0000000000e+00,0.0000000000e+00
-4.5000000000e-01,1.0220000000e-03,0.0000000000e+00,0.0000000000e+00
