# Saved on 2025-06-27T16:21:52.846886
# Name: Abir
# Sample_ID: Batch5_Sample7_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 3
#   Read_Voltage: 0.1
#   Pos_Voltage: 0.5
#   Neg_Voltage: -1.2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A)
0.0000000000e+00,2.5050000000e-07,0.0000000000e+00,0.0000000000e+00
-1.2000000000e-02,2.1336000000e-05,0.0000000000e+00,0.0000000000e+00
-2.4000000000e-02,4.4478000000e-05,0.0000000000e+00,0.0000000000e+00
-3.6000000000e-02,6.6718000000e-05,0.0000000000e+00,0.0000000000e+00
-4.8000000000e-02,8.7516000000e-05,0.0000000000e+00,0.0000000000e+00
-6.0000000000e-02,1.0792000000e-04,0.0000000000e+00,0.0000000000e+00
-7.2000000000e-02,1.3092000000e-04,0.0000000000e+00,0.0000000000e+00
-8.4000000000e-02,1.5370000000e-04,0.0000000000e+00,0.0000000000e+00
-9.6000000000e-02,1.7638000000e-04,0.0000000000e+00,0.0000000000e+00
-1.0800000000e-01,2.0034000000e-04,0.0000000000e+00,0.0000000000e+00
-1.2000000000e-01,2.2452000000e-04,0.0000000000e+00,0.0000000000e+00
-1.3200000000e-01,2.4630000000e-04,0.0000000000e+00,0.0000000000e+00
-1.4400000000e-01,2.7106000000e-04,0.0000000000e+00,0.0000000000e+00
-1.5600000000e-01,2.9760000000e-04,0.0000000000e+00,0.0000000000e+00
-1.6800000000e-01,3.2240000000e-04,0.0000000000e+00,0.0000000000e+00
-1.8000000000e-01,3.4960000000e-04,0.0000000000e+00,0.0000000000e+00
-1.9200000000e-01,3.7390000000e-04,0.0000000000e+00,0.0000000000e+00
-2.0400000000e-01,4.0026000000e-04,0.0000000000e+00,0.0000000000e+00
-2.1600000000e-01,4.2778000000e-04,0.0000000000e+00,0.0000000000e+00
-2.2800000000e-01,4.5454000000e-04,0.0000000000e+00,0.0000000000e+00
-2.4000000000e-01,4.8400000000e-04,0.0000000000e+00,0.0000000000e+00
-2.5200000000e-01,5.1252000000e-04,0.0000000000e+00,0.0000000000e+00
-2.6400000000e-01,5.3936000000e-04,0.0000000000e+00,0.0000000000e+00
