# Saved on 2025-06-27T16:18:45.289336
# Name: Abir
# Sample_ID: Batch5_Sample7_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 3
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A)
0.0000000000e+00,9.2080000000e-09,0.0000000000e+00,0.0000000000e+00
-1.3000000000e-02,2.2748000000e-05,0.0000000000e+00,0.0000000000e+00
-2.6000000000e-02,4.5220000000e-05,0.0000000000e+00,0.0000000000e+00
-3.9000000000e-02,6.8480000000e-05,0.0000000000e+00,0.0000000000e+00
-5.2000000000e-02,9.2962000000e-05,0.0000000000e+00,0.0000000000e+00
-6.5000000000e-02,1.1566000000e-04,0.0000000000e+00,0.0000000000e+00
-7.8000000000e-02,1.3958000000e-04,0.0000000000e+00,0.0000000000e+00
-9.1000000000e-02,1.6324000000e-04,0.0000000000e+00,0.0000000000e+00
-1.0400000000e-01,1.8884000000e-04,0.0000000000e+00,0.0000000000e+00
-1.1700000000e-01,2.1464000000e-04,0.0000000000e+00,0.0000000000e+00
-1.3000000000e-01,2.3986000000e-04,0.0000000000e+00,0.0000000000e+00
-1.4300000000e-01,2.6638000000e-04,0.0000000000e+00,0.0000000000e+00
-1.5600000000e-01,2.9182000000e-04,0.0000000000e+00,0.0000000000e+00
-1.6900000000e-01,3.1856000000e-04,0.0000000000e+00,0.0000000000e+00
-1.8200000000e-01,3.4876000000e-04,0.0000000000e+00,0.0000000000e+00
-1.9500000000e-01,3.7612000000e-04,0.0000000000e+00,0.0000000000e+00
-2.0800000000e-01,4.0502000000e-04,0.0000000000e+00,0.0000000000e+00
-2.2100000000e-01,4.3458000000e-04,0.0000000000e+00,0.0000000000e+00
-2.3400000000e-01,4.6374000000e-04,0.0000000000e+00,0.0000000000e+00
-2.4700000000e-01,4.9366000000e-04,0.0000000000e+00,0.0000000000e+00
-2.6000000000e-01,5.2508000000e-04,0.0000000000e+00,0.0000000000e+00
-2.7300000000e-01,5.5902000000e-04,0.0000000000e+00,0.0000000000e+00
-2.8600000000e-01,5.8820000000e-04,0.0000000000e+00,0.0000000000e+00
-2.9900000000e-01,6.1990000000e-04,0.0000000000e+00,0.0000000000e+00
-3.1200000000e-01,6.5090000000e-04,0.0000000000e+00,0.0000000000e+00
-3.2500000000e-01,6.8448000000e-04,0.0000000000e+00,0.0000000000e+00
-3.3800000000e-01,7.1934000000e-04,0.0000000000e+00,0.0000000000e+00
-3.5100000000e-01,7.5166000000e-04,0.0000000000e+00,0.0000000000e+00
-3.6400000000e-01,7.8648000000e-04,0.0000000000e+00,0.0000000000e+00
