# Saved on 2025-06-27T16:19:17.699493
# Name: Abir
# Sample_ID: Batch5_Sample7_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 3
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -1.5
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A)
0.0000000000e+00,8.6217000000e-08,0.0000000000e+00,0.0000000000e+00
-1.6000000000e-02,2.7856000000e-05,0.0000000000e+00,0.0000000000e+00
-3.2000000000e-02,5.6334000000e-05,0.0000000000e+00,0.0000000000e+00
-4.8000000000e-02,8.4904000000e-05,0.0000000000e+00,0.0000000000e+00
-6.4000000000e-02,1.1414000000e-04,0.0000000000e+00,0.0000000000e+00
-8.0000000000e-02,1.4448000000e-04,0.0000000000e+00,0.0000000000e+00
-9.6000000000e-02,1.7246000000e-04,0.0000000000e+00,0.0000000000e+00
-1.1200000000e-01,2.0480000000e-04,0.0000000000e+00,0.0000000000e+00
-1.2800000000e-01,2.3590000000e-04,0.0000000000e+00,0.0000000000e+00
-1.4400000000e-01,2.6830000000e-04,0.0000000000e+00,0.0000000000e+00
-1.6000000000e-01,3.0156000000e-04,0.0000000000e+00,0.0000000000e+00
-1.7600000000e-01,3.3426000000e-04,0.0000000000e+00,0.0000000000e+00
-1.9200000000e-01,3.7070000000e-04,0.0000000000e+00,0.0000000000e+00
-2.0800000000e-01,4.0608000000e-04,0.0000000000e+00,0.0000000000e+00
-2.2400000000e-01,4.4004000000e-04,0.0000000000e+00,0.0000000000e+00
-2.4000000000e-01,4.7742000000e-04,0.0000000000e+00,0.0000000000e+00
-2.5600000000e-01,5.1564000000e-04,0.0000000000e+00,0.0000000000e+00
-2.7200000000e-01,5.5294000000e-04,0.0000000000e+00,0.0000000000e+00
-2.8800000000e-01,5.9064000000e-04,0.0000000000e+00,0.0000000000e+00
-3.0400000000e-01,6.3050000000e-04,0.0000000000e+00,0.0000000000e+00
-3.2000000000e-01,6.7158000000e-04,0.0000000000e+00,0.0000000000e+00
-3.3600000000e-01,7.1402000000e-04,0.0000000000e+00,0.0000000000e+00
-3.5200000000e-01,7.5416000000e-04,0.0000000000e+00,0.0000000000e+00
-3.6800000000e-01,7.9656000000e-04,0.0000000000e+00,0.0000000000e+00
-3.8400000000e-01,8.3876000000e-04,0.0000000000e+00,0.0000000000e+00
-4.0000000000e-01,8.8522000000e-04,0.0000000000e+00,0.0000000000e+00
-4.1600000000e-01,9.2572000000e-04,0.0000000000e+00,0.0000000000e+00
-4.3200000000e-01,9.6978000000e-04,0.0000000000e+00,0.0000000000e+00
-4.4800000000e-01,1.0138000000e-03,0.0000000000e+00,0.0000000000e+00
-4.6400000000e-01,1.0602000000e-03,0.0000000000e+00,0.0000000000e+00
-4.8000000000e-01,1.1028000000e-03,0.0000000000e+00,0.0000000000e+00
-4.9600000000e-01,1.1522000000e-03,0.0000000000e+00,0.0000000000e+00
-5.1200000000e-01,1.1978000000e-03,0.0000000000e+00,0.0000000000e+00
-5.2800000000e-01,1.2444000000e-03,0.0000000000e+00,0.0000000000e+00
-5.4400000000e-01,1.2924000000e-03,0.0000000000e+00,0.0000000000e+00
-5.6000000000e-01,1.3384000000e-03,0.0000000000e+00,0.0000000000e+00
-5.7600000000e-01,1.3892000000e-03,0.0000000000e+00,0.0000000000e+00
-5.9200000000e-01,1.4356000000e-03,0.0000000000e+00,0.0000000000e+00
-6.0800000000e-01,1.4814000000e-03,0.0000000000e+00,0.0000000000e+00
-6.2400000000e-01,1.5316000000e-03,0.0000000000e+00,0.0000000000e+00
-6.4000000000e-01,1.5818000000e-03,0.0000000000e+00,0.0000000000e+00
-6.5600000000e-01,1.6316000000e-03,0.0000000000e+00,0.0000000000e+00
