# Saved on 2025-06-27T16:35:23.400903
# Name: Abir
# Sample_ID: Batch5_Sample7_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 3
#   Read_Voltage: 0.1
#   Pos_Voltage: 2.5
#   Neg_Voltage: -2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A)
0.0000000000e+00,1.6240000000e-07,0.0000000000e+00,0.0000000000e+00
-2.1000000000e-02,3.6954000000e-05,0.0000000000e+00,0.0000000000e+00
-4.2000000000e-02,7.3656000000e-05,0.0000000000e+00,0.0000000000e+00
-6.3000000000e-02,1.1292000000e-04,0.0000000000e+00,0.0000000000e+00
-8.4000000000e-02,1.5280000000e-04,0.0000000000e+00,0.0000000000e+00
-1.0500000000e-01,1.9200000000e-04,0.0000000000e+00,0.0000000000e+00
-1.2600000000e-01,2.3312000000e-04,0.0000000000e+00,0.0000000000e+00
-1.4700000000e-01,2.7624000000e-04,0.0000000000e+00,0.0000000000e+00
-1.6800000000e-01,3.1880000000e-04,0.0000000000e+00,0.0000000000e+00
-1.8900000000e-01,3.6490000000e-04,0.0000000000e+00,0.0000000000e+00
-2.1000000000e-01,4.1336000000e-04,0.0000000000e+00,0.0000000000e+00
-2.3100000000e-01,4.5840000000e-04,0.0000000000e+00,0.0000000000e+00
-2.5200000000e-01,5.0794000000e-04,0.0000000000e+00,0.0000000000e+00
-2.7300000000e-01,5.5838000000e-04,0.0000000000e+00,0.0000000000e+00
-2.9400000000e-01,6.0908000000e-04,0.0000000000e+00,0.0000000000e+00
-3.1500000000e-01,6.6258000000e-04,0.0000000000e+00,0.0000000000e+00
-3.3600000000e-01,7.1594000000e-04,0.0000000000e+00,0.0000000000e+00
-3.5700000000e-01,7.6980000000e-04,0.0000000000e+00,0.0000000000e+00
-3.7800000000e-01,8.2226000000e-04,0.0000000000e+00,0.0000000000e+00
-3.9900000000e-01,8.8076000000e-04,0.0000000000e+00,0.0000000000e+00
-4.2000000000e-01,9.3880000000e-04,0.0000000000e+00,0.0000000000e+00
-4.4100000000e-01,9.9772000000e-04,0.0000000000e+00,0.0000000000e+00
-4.6200000000e-01,1.0558000000e-03,0.0000000000e+00,0.0000000000e+00
-4.8300000000e-01,1.1154000000e-03,0.0000000000e+00,0.0000000000e+00
-5.0400000000e-01,1.1796000000e-03,0.0000000000e+00,0.0000000000e+00
-5.2500000000e-01,1.2388000000e-03,0.0000000000e+00,0.0000000000e+00
-5.4600000000e-01,1.2994000000e-03,0.0000000000e+00,0.0000000000e+00
-5.6700000000e-01,1.3614000000e-03,0.0000000000e+00,0.0000000000e+00
-5.8800000000e-01,1.4250000000e-03,0.0000000000e+00,0.0000000000e+00
-6.0900000000e-01,1.4890000000e-03,0.0000000000e+00,0.0000000000e+00
-6.3000000000e-01,1.5518000000e-03,0.0000000000e+00,0.0000000000e+00
-6.5100000000e-01,1.6182000000e-03,0.0000000000e+00,0.0000000000e+00
-6.7200000000e-01,1.6830000000e-03,0.0000000000e+00,0.0000000000e+00
-6.9300000000e-01,1.7450000000e-03,0.0000000000e+00,0.0000000000e+00
-7.1400000000e-01,1.8126000000e-03,0.0000000000e+00,0.0000000000e+00
-7.3500000000e-01,1.8814000000e-03,0.0000000000e+00,0.0000000000e+00
-7.5600000000e-01,1.9472000000e-03,0.0000000000e+00,0.0000000000e+00
-7.7700000000e-01,2.0160000000e-03,0.0000000000e+00,0.0000000000e+00
-7.9800000000e-01,2.0810000000e-03,0.0000000000e+00,0.0000000000e+00
-8.1900000000e-01,2.1500000000e-03,0.0000000000e+00,0.0000000000e+00
-8.4000000000e-01,2.2188000000e-03,0.0000000000e+00,0.0000000000e+00
-8.6100000000e-01,2.2898000000e-03,0.0000000000e+00,0.0000000000e+00
-8.8200000000e-01,2.3596000000e-03,0.0000000000e+00,0.0000000000e+00
-9.0300000000e-01,2.4278000000e-03,0.0000000000e+00,0.0000000000e+00
-9.2400000000e-01,2.4948000000e-03,0.0000000000e+00,0.0000000000e+00
-9.4500000000e-01,2.5678000000e-03,0.0000000000e+00,0.0000000000e+00
-9.6600000000e-01,2.6388000000e-03,0.0000000000e+00,0.0000000000e+00
-9.8700000000e-01,2.7086000000e-03,0.0000000000e+00,0.0000000000e+00
-1.0080000000e+00,2.7808000000e-03,0.0000000000e+00,0.0000000000e+00
-1.0290000000e+00,2.8536000000e-03,0.0000000000e+00,0.0000000000e+00
-1.0500000000e+00,2.9194000000e-03,0.0000000000e+00,0.0000000000e+00
-1.0710000000e+00,2.9906000000e-03,0.0000000000e+00,0.0000000000e+00
-1.0920000000e+00,3.0656000000e-03,0.0000000000e+00,0.0000000000e+00
-1.1130000000e+00,3.1368000000e-03,0.0000000000e+00,0.0000000000e+00
-1.1340000000e+00,3.2102000000e-03,0.0000000000e+00,0.0000000000e+00
-1.1550000000e+00,3.2802000000e-03,0.0000000000e+00,0.0000000000e+00
-1.1760000000e+00,3.3534000000e-03,0.0000000000e+00,0.0000000000e+00
-1.1970000000e+00,3.4270000000e-03,0.0000000000e+00,0.0000000000e+00
-1.2180000000e+00,3.4976000000e-03,0.0000000000e+00,0.0000000000e+00
-1.2390000000e+00,3.5728000000e-03,0.0000000000e+00,0.0000000000e+00
-1.2600000000e+00,3.6470000000e-03,0.0000000000e+00,0.0000000000e+00
-1.2810000000e+00,3.7170000000e-03,0.0000000000e+00,0.0000000000e+00
-1.3020000000e+00,3.7930000000e-03,0.0000000000e+00,0.0000000000e+00
-1.3230000000e+00,3.8668000000e-03,0.0000000000e+00,0.0000000000e+00
-1.3440000000e+00,3.9416000000e-03,0.0000000000e+00,0.0000000000e+00
-1.3650000000e+00,4.0160000000e-03,0.0000000000e+00,0.0000000000e+00
-1.3860000000e+00,4.0912000000e-03,0.0000000000e+00,0.0000000000e+00
-1.4070000000e+00,4.1638000000e-03,0.0000000000e+00,0.0000000000e+00
-1.4280000000e+00,4.2344000000e-03,0.0000000000e+00,0.0000000000e+00
-1.4490000000e+00,4.3136000000e-03,0.0000000000e+00,0.0000000000e+00
-1.4700000000e+00,4.3906000000e-03,0.0000000000e+00,0.0000000000e+00
-1.4910000000e+00,4.4644000000e-03,0.0000000000e+00,0.0000000000e+00
-1.5120000000e+00,4.5404000000e-03,0.0000000000e+00,0.0000000000e+00
-1.5330000000e+00,4.6150000000e-03,0.0000000000e+00,0.0000000000e+00
-1.5540000000e+00,4.6896000000e-03,0.0000000000e+00,0.0000000000e+00
-1.5750000000e+00,4.7636000000e-03,0.0000000000e+00,0.0000000000e+00
-1.5960000000e+00,4.8420000000e-03,0.0000000000e+00,0.0000000000e+00
-1.6170000000e+00,4.9186000000e-03,0.0000000000e+00,0.0000000000e+00
-1.6380000000e+00,4.9922000000e-03,0.0000000000e+00,0.0000000000e+00
-1.6590000000e+00,5.0666000000e-03,0.0000000000e+00,0.0000000000e+00
-1.6800000000e+00,5.1432000000e-03,0.0000000000e+00,0.0000000000e+00
-1.7010000000e+00,5.2152000000e-03,0.0000000000e+00,0.0000000000e+00
-1.7220000000e+00,5.2942000000e-03,0.0000000000e+00,0.0000000000e+00
-1.7430000000e+00,5.3712000000e-03,0.0000000000e+00,0.0000000000e+00
-1.7640000000e+00,5.4486000000e-03,0.0000000000e+00,0.0000000000e+00
