# Saved on 2025-06-27T16:47:52.653033
# Name: Abir
# Sample_ID: Batch5_Sample7_F5_TPTE34
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 3
#   Read_Voltage: 0.1
#   Pos_Voltage: 0.5
#   Neg_Voltage: -1.2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A)
0.0000000000e+00,6.7760000000e-08,0.0000000000e+00,0.0000000000e+00
-1.2000000000e-02,3.3846000000e-05,0.0000000000e+00,0.0000000000e+00
-2.4000000000e-02,6.8140000000e-05,0.0000000000e+00,0.0000000000e+00
-3.6000000000e-02,1.0116200000e-04,0.0000000000e+00,0.0000000000e+00
-4.8000000000e-02,1.3464000000e-04,0.0000000000e+00,0.0000000000e+00
-6.0000000000e-02,1.6786000000e-04,0.0000000000e+00,0.0000000000e+00
-7.2000000000e-02,2.0454000000e-04,0.0000000000e+00,0.0000000000e+00
-8.4000000000e-02,2.3818000000e-04,0.0000000000e+00,0.0000000000e+00
-9.6000000000e-02,2.7250000000e-04,0.0000000000e+00,0.0000000000e+00
-1.0800000000e-01,3.0754000000e-04,0.0000000000e+00,0.0000000000e+00
-1.2000000000e-01,3.4090000000e-04,0.0000000000e+00,0.0000000000e+00
-1.3200000000e-01,3.7502000000e-04,0.0000000000e+00,0.0000000000e+00
-1.4400000000e-01,4.1112000000e-04,0.0000000000e+00,0.0000000000e+00
-1.5600000000e-01,4.4890000000e-04,0.0000000000e+00,0.0000000000e+00
-1.6800000000e-01,4.8144000000e-04,0.0000000000e+00,0.0000000000e+00
-1.8000000000e-01,5.1580000000e-04,0.0000000000e+00,0.0000000000e+00
-1.9200000000e-01,5.4954000000e-04,0.0000000000e+00,0.0000000000e+00
-2.0400000000e-01,5.8586000000e-04,0.0000000000e+00,0.0000000000e+00
-2.1600000000e-01,6.2200000000e-04,0.0000000000e+00,0.0000000000e+00
-2.2800000000e-01,6.5640000000e-04,0.0000000000e+00,0.0000000000e+00
-2.4000000000e-01,6.9506000000e-04,0.0000000000e+00,0.0000000000e+00
-2.5200000000e-01,7.3068000000e-04,0.0000000000e+00,0.0000000000e+00
-2.6400000000e-01,7.6442000000e-04,0.0000000000e+00,0.0000000000e+00
-2.7600000000e-01,8.0154000000e-04,0.0000000000e+00,0.0000000000e+00
-2.8800000000e-01,8.3966000000e-04,0.0000000000e+00,0.0000000000e+00
-3.0000000000e-01,8.7688000000e-04,0.0000000000e+00,0.0000000000e+00
-3.1200000000e-01,9.1526000000e-04,0.0000000000e+00,0.0000000000e+00
-3.2400000000e-01,9.4912000000e-04,0.0000000000e+00,0.0000000000e+00
-3.3600000000e-01,9.8634000000e-04,0.0000000000e+00,0.0000000000e+00
-3.4800000000e-01,1.0270000000e-03,0.0000000000e+00,0.0000000000e+00
-3.6000000000e-01,1.0612000000e-03,0.0000000000e+00,0.0000000000e+00
-3.7200000000e-01,1.0982000000e-03,0.0000000000e+00,0.0000000000e+00
-3.8400000000e-01,1.1346000000e-03,0.0000000000e+00,0.0000000000e+00
-3.9600000000e-01,1.1736000000e-03,0.0000000000e+00,0.0000000000e+00
-4.0800000000e-01,1.2116000000e-03,0.0000000000e+00,0.0000000000e+00
-4.2000000000e-01,1.2496000000e-03,0.0000000000e+00,0.0000000000e+00
-4.3200000000e-01,1.2880000000e-03,0.0000000000e+00,0.0000000000e+00
-4.4400000000e-01,1.3254000000e-03,0.0000000000e+00,0.0000000000e+00
-4.5600000000e-01,1.3616000000e-03,0.0000000000e+00,0.0000000000e+00
-4.6800000000e-01,1.4040000000e-03,0.0000000000e+00,0.0000000000e+00
-4.8000000000e-01,1.4404000000e-03,0.0000000000e+00,0.0000000000e+00
-4.9200000000e-01,1.4790000000e-03,0.0000000000e+00,0.0000000000e+00
-5.0400000000e-01,1.5186000000e-03,0.0000000000e+00,0.0000000000e+00
-5.1600000000e-01,1.5564000000e-03,0.0000000000e+00,0.0000000000e+00
-5.2800000000e-01,1.5938000000e-03,0.0000000000e+00,0.0000000000e+00
-5.4000000000e-01,1.6338000000e-03,0.0000000000e+00,0.0000000000e+00
-5.5200000000e-01,1.6770000000e-03,0.0000000000e+00,0.0000000000e+00
-5.6400000000e-01,1.7126000000e-03,0.0000000000e+00,0.0000000000e+00
-5.7600000000e-01,1.7504000000e-03,0.0000000000e+00,0.0000000000e+00
-5.8800000000e-01,1.7878000000e-03,0.0000000000e+00,0.0000000000e+00
-6.0000000000e-01,1.8288000000e-03,0.0000000000e+00,0.0000000000e+00
-6.1200000000e-01,1.8696000000e-03,0.0000000000e+00,0.0000000000e+00
-6.2400000000e-01,1.9078000000e-03,0.0000000000e+00,0.0000000000e+00
-6.3600000000e-01,1.9488000000e-03,0.0000000000e+00,0.0000000000e+00
-6.4800000000e-01,1.9860000000e-03,0.0000000000e+00,0.0000000000e+00
-6.6000000000e-01,2.0232000000e-03,0.0000000000e+00,0.0000000000e+00
-6.7200000000e-01,2.0656000000e-03,0.0000000000e+00,0.0000000000e+00
-6.8400000000e-01,2.1046000000e-03,0.0000000000e+00,0.0000000000e+00
-6.9600000000e-01,2.1436000000e-03,0.0000000000e+00,0.0000000000e+00
-7.0800000000e-01,2.1864000000e-03,0.0000000000e+00,0.0000000000e+00
-7.2000000000e-01,2.2250000000e-03,0.0000000000e+00,0.0000000000e+00
-7.3200000000e-01,2.2650000000e-03,0.0000000000e+00,0.0000000000e+00
-7.4400000000e-01,2.3034000000e-03,0.0000000000e+00,0.0000000000e+00
