# Saved on 2025-06-27T16:54:19.460109
# Name: Abir
# Sample_ID: Batch5_Sample7_F5_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -2
#   Reset_Compliance: 0.1
#   SaveData: True
Voltage (V),Current (A)
1.0000000000e+00,4.1253000000e-10
1.0000000000e+00,1.3610000000e-10
1.0000000000e+00,1.3889000000e-10
1.0000000000e+00,2.1396000000e-10
1.0000000000e+00,1.4840000000e-11
1.0000000000e+00,3.9140000000e-11
1.0000000000e+00,2.6041000000e-10
1.0000000000e+00,4.5979000000e-10
1.0000000000e+00,5.8253000000e-10
1.0000000000e+00,3.2234000000e-10
1.0000000000e+00,5.7570000000e-10
1.0000000000e+00,4.9930000000e-11
1.0000000000e+00,7.9090000000e-11
1.0000000000e+00,1.7267000000e-10
1.0000000000e+00,2.9419000000e-10
1.0000000000e+00,1.8461000000e-10
1.0000000000e+00,5.2140000000e-11
1.0000000000e+00,1.0000000000e-13
1.1000000000e+00,4.3539000000e-10
1.1000000000e+00,3.6307000000e-10
1.1000000000e+00,7.3418000000e-10
1.1000000000e+00,3.6114000000e-10
1.1000000000e+00,1.7284000000e-10
1.1000000000e+00,3.9137000000e-10
1.1000000000e+00,4.1742000000e-10
1.1000000000e+00,7.2450000000e-10
1.1000000000e+00,2.9345000000e-10
1.1000000000e+00,7.1874000000e-10
1.1000000000e+00,4.9469000000e-10
1.1000000000e+00,3.1895000000e-10
1.1000000000e+00,7.8500000000e-11
1.1000000000e+00,4.4456000000e-10
1.1000000000e+00,8.2110000000e-11
1.1000000000e+00,1.8934000000e-10
1.1000000000e+00,4.8810000000e-10
1.1000000000e+00,6.0611000000e-10
1.2000000000e+00,9.7730000000e-10
1.2000000000e+00,6.7919000000e-10
1.2000000000e+00,6.2240000000e-10
1.2000000000e+00,9.7500000000e-10
1.2000000000e+00,6.3880000000e-10
1.2000000000e+00,9.7690000000e-10
1.2000000000e+00,6.5300000000e-10
1.2000000000e+00,9.7840000000e-10
1.2000000000e+00,3.9256000000e-10
