# Saved on 2025-06-27T16:57:29.872001
# Name: Abir
# Sample_ID: Batch5_Sample7_F5_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 1
#   Read_Voltage: 0.1
#   Pos_Voltage: 0.5
#   Neg_Voltage: -5
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.001
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A)
0.0000000000e+00,5.6485000000e-08
-5.0000000000e-02,1.6272000000e-04
-1.0000000000e-01,3.2864000000e-04
-1.5000000000e-01,4.9824000000e-04
-2.0000000000e-01,6.7214000000e-04
-2.5000000000e-01,8.5690000000e-04
-3.0000000000e-01,1.0000200000e-03
-3.5000000000e-01,1.0000200000e-03
-4.0000000000e-01,1.0000200000e-03
-4.5000000000e-01,1.0000200000e-03
-5.0000000000e-01,1.0000000000e-03
-5.5000000000e-01,1.0000200000e-03
-6.0000000000e-01,1.0000000000e-03
-6.5000000000e-01,1.0000200000e-03
-7.0000000000e-01,1.0000000000e-03
-7.5000000000e-01,1.0000200000e-03
-8.0000000000e-01,1.0000200000e-03
-8.5000000000e-01,1.0000200000e-03
-9.0000000000e-01,1.0000400000e-03
-9.5000000000e-01,1.0000000000e-03
-1.0000000000e+00,1.0000000000e-03
-1.0500000000e+00,1.0000200000e-03
-1.1000000000e+00,1.0000200000e-03
-1.1500000000e+00,1.0000000000e-03
-1.2000000000e+00,1.0000200000e-03
-1.2500000000e+00,1.0000000000e-03
-1.3000000000e+00,1.0000200000e-03
-1.3500000000e+00,1.0000000000e-03
-1.4000000000e+00,1.0000200000e-03
-1.4500000000e+00,1.0000200000e-03
-1.5000000000e+00,1.0000200000e-03
-1.5500000000e+00,1.0000000000e-03
-1.6000000000e+00,1.0000200000e-03
-1.6500000000e+00,1.0000000000e-03
-1.7000000000e+00,1.0000000000e-03
-1.7500000000e+00,1.0000000000e-03
-1.8000000000e+00,1.0000000000e-03
-1.8500000000e+00,1.0000000000e-03
-1.9000000000e+00,1.0000200000e-03
-1.9500000000e+00,1.0000200000e-03
-2.0000000000e+00,1.0000000000e-03
-2.0500000000e+00,1.0000200000e-03
-2.1000000000e+00,1.0000000000e-03
-2.1500000000e+00,1.0000200000e-03
-2.2000000000e+00,1.0000200000e-03
-2.2500000000e+00,1.0000200000e-03
-2.3000000000e+00,1.0000000000e-03
-2.3500000000e+00,1.0000200000e-03
-2.4000000000e+00,1.0000000000e-03
-2.4500000000e+00,1.0000000000e-03
-2.5000000000e+00,1.0000000000e-03
-2.5500000000e+00,1.0000200000e-03
-2.6000000000e+00,1.0000200000e-03
-2.6500000000e+00,1.0000200000e-03
-2.7000000000e+00,1.0000000000e-03
-2.7500000000e+00,1.0000200000e-03
-2.8000000000e+00,1.0000200000e-03
-2.8500000000e+00,1.0000200000e-03
-2.9000000000e+00,1.0000200000e-03
-2.9500000000e+00,1.0000200000e-03
-3.0000000000e+00,1.0000200000e-03
-3.0500000000e+00,1.0000200000e-03
-3.1000000000e+00,1.0000200000e-03
-3.1500000000e+00,1.0000000000e-03
-3.2000000000e+00,1.0000200000e-03
-3.2500000000e+00,1.0000200000e-03
-3.3000000000e+00,1.0000000000e-03
-3.3500000000e+00,1.0000200000e-03
-3.4000000000e+00,1.0000200000e-03
-3.4500000000e+00,1.0000000000e-03
-3.5000000000e+00,1.0000200000e-03
-3.5500000000e+00,1.0000000000e-03
-3.6000000000e+00,1.0000200000e-03
-3.6500000000e+00,1.0000200000e-03
-3.7000000000e+00,1.0000200000e-03
-3.7500000000e+00,1.0000000000e-03
-3.8000000000e+00,1.0000200000e-03
-3.8500000000e+00,1.0000000000e-03
-3.9000000000e+00,1.0000200000e-03
-3.9500000000e+00,1.0000200000e-03
-4.0000000000e+00,1.0000000000e-03
-4.0500000000e+00,1.0000000000e-03
-4.1000000000e+00,1.0000200000e-03
-4.1500000000e+00,1.0000000000e-03
-4.2000000000e+00,1.0000200000e-03
-4.2500000000e+00,1.0000200000e-03
-4.3000000000e+00,1.0000200000e-03
-4.3500000000e+00,1.0000200000e-03
-4.4000000000e+00,1.0000200000e-03
-4.4500000000e+00,1.0000200000e-03
-4.5000000000e+00,1.0000400000e-03
-4.5500000000e+00,1.0000200000e-03
-4.6000000000e+00,1.0000000000e-03
-4.6500000000e+00,1.0000000000e-03
-4.7000000000e+00,1.0000200000e-03
-4.7500000000e+00,1.0000200000e-03
-4.8000000000e+00,1.0000000000e-03
-4.8500000000e+00,1.0000000000e-03
-4.9000000000e+00,1.0000000000e-03
-4.9500000000e+00,1.0000200000e-03
-5.0000000000e+00,1.0000200000e-03
-5.0000000000e+00,1.0000200000e-03
-4.9500000000e+00,1.0000200000e-03
-4.9000000000e+00,1.0000200000e-03
-4.8500000000e+00,1.0000000000e-03
-4.8000000000e+00,1.0000200000e-03
-4.7500000000e+00,1.0000200000e-03
-4.7000000000e+00,1.0000000000e-03
-4.6500000000e+00,1.0000200000e-03
-4.6000000000e+00,1.0000000000e-03
-4.5500000000e+00,1.0000000000e-03
-4.5000000000e+00,1.0000200000e-03
-4.4500000000e+00,1.0000200000e-03
-4.4000000000e+00,1.0000200000e-03
-4.3500000000e+00,1.0000000000e-03
-4.3000000000e+00,1.0000200000e-03
-4.2500000000e+00,1.0000200000e-03
-4.2000000000e+00,1.0000200000e-03
-4.1500000000e+00,1.0000200000e-03
-4.1000000000e+00,1.0000000000e-03
-4.0500000000e+00,1.0000200000e-03
-4.0000000000e+00,1.0000200000e-03
-3.9500000000e+00,1.0000200000e-03
-3.9000000000e+00,1.0000200000e-03
-3.8500000000e+00,1.0000200000e-03
-3.8000000000e+00,1.0000000000e-03
-3.7500000000e+00,1.0000200000e-03
-3.7000000000e+00,1.0000000000e-03
-3.6500000000e+00,1.0000000000e-03
-3.6000000000e+00,1.0000200000e-03
-3.5500000000e+00,1.0000200000e-03
-3.5000000000e+00,1.0000000000e-03
