# Saved on 2025-06-27T17:04:52.216452
# Name: Abir
# Sample_ID: Batch5_Sample7_F5_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 1
#   Read_Voltage: 0.1
#   Pos_Voltage: 0.1
#   Neg_Voltage: -2.5
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.001
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A)
0.0000000000e+00,5.5370000000e-07
-2.7000000000e-02,1.0366000000e-04
-5.4000000000e-02,2.0838000000e-04
-8.1000000000e-02,3.1786000000e-04
-1.0800000000e-01,4.2216000000e-04
-1.3500000000e-01,5.2854000000e-04
-1.6200000000e-01,6.3756000000e-04
-1.8900000000e-01,7.4240000000e-04
-2.1600000000e-01,8.5096000000e-04
-2.4300000000e-01,9.5960000000e-04
-2.7000000000e-01,1.0000000000e-03
-2.9700000000e-01,1.0000000000e-03
-3.2400000000e-01,1.0000200000e-03
-3.5100000000e-01,1.0000200000e-03
-3.7800000000e-01,1.0000000000e-03
-4.0500000000e-01,1.0000200000e-03
-4.3200000000e-01,1.0000000000e-03
-4.5900000000e-01,1.0000000000e-03
-4.8600000000e-01,1.0000200000e-03
-5.1300000000e-01,1.0000200000e-03
-5.4000000000e-01,1.0000200000e-03
-5.6700000000e-01,1.0000200000e-03
-5.9400000000e-01,1.0000200000e-03
-6.2100000000e-01,1.0000000000e-03
-6.4800000000e-01,1.0000200000e-03
-6.7500000000e-01,1.0000000000e-03
-7.0200000000e-01,1.0000000000e-03
-7.2900000000e-01,1.0000200000e-03
-7.5600000000e-01,1.0000200000e-03
-7.8300000000e-01,1.0000200000e-03
-8.1000000000e-01,1.0000200000e-03
-8.3700000000e-01,1.0000000000e-03
-8.6400000000e-01,1.0000200000e-03
-8.9100000000e-01,1.0000200000e-03
-9.1800000000e-01,1.0000200000e-03
-9.4500000000e-01,1.0000200000e-03
-9.7200000000e-01,1.0000000000e-03
-9.9900000000e-01,1.0000200000e-03
-1.0260000000e+00,1.0000000000e-03
-1.0530000000e+00,1.0000200000e-03
-1.0800000000e+00,1.0000000000e-03
-1.1070000000e+00,1.0000200000e-03
-1.1340000000e+00,1.0000200000e-03
-1.1610000000e+00,1.0000000000e-03
-1.1880000000e+00,1.0000000000e-03
-1.2150000000e+00,1.0000200000e-03
-1.2420000000e+00,1.0000200000e-03
-1.2690000000e+00,1.0000000000e-03
-1.2960000000e+00,1.0000200000e-03
-1.3230000000e+00,1.0000200000e-03
-1.3500000000e+00,1.0000200000e-03
-1.3770000000e+00,1.0000200000e-03
-1.4040000000e+00,1.0000000000e-03
-1.4310000000e+00,1.0000000000e-03
-1.4580000000e+00,1.0000000000e-03
-1.4850000000e+00,1.0000200000e-03
-1.5120000000e+00,1.0000200000e-03
-1.5390000000e+00,1.0000200000e-03
-1.5660000000e+00,1.0000200000e-03
-1.5930000000e+00,1.0000000000e-03
-1.6200000000e+00,1.0000200000e-03
-1.6470000000e+00,1.0000000000e-03
-1.6740000000e+00,1.0000000000e-03
-1.7010000000e+00,1.0000200000e-03
-1.7280000000e+00,1.0000200000e-03
-1.7550000000e+00,1.0000000000e-03
-1.7820000000e+00,1.0000000000e-03
-1.8090000000e+00,1.0000200000e-03
-1.8360000000e+00,1.0000200000e-03
-1.8630000000e+00,1.0000200000e-03
-1.8900000000e+00,1.0000000000e-03
-1.9170000000e+00,1.0000000000e-03
-1.9440000000e+00,1.0000200000e-03
-1.9710000000e+00,1.0000000000e-03
-1.9980000000e+00,1.0000000000e-03
-2.0250000000e+00,1.0000000000e-03
-2.0520000000e+00,1.0000200000e-03
-2.0790000000e+00,1.0000200000e-03
-2.1060000000e+00,1.0000200000e-03
-2.1330000000e+00,1.0000000000e-03
-2.1600000000e+00,1.0000000000e-03
-2.1870000000e+00,1.0000200000e-03
-2.2140000000e+00,1.0000000000e-03
-2.2410000000e+00,1.0000000000e-03
-2.2680000000e+00,1.0000200000e-03
-2.2950000000e+00,1.0000200000e-03
-2.3220000000e+00,1.0000000000e-03
-2.3490000000e+00,1.0000000000e-03
-2.3760000000e+00,1.0000000000e-03
-2.4030000000e+00,1.0000200000e-03
-2.4300000000e+00,1.0000200000e-03
-2.4570000000e+00,1.0000200000e-03
-2.4840000000e+00,1.0000000000e-03
-2.5110000000e+00,1.0000200000e-03
-2.5380000000e+00,1.0000200000e-03
-2.5650000000e+00,1.0000000000e-03
-2.5920000000e+00,1.0000200000e-03
-2.6190000000e+00,1.0000200000e-03
-2.6460000000e+00,1.0000000000e-03
-2.6730000000e+00,1.0000200000e-03
-2.7000000000e+00,1.0000200000e-03
-2.7000000000e+00,1.0000200000e-03
-2.6730000000e+00,1.0000200000e-03
-2.6460000000e+00,1.0000200000e-03
-2.6190000000e+00,1.0000000000e-03
-2.5920000000e+00,1.0000200000e-03
-2.5650000000e+00,1.0000200000e-03
-2.5380000000e+00,1.0000200000e-03
-2.5110000000e+00,1.0000200000e-03
-2.4840000000e+00,1.0000200000e-03
-2.4570000000e+00,1.0000000000e-03
-2.4300000000e+00,1.0000200000e-03
-2.4030000000e+00,1.0000000000e-03
-2.3760000000e+00,1.0000200000e-03
-2.3490000000e+00,1.0000200000e-03
-2.3220000000e+00,1.0000200000e-03
-2.2950000000e+00,1.0000200000e-03
-2.2680000000e+00,1.0000200000e-03
-2.2410000000e+00,1.0000200000e-03
-2.2140000000e+00,1.0000200000e-03
-2.1870000000e+00,1.0000200000e-03
