# Saved on 2025-06-27T17:05:07.409389
# Name: Abir
# Sample_ID: Batch5_Sample7_F5_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 1
#   Read_Voltage: 0.1
#   Pos_Voltage: 0.1
#   Neg_Voltage: -2.5
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.001
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A)
0.0000000000e+00,2.5252000000e-07
-2.9000000000e-02,1.1426000000e-04
-5.8000000000e-02,2.2672000000e-04
-8.7000000000e-02,3.3884000000e-04
-1.1600000000e-01,4.5440000000e-04
-1.4500000000e-01,5.7286000000e-04
-1.7400000000e-01,6.8490000000e-04
-2.0300000000e-01,7.9918000000e-04
-2.3200000000e-01,9.1362000000e-04
-2.6100000000e-01,1.0000000000e-03
-2.9000000000e-01,1.0000200000e-03
-3.1900000000e-01,1.0000200000e-03
-3.4800000000e-01,1.0000200000e-03
-3.7700000000e-01,1.0000200000e-03
-4.0600000000e-01,1.0000200000e-03
-4.3500000000e-01,1.0000200000e-03
-4.6400000000e-01,1.0000000000e-03
-4.9300000000e-01,1.0000000000e-03
-5.2200000000e-01,1.0000000000e-03
-5.5100000000e-01,1.0000200000e-03
-5.8000000000e-01,1.0000200000e-03
-6.0900000000e-01,1.0000200000e-03
-6.3800000000e-01,1.0000200000e-03
-6.6700000000e-01,1.0000200000e-03
-6.9600000000e-01,1.0000200000e-03
-7.2500000000e-01,1.0000000000e-03
-7.5400000000e-01,1.0000000000e-03
-7.8300000000e-01,1.0000200000e-03
-8.1200000000e-01,1.0000200000e-03
-8.4100000000e-01,1.0000200000e-03
-8.7000000000e-01,1.0000200000e-03
-8.9900000000e-01,1.0000200000e-03
-9.2800000000e-01,1.0000200000e-03
-9.5700000000e-01,1.0000000000e-03
-9.8600000000e-01,1.0000200000e-03
-1.0150000000e+00,1.0000000000e-03
-1.0440000000e+00,1.0000200000e-03
-1.0730000000e+00,1.0000200000e-03
-1.1020000000e+00,1.0000000000e-03
-1.1310000000e+00,1.0000200000e-03
-1.1600000000e+00,1.0000000000e-03
-1.1890000000e+00,1.0000200000e-03
-1.2180000000e+00,1.0000200000e-03
-1.2470000000e+00,1.0000200000e-03
-1.2760000000e+00,1.0000200000e-03
-1.3050000000e+00,1.0000200000e-03
-1.3340000000e+00,1.0000000000e-03
-1.3630000000e+00,1.0000000000e-03
-1.3920000000e+00,1.0000200000e-03
-1.4210000000e+00,1.0000200000e-03
-1.4500000000e+00,1.0000000000e-03
-1.4790000000e+00,1.0000200000e-03
-1.5080000000e+00,1.0000200000e-03
-1.5370000000e+00,1.0000200000e-03
-1.5660000000e+00,1.0000200000e-03
-1.5950000000e+00,1.0000200000e-03
-1.6240000000e+00,1.0000000000e-03
-1.6530000000e+00,1.0000200000e-03
-1.6820000000e+00,1.0000200000e-03
-1.7110000000e+00,1.0000000000e-03
-1.7400000000e+00,1.0000200000e-03
-1.7690000000e+00,1.0000200000e-03
-1.7980000000e+00,1.0000200000e-03
-1.8270000000e+00,1.0000200000e-03
-1.8560000000e+00,1.0000200000e-03
-1.8850000000e+00,1.0000200000e-03
-1.9140000000e+00,1.0000000000e-03
-1.9430000000e+00,1.0000200000e-03
-1.9720000000e+00,1.0000200000e-03
-2.0010000000e+00,1.0000200000e-03
-2.0300000000e+00,1.0000200000e-03
-2.0590000000e+00,1.0000200000e-03
-2.0880000000e+00,1.0000200000e-03
-2.1170000000e+00,1.0000200000e-03
-2.1460000000e+00,1.0000200000e-03
-2.1750000000e+00,1.0000200000e-03
-2.2040000000e+00,1.0000200000e-03
-2.2330000000e+00,1.0000200000e-03
-2.2620000000e+00,1.0000400000e-03
-2.2910000000e+00,1.0000200000e-03
-2.3200000000e+00,1.0000200000e-03
-2.3490000000e+00,1.0000000000e-03
-2.3780000000e+00,1.0000200000e-03
-2.4070000000e+00,1.0000000000e-03
-2.4360000000e+00,1.0000200000e-03
-2.4650000000e+00,1.0000200000e-03
-2.4940000000e+00,1.0000000000e-03
-2.5230000000e+00,1.0000200000e-03
-2.5520000000e+00,1.0000200000e-03
-2.5810000000e+00,1.0000000000e-03
-2.6100000000e+00,1.0000200000e-03
-2.6390000000e+00,1.0000200000e-03
-2.6680000000e+00,1.0000200000e-03
-2.6970000000e+00,1.0000200000e-03
-2.7260000000e+00,1.0000200000e-03
-2.7550000000e+00,1.0000000000e-03
-2.7840000000e+00,1.0000200000e-03
-2.8130000000e+00,1.0000200000e-03
-2.8420000000e+00,1.0000000000e-03
-2.8710000000e+00,1.0000200000e-03
-2.9000000000e+00,1.0000200000e-03
-2.9000000000e+00,1.0000000000e-03
-2.8710000000e+00,1.0000200000e-03
-2.8420000000e+00,1.0000000000e-03
-2.8130000000e+00,1.0000200000e-03
-2.7840000000e+00,1.0000000000e-03
-2.7550000000e+00,1.0000200000e-03
-2.7260000000e+00,1.0000000000e-03
-2.6970000000e+00,1.0000000000e-03
-2.6680000000e+00,1.0000200000e-03
-2.6390000000e+00,1.0000200000e-03
-2.6100000000e+00,1.0000200000e-03
-2.5810000000e+00,1.0000000000e-03
-2.5520000000e+00,1.0000200000e-03
-2.5230000000e+00,1.0000200000e-03
-2.4940000000e+00,1.0000200000e-03
-2.4650000000e+00,1.0000200000e-03
-2.4360000000e+00,1.0000200000e-03
-2.4070000000e+00,1.0000200000e-03
-2.3780000000e+00,1.0000000000e-03
-2.3490000000e+00,1.0000000000e-03
-2.3200000000e+00,1.0000200000e-03
-2.2910000000e+00,1.0000200000e-03
-2.2620000000e+00,1.0000200000e-03
-2.2330000000e+00,1.0000000000e-03
-2.2040000000e+00,1.0000000000e-03
-2.1750000000e+00,1.0000200000e-03
-2.1460000000e+00,1.0000200000e-03
-2.1170000000e+00,1.0000200000e-03
-2.0880000000e+00,1.0000200000e-03
-2.0590000000e+00,1.0000200000e-03
-2.0300000000e+00,1.0000200000e-03
-2.0010000000e+00,1.0000000000e-03
-1.9720000000e+00,1.0000000000e-03
-1.9430000000e+00,1.0000200000e-03
-1.9140000000e+00,1.0000200000e-03
-1.8850000000e+00,1.0000000000e-03
-1.8560000000e+00,1.0000000000e-03
-1.8270000000e+00,1.0000000000e-03
-1.7980000000e+00,1.0000200000e-03
-1.7690000000e+00,1.0000200000e-03
-1.7400000000e+00,1.0000200000e-03
-1.7110000000e+00,1.0000200000e-03
-1.6820000000e+00,1.0000200000e-03
-1.6530000000e+00,1.0000200000e-03
-1.6240000000e+00,1.0000200000e-03
-1.5950000000e+00,1.0000000000e-03
-1.5660000000e+00,1.0000200000e-03
-1.5370000000e+00,1.0000200000e-03
-1.5080000000e+00,1.0000200000e-03
-1.4790000000e+00,1.0000000000e-03
-1.4500000000e+00,1.0000200000e-03
-1.4210000000e+00,1.0000200000e-03
-1.3920000000e+00,1.0000200000e-03
-1.3630000000e+00,1.0000000000e-03
-1.3340000000e+00,1.0000000000e-03
-1.3050000000e+00,1.0000000000e-03
-1.2760000000e+00,1.0000000000e-03
-1.2470000000e+00,1.0000200000e-03
-1.2180000000e+00,1.0000200000e-03
-1.1890000000e+00,1.0000200000e-03
-1.1600000000e+00,1.0000000000e-03
-1.1310000000e+00,1.0000000000e-03
-1.1020000000e+00,1.0000000000e-03
-1.0730000000e+00,1.0000200000e-03
-1.0440000000e+00,1.0000200000e-03
-1.0150000000e+00,1.0000200000e-03
-9.8600000000e-01,1.0000200000e-03
-9.5700000000e-01,1.0000200000e-03
-9.2800000000e-01,1.0000000000e-03
-8.9900000000e-01,1.0000200000e-03
-8.7000000000e-01,1.0000000000e-03
-8.4100000000e-01,1.0000200000e-03
-8.1200000000e-01,1.0000200000e-03
-7.8300000000e-01,1.0000000000e-03
-7.5400000000e-01,1.0000000000e-03
-7.2500000000e-01,1.0000000000e-03
-6.9600000000e-01,1.0000200000e-03
-6.6700000000e-01,1.0000200000e-03
-6.3800000000e-01,1.0000200000e-03
-6.0900000000e-01,1.0000000000e-03
-5.8000000000e-01,1.0000200000e-03
-5.5100000000e-01,1.0000200000e-03
-5.2200000000e-01,1.0000000000e-03
-4.9300000000e-01,1.0000200000e-03
