# Saved on 2025-06-27T16:56:46.894459
# Name: Abir
# Sample_ID: Batch5_Sample7_F5_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 1
#   Read_Voltage: 0.1
#   Pos_Voltage: 0.5
#   Neg_Voltage: -2.5
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A)
0.0000000000e+00,3.3970000000e-08
-2.5000000000e-02,8.3858000000e-05
-5.0000000000e-02,1.6690000000e-04
-7.5000000000e-02,2.5340000000e-04
-1.0000000000e-01,3.4028000000e-04
-1.2500000000e-01,4.2672000000e-04
-1.5000000000e-01,5.1466000000e-04
-1.7500000000e-01,6.0298000000e-04
-2.0000000000e-01,6.9430000000e-04
-2.2500000000e-01,7.8954000000e-04
-2.5000000000e-01,8.8278000000e-04
-2.7500000000e-01,9.7810000000e-04
-3.0000000000e-01,1.0734000000e-03
-3.2500000000e-01,1.1718000000e-03
-3.5000000000e-01,1.2758000000e-03
-3.7500000000e-01,1.3734000000e-03
-4.0000000000e-01,1.4744000000e-03
-4.2500000000e-01,1.5776000000e-03
-4.5000000000e-01,1.6782000000e-03
-4.7500000000e-01,1.7854000000e-03
-5.0000000000e-01,1.8906000000e-03
-5.2500000000e-01,1.9986000000e-03
-5.5000000000e-01,2.1028000000e-03
-5.7500000000e-01,2.2110000000e-03
-6.0000000000e-01,2.3214000000e-03
-6.2500000000e-01,2.4336000000e-03
-6.5000000000e-01,2.5436000000e-03
-6.7500000000e-01,2.6544000000e-03
-7.0000000000e-01,2.7660000000e-03
-7.2500000000e-01,2.8786000000e-03
-7.5000000000e-01,2.9890000000e-03
-7.7500000000e-01,3.1082000000e-03
-8.0000000000e-01,3.2212000000e-03
-8.2500000000e-01,3.3288000000e-03
-8.5000000000e-01,3.4450000000e-03
-8.7500000000e-01,3.5556000000e-03
-9.0000000000e-01,3.6724000000e-03
-9.2500000000e-01,3.7934000000e-03
-9.5000000000e-01,3.9084000000e-03
-9.7500000000e-01,4.0230000000e-03
-1.0000000000e+00,4.1362000000e-03
-1.0250000000e+00,4.2488000000e-03
-1.0500000000e+00,4.3708000000e-03
-1.0750000000e+00,4.4866000000e-03
-1.1000000000e+00,4.6032000000e-03
-1.1250000000e+00,4.7240000000e-03
-1.1500000000e+00,4.8396000000e-03
-1.1750000000e+00,4.9542000000e-03
-1.2000000000e+00,5.0752000000e-03
-1.2250000000e+00,5.1988000000e-03
-1.2500000000e+00,5.3134000000e-03
-1.2750000000e+00,5.4298000000e-03
-1.3000000000e+00,5.5464000000e-03
-1.3250000000e+00,5.6672000000e-03
-1.3500000000e+00,5.7852000000e-03
-1.3750000000e+00,5.9020000000e-03
-1.4000000000e+00,6.0236000000e-03
-1.4250000000e+00,6.1408000000e-03
-1.4500000000e+00,6.2564000000e-03
-1.4750000000e+00,6.3790000000e-03
-1.5000000000e+00,6.4954000000e-03
