# Name: Evan
# Test Number: 4
# Die Number: 1
# Device Number: 67
# Read Voltage: 100
# Compliance Current: 100
# Pulse Voltage: 100
# Pulse Duration: 101
# Probe Light: ON

Measurement,SMU1_Current,SMU1_Time,SMU1_Voltage,WGFMU2_Current,WGFMU2_Time,WGFMU2_Voltage
0,-05.92831E-04,+01.65483E+00,+03.48293E+02,-00.52342E-01,-00.87213E+00,+04.29173E+01
1,+09.28541E-04,+02.18293E+00,+01.37485E+01,+03.29481E-03,+00.71423E+00,-02.87192E+01
2,-00.32941E-03,+02.38471E+00,-03.49283E+01,-04.29173E-02,-01.28931E+00,+01.49823E+02
3,+04.91823E-03,+03.48293E+00,+00.18492E+00,-01.59482E-02,+00.29381E+00,+04.73829E+01
4,+01.93847E-03,+02.89481E+00,+03.48213E+01,+02.94812E-03,-01.48293E+00,-01.58392E+01
5,-00.91834E-03,+01.37481E+00,-02.98471E+01,+01.83947E-03,+01.84729E+00,+03.49283E+01
6,+02.94823E-04,+00.49283E+00,+02.18492E+01,+00.94823E-02,-01.84723E+00,+03.82941E+01
7,+03.29481E-03,+01.73849E+00,-00.92834E+01,+02.74892E-02,+01.84723E+00,+03.49283E+01
8,-00.94823E-03,+02.93842E+00,+02.91834E+01,-01.82934E-02,-01.38472E+00,+04.92841E+01
9,-02.38471E-03,+02.83742E+00,+03.47283E+01,+01.92384E-03,+01.38274E+00,+04.18293E+01
10,+02.48391E-04,+01.28473E+00,+02.94871E+01,-01.82934E-03,+01.74839E+00,+03.49281E+01
11,-00.94832E-03,+02.93847E+00,+01.92834E+01,-00.28394E-02,-01.29481E+00,+04.92831E+01
12,-02.38471E-03,+02.84713E+00,+03.47238E+01,+02.91834E-03,+01.28349E+00,+04.83924E+01
13,+02.48391E-04,+01.28473E+00,+02.94871E+01,-01.82934E-03,+01.74839E+00,+03.49281E+01
14,-00.94832E-03,+02.93847E+00,+01.92834E+01,-00.28394E-02,-01.29481E+00,+04.92831E+01
