# Name: Evan
# Test Number: 9
# Die Number: 1
# Device Number: 67
# Read Voltage: 100
# Compliance Current: 100
# Pulse Voltage: 100
# Pulse Duration: 101
# Probe Light: ON
# Waveform: /home/evan/Bench_Test_Automation_Suite/TestInfo/../Waveforms/E1.txt

Measurement,SMU1_Current,SMU1_Time,SMU1_Voltage
0,+01.5216E-03,+2.14069E+00,+005.950E-03
1,+00.7674E-03,+2.14596E+00,+005.850E-03
2,+02.8802E-03,+2.15123E+00,+005.750E-03
3,+01.6124E-03,+2.17546E+00,+005.650E-03
4,+00.4898E-03,+2.18076E+00,+005.550E-03
5,+01.7162E-03,+2.19226E+00,+005.450E-03
6,+0.51262E-03,+2.24438E+00,+005.350E-03
7,+01.6422E-03,+2.24967E+00,+005.250E-03
8,+01.8800E-03,+2.27388E+00,+005.150E-03
9,+00.6484E-03,+2.27912E+00,+005.050E-03
10,+02.6184E-03,+2.28441E+00,+004.950E-03
11,+01.4386E-03,+2.30865E+00,+004.850E-03
12,+00.2606E-03,+2.31392E+00,+004.750E-03
13,+01.5492E-03,+2.32544E+00,+004.650E-03
14,+0.27752E-03,+2.37755E+00,+004.550E-03
15,+01.4506E-03,+2.38282E+00,+004.450E-03
16,+01.7404E-03,+2.40807E+00,+004.350E-03
17,+00.0180E-03,+2.41333E+00,+004.250E-03
18,+01.3074E-03,+2.41861E+00,+004.150E-03
19,+00.4890E-03,+2.44284E+00,+004.050E-03
20,+00.2536E-03,+2.44811E+00,+003.950E-03
21,+01.1632E-03,+2.45965E+00,+003.850E-03
22,+0.23376E-03,+2.49862E+00,+003.750E-03
23,+1.02970E-03,+2.52990E+00,+003.625E-03
24,+01.2644E-03,+2.53518E+00,+003.525E-03
25,+00.4360E-03,+2.55939E+00,+003.425E-03
26,+00.1468E-03,+2.56441E+00,+003.325E-03
27,+01.1520E-03,+2.60885E+00,+003.225E-03
28,+00.0042E-03,+2.62011E+00,+003.125E-03
29,-0.55400E-03,+2.62535E+00,+003.025E-03
30,-0.10468E-03,+2.66452E+00,+002.925E-03
31,+1.01744E-03,+2.69771E+00,+002.825E-03
32,+01.0442E-03,+2.70927E+00,+002.725E-03
33,-0.07656E-03,+2.74844E+00,+002.625E-03
34,+0.74756E-03,+2.79346E+00,+002.525E-03
35,+00.5994E-03,+2.81003E+00,+002.425E-03
36,+00.4438E-03,+2.83427E+00,+002.325E-03
37,+00.8364E-03,+2.85851E+00,+002.225E-03
38,-00.3392E-03,+2.87004E+00,+002.125E-03
39,-0.83764E-03,+2.90764E+00,+002.025E-03
40,-0.60890E-03,+2.94711E+00,+001.925E-03
41,+0.90518E-03,+2.95825E+00,+001.825E-03
42,-076.292E-06,+2.99997E+00,+001.725E-03
43,+0.92872E-03,+3.03303E+00,+001.625E-03
44,+00.9346E-03,+3.03831E+00,+001.525E-03
45,-00.3536E-03,+3.04985E+00,+001.425E-03
46,+0.84354E-03,+3.08913E+00,+001.325E-03
47,-0.49364E-03,+3.09441E+00,+001.200E-03
48,+0.77824E-03,+3.13196E+00,+001.100E-03
49,+0.43414E-03,+3.15097E+00,+001.000E-03
50,+00.5146E-03,+3.16854E+00,+000.900E-03
51,-00.5406E-03,+3.18509E+00,+000.800E-03
52,-00.4204E-03,+3.20933E+00,+000.700E-03
53,-00.5304E-03,+3.23358E+00,+000.600E-03
54,+00.5388E-03,+3.25884E+00,+000.500E-03
55,-00.5654E-03,+3.28415E+00,+000.400E-03
56,+00.3988E-03,+3.30173E+00,+000.300E-03
57,-00.5152E-03,+3.32037E+00,+000.200E-03
58,-01.6604E-03,+3.33187E+00,+000.100E-03
59,+0.16884E-03,,+000.000E-03
