# Saved on 2025-06-26T12:10:27.533547
# Name: Evan
# Sample_ID: Batch3_F5_TPTE03
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Current (A)
1.0000000000e+00,6.2730000000e-11
1.0000000000e+00,1.5037000000e-10
1.0000000000e+00,9.9920000000e-11
1.0000000000e+00,3.6297000000e-10
1.0000000000e+00,1.8524000000e-10
1.0000000000e+00,1.8900000000e-10
1.0000000000e+00,9.2280000000e-11
1.0000000000e+00,3.0700000000e-11
1.0000000000e+00,2.9525000000e-10
1.0000000000e+00,4.9770000000e-10
1.0000000000e+00,6.2520000000e-11
1.0000000000e+00,1.6191000000e-10
1.0000000000e+00,2.1790000000e-11
1.0000000000e+00,5.0530000000e-11
1.0000000000e+00,9.5460000000e-11
1.0000000000e+00,3.2050000000e-11
1.0000000000e+00,8.1750000000e-11
1.0000000000e+00,4.1200000000e-11
1.1000000000e+00,2.4710000000e-11
1.1000000000e+00,7.8900000000e-11
1.1000000000e+00,1.4480000000e-10
1.1000000000e+00,6.1380000000e-10
1.1000000000e+00,1.4611000000e-10
1.1000000000e+00,3.1420000000e-11
1.1000000000e+00,5.0047000000e-10
1.1000000000e+00,1.1340000000e-10
1.1000000000e+00,1.0483000000e-10
1.1000000000e+00,1.4743000000e-10
1.1000000000e+00,6.0540000000e-10
1.1000000000e+00,3.9648000000e-10
1.1000000000e+00,6.1820000000e-11
1.1000000000e+00,3.2400000000e-11
1.1000000000e+00,4.3670000000e-11
1.1000000000e+00,6.1066000000e-10
1.1000000000e+00,1.9126000000e-10
1.1000000000e+00,6.1966000000e-10
1.2000000000e+00,1.6273000000e-10
1.2000000000e+00,1.3058000000e-10
1.2000000000e+00,1.6100000000e-11
1.2000000000e+00,1.1899000000e-10
1.2000000000e+00,6.3230000000e-11
1.2000000000e+00,1.7067000000e-10
1.2000000000e+00,2.3570000000e-11
1.2000000000e+00,6.7500000000e-11
1.2000000000e+00,1.7924000000e-10
1.2000000000e+00,9.8500000000e-11
1.2000000000e+00,8.2740000000e-11
1.2000000000e+00,1.4900000000e-11
1.2000000000e+00,8.4240000000e-11
1.2000000000e+00,1.7725000000e-10
1.2000000000e+00,1.6560000000e-10
