# Saved on 2025-06-26T09:32:08.563514
# Name: Evan
# Sample_ID: Batch3_F5_TPTE05
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -10
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_400.00 uS,Conductance_Target_500.00 uS,Conductance_Target_600.00 uS,Conductance_Target_700.00 uS,Conductance_Target_800.00 uS,Conductance_Target_900.00 uS,Conductance_Target_1000.00 uS,Conductance_Target_1100.00 uS,Conductance_Target_1200.00 uS,Conductance_Target_1300.00 uS
1.4400000000e-04,3.8959584344e-04,5.1758466725e-04,5.8996120060e-04,6.8150227889e-04,7.7332355431e-04,9.2831003712e-04,1.0219649994e-03,1.0751233640e-03,1.1592767260e-03,1.2810976477e-03
1.1440000000e-03,3.9315691538e-04,5.1642266044e-04,5.7695408032e-04,6.8868204835e-04,7.9082674347e-04,9.4853043265e-04,1.0166076390e-03,1.0824826313e-03,1.1679068848e-03,1.3032514835e-03
2.1440000000e-03,4.1847823013e-04,5.1384686230e-04,5.7755751186e-04,6.7598099122e-04,7.8016040788e-04,9.3501847005e-04,1.0348367505e-03,1.1090244516e-03,1.1787880067e-03,1.3158927322e-03
3.1440000000e-03,4.1552411858e-04,5.3573043260e-04,5.8860030549e-04,6.7494074756e-04,7.7749406046e-04,9.3276052212e-04,1.0256984388e-03,1.1086925952e-03,1.1931845802e-03,1.3304110325e-03
4.1440000000e-03,4.3610569264e-04,5.1776085456e-04,5.8927780628e-04,6.8299028499e-04,7.6178825111e-04,9.0720757726e-04,1.0213513451e-03,1.1314901349e-03,1.2073446851e-03,1.3075537572e-03
5.1440000000e-03,4.1137969674e-04,5.2037590649e-04,5.6800792663e-04,7.0278663770e-04,7.4853778642e-04,9.0552828624e-04,1.0036946333e-03,1.1020044622e-03,1.1874981283e-03,1.3008137466e-03
6.1440000000e-03,4.1378574679e-04,4.9926296924e-04,5.8093199186e-04,7.0458590926e-04,7.4758558185e-04,8.8510940259e-04,9.8819058621e-04,1.1059790268e-03,1.1931284098e-03,1.3213854982e-03
7.1440000000e-03,4.1243678425e-04,4.9319209211e-04,5.8339781390e-04,7.2331269621e-04,7.6011303463e-04,9.0853514848e-04,9.8991775303e-04,1.1070394976e-03,1.1883701518e-03,1.3178742665e-03
8.1440000000e-03,4.2238334572e-04,4.7864519729e-04,6.0511236370e-04,6.9362642535e-04,7.6198797615e-04,9.1465466539e-04,1.0003631178e-03,1.1158669804e-03,1.2121584587e-03,1.3111795124e-03
9.1440000000e-03,4.1564278945e-04,4.9732345360e-04,6.0623871832e-04,7.0409252658e-04,7.4161442171e-04,9.0643261501e-04,1.0021258640e-03,1.1104100849e-03,1.1942692799e-03,1.2814802176e-03
