# Saved on 2025-06-19T17:57:14.432608
# Name: Evan
# Sample_ID: Batch3_F5_TPTE07
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 1
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: -2
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1
#   Reset_Compliance: 0.1
#   SaveData: True
Voltage (V),Current (A)
-2.0000000000e+00,1.0000400000e-03
-2.0000000000e+00,1.0000600000e-03
-2.0000000000e+00,1.0000400000e-03
-2.0000000000e+00,1.0000600000e-03
-2.0000000000e+00,1.0000000000e-03
-2.0000000000e+00,1.0000000000e-03
-2.0000000000e+00,1.0000000000e-03
-2.0000000000e+00,1.0000000000e-03
-2.0000000000e+00,9.9998000000e-04
-2.0000000000e+00,1.0000000000e-03
-2.0000000000e+00,1.0000000000e-03
-2.0000000000e+00,1.0000000000e-03
-2.0000000000e+00,9.9998000000e-04
-2.0000000000e+00,1.0000000000e-03
-2.0000000000e+00,1.0000000000e-03
-2.0000000000e+00,9.9998000000e-04
-2.0000000000e+00,1.0000000000e-03
-2.0000000000e+00,9.9998000000e-04
-2.0000000000e+00,1.0000000000e-03
-2.0000000000e+00,1.0000000000e-03
-2.0000000000e+00,9.9998000000e-04
-2.0000000000e+00,1.0000000000e-03
-2.0000000000e+00,1.0000000000e-03
-2.0000000000e+00,1.0000000000e-03
-2.0000000000e+00,1.0000000000e-03
-2.0000000000e+00,1.0000000000e-03
-2.0000000000e+00,1.0000000000e-03
-2.0000000000e+00,1.0000000000e-03
-2.0000000000e+00,1.0000200000e-03
-2.0000000000e+00,1.0000000000e-03
-2.0000000000e+00,1.0000000000e-03
-2.0000000000e+00,9.9998000000e-04
-2.0000000000e+00,1.0000000000e-03
-2.0000000000e+00,9.9998000000e-04
-2.0000000000e+00,1.0000000000e-03
-2.0000000000e+00,1.0000000000e-03
-2.0000000000e+00,1.0000000000e-03
