# Saved on 2025-06-19T17:58:51.870485
# Name: Evan
# Sample_ID: Batch3_F5_TPTE07
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 1
#   Max_Voltage: 7
#   IComp: 0.03
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
Voltage (V),Current (A)
1.0000000000e+00,2.1388000000e-04
1.0000000000e+00,5.2248000000e-03
1.0000000000e+00,5.2330000000e-03
1.0000000000e+00,5.2366000000e-03
1.0000000000e+00,5.2418000000e-03
1.0000000000e+00,5.2404000000e-03
1.0000000000e+00,5.2454000000e-03
1.0000000000e+00,5.2500000000e-03
1.0000000000e+00,5.2490000000e-03
1.0000000000e+00,5.2534000000e-03
1.0000000000e+00,5.2500000000e-03
1.0000000000e+00,5.2544000000e-03
1.0000000000e+00,5.2584000000e-03
1.0000000000e+00,5.2550000000e-03
1.0000000000e+00,5.2586000000e-03
1.0000000000e+00,5.2544000000e-03
1.0000000000e+00,5.2584000000e-03
1.0000000000e+00,5.2612000000e-03
1.0000000000e+00,5.2594000000e-03
1.0000000000e+00,5.2606000000e-03
1.0000000000e+00,5.2538000000e-03
1.0000000000e+00,5.2592000000e-03
1.0000000000e+00,5.2610000000e-03
1.0000000000e+00,5.2580000000e-03
1.0000000000e+00,5.2606000000e-03
1.0000000000e+00,5.2544000000e-03
