# Saved on 2025-06-19T18:11:25.628429
# Name: Evan
# Sample_ID: Batch3_F5_TPTE07
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 1
#   Max_Voltage: 7
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: -7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
Voltage (V),Current (A)
-7.0000000000e+00,4.2618000000e-02
-7.0000000000e+00,4.2612000000e-02
-7.0000000000e+00,4.2606000000e-02
-7.0000000000e+00,4.2614000000e-02
-7.0000000000e+00,4.2586000000e-02
-7.0000000000e+00,4.2576000000e-02
-7.0000000000e+00,4.2568000000e-02
-7.0000000000e+00,4.2572000000e-02
-7.0000000000e+00,4.2574000000e-02
-7.0000000000e+00,4.2568000000e-02
-7.0000000000e+00,4.2576000000e-02
-7.0000000000e+00,4.2582000000e-02
-7.0000000000e+00,4.2586000000e-02
-7.0000000000e+00,4.2586000000e-02
-7.0000000000e+00,4.2580000000e-02
-7.0000000000e+00,4.2582000000e-02
-7.0000000000e+00,4.2576000000e-02
-7.0000000000e+00,4.2582000000e-02
-7.0000000000e+00,4.2582000000e-02
-7.0000000000e+00,4.2578000000e-02
-7.0000000000e+00,4.2580000000e-02
-7.0000000000e+00,4.2576000000e-02
-7.0000000000e+00,4.2572000000e-02
-7.0000000000e+00,4.2582000000e-02
-7.0000000000e+00,4.2576000000e-02
-7.0000000000e+00,4.2574000000e-02
-7.0000000000e+00,4.2576000000e-02
-7.0000000000e+00,4.2572000000e-02
-7.0000000000e+00,4.2580000000e-02
-7.0000000000e+00,4.2578000000e-02
-7.0000000000e+00,4.2576000000e-02
-7.0000000000e+00,4.2572000000e-02
-7.0000000000e+00,4.2572000000e-02
-7.0000000000e+00,4.2576000000e-02
-7.0000000000e+00,4.2572000000e-02
-7.0000000000e+00,4.2572000000e-02
-7.0000000000e+00,4.2572000000e-02
-7.0000000000e+00,4.2566000000e-02
-7.0000000000e+00,4.2566000000e-02
-7.0000000000e+00,4.2560000000e-02
-7.0000000000e+00,4.2562000000e-02
-7.0000000000e+00,4.2554000000e-02
-7.0000000000e+00,4.2548000000e-02
-7.0000000000e+00,4.2550000000e-02
-7.0000000000e+00,4.2546000000e-02
-7.0000000000e+00,4.2546000000e-02
-7.0000000000e+00,4.2538000000e-02
-7.0000000000e+00,4.2538000000e-02
-7.0000000000e+00,4.2538000000e-02
-7.0000000000e+00,4.2542000000e-02
-7.0000000000e+00,4.2538000000e-02
-7.0000000000e+00,4.2530000000e-02
-7.0000000000e+00,4.2544000000e-02
-7.0000000000e+00,4.2540000000e-02
-7.0000000000e+00,4.2538000000e-02
-7.0000000000e+00,4.2526000000e-02
-7.0000000000e+00,4.2520000000e-02
-7.0000000000e+00,4.2524000000e-02
-7.0000000000e+00,4.2528000000e-02
-7.0000000000e+00,4.2524000000e-02
-7.0000000000e+00,4.2526000000e-02
-7.0000000000e+00,4.2528000000e-02
-7.0000000000e+00,4.2518000000e-02
-7.0000000000e+00,4.2534000000e-02
-7.0000000000e+00,4.2526000000e-02
-7.0000000000e+00,4.2518000000e-02
-7.0000000000e+00,4.2508000000e-02
-7.0000000000e+00,4.2504000000e-02
-7.0000000000e+00,4.2464000000e-02
-7.0000000000e+00,4.2496000000e-02
-7.0000000000e+00,4.2498000000e-02
-7.0000000000e+00,4.2352000000e-02
-7.0000000000e+00,4.2340000000e-02
-7.0000000000e+00,4.2346000000e-02
-7.0000000000e+00,4.2342000000e-02
-7.0000000000e+00,4.2328000000e-02
-7.0000000000e+00,4.2280000000e-02
-7.0000000000e+00,4.2028000000e-02
-7.0000000000e+00,4.1542000000e-02
-7.0000000000e+00,4.2008000000e-02
-7.0000000000e+00,4.1564000000e-02
-7.0000000000e+00,4.1762000000e-02
-6.9000000000e+00,4.1528000000e-02
-6.9000000000e+00,4.1654000000e-02
-6.9000000000e+00,4.1674000000e-02
-6.9000000000e+00,4.1692000000e-02
-6.9000000000e+00,4.1694000000e-02
-6.9000000000e+00,4.1740000000e-02
-6.9000000000e+00,4.1758000000e-02
-6.9000000000e+00,4.1766000000e-02
-6.9000000000e+00,4.1754000000e-02
-6.9000000000e+00,4.1770000000e-02
-6.9000000000e+00,4.1776000000e-02
-6.9000000000e+00,4.1770000000e-02
-6.9000000000e+00,4.1776000000e-02
-6.9000000000e+00,4.1796000000e-02
-6.9000000000e+00,4.1804000000e-02
-6.9000000000e+00,4.2004000000e-02
-6.9000000000e+00,4.2012000000e-02
-6.9000000000e+00,4.2010000000e-02
-6.9000000000e+00,4.1994000000e-02
-6.9000000000e+00,4.2002000000e-02
-6.9000000000e+00,4.1998000000e-02
-6.9000000000e+00,4.2000000000e-02
-6.9000000000e+00,4.2010000000e-02
-6.9000000000e+00,4.2010000000e-02
-6.9000000000e+00,4.2016000000e-02
-6.9000000000e+00,4.2012000000e-02
-6.9000000000e+00,4.2004000000e-02
-6.9000000000e+00,4.2006000000e-02
-6.9000000000e+00,4.1982000000e-02
-6.9000000000e+00,4.1980000000e-02
-6.9000000000e+00,4.1986000000e-02
-6.9000000000e+00,4.1988000000e-02
-6.9000000000e+00,4.1990000000e-02
-6.9000000000e+00,4.1994000000e-02
-6.9000000000e+00,4.1982000000e-02
-6.9000000000e+00,4.1988000000e-02
-6.9000000000e+00,4.1980000000e-02
-6.9000000000e+00,4.1988000000e-02
-6.9000000000e+00,4.1994000000e-02
-6.9000000000e+00,4.1988000000e-02
-6.9000000000e+00,4.1996000000e-02
-6.9000000000e+00,4.2014000000e-02
-6.9000000000e+00,4.2032000000e-02
-6.9000000000e+00,4.2038000000e-02
-6.9000000000e+00,4.2038000000e-02
-6.9000000000e+00,4.2036000000e-02
-6.9000000000e+00,4.2032000000e-02
-6.9000000000e+00,4.2040000000e-02
-6.9000000000e+00,4.2042000000e-02
-6.9000000000e+00,4.2046000000e-02
-6.9000000000e+00,4.2112000000e-02
-6.9000000000e+00,4.2298000000e-02
-6.9000000000e+00,4.2360000000e-02
-6.9000000000e+00,4.2394000000e-02
-6.9000000000e+00,4.2402000000e-02
-6.9000000000e+00,4.2408000000e-02
-6.9000000000e+00,4.2422000000e-02
-6.9000000000e+00,4.2438000000e-02
-6.9000000000e+00,4.2436000000e-02
-6.9000000000e+00,4.2442000000e-02
-6.9000000000e+00,4.2444000000e-02
-6.9000000000e+00,4.2450000000e-02
-6.9000000000e+00,4.2450000000e-02
-6.9000000000e+00,4.2450000000e-02
-6.9000000000e+00,4.2458000000e-02
-6.9000000000e+00,4.2472000000e-02
-6.9000000000e+00,4.2464000000e-02
-6.9000000000e+00,4.2580000000e-02
-6.9000000000e+00,4.2598000000e-02
-6.9000000000e+00,4.2610000000e-02
-6.9000000000e+00,4.2606000000e-02
-6.9000000000e+00,4.2614000000e-02
-6.9000000000e+00,4.2624000000e-02
-6.9000000000e+00,4.2638000000e-02
-6.9000000000e+00,4.2654000000e-02
-6.9000000000e+00,4.2670000000e-02
