# Saved on 2025-06-19T17:58:38.529934
# Name: Evan
# Sample_ID: Batch3_F5_TPTE07
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 1
#   Max_Voltage: 7
#   IComp: 0.03
#   Dynamic_Check: True
#   D_StartV: -3
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1
#   Reset_Compliance: 0.1
#   SaveData: True
Voltage (V),Current (A)
-3.0000000000e+00,1.7512000000e-02
-3.0000000000e+00,1.7512000000e-02
-3.0000000000e+00,1.7512000000e-02
-3.0000000000e+00,1.7512000000e-02
-3.0000000000e+00,1.7510000000e-02
-3.0000000000e+00,1.7510000000e-02
-3.0000000000e+00,1.7512000000e-02
-3.0000000000e+00,1.7512000000e-02
-3.0000000000e+00,1.7516000000e-02
-3.0000000000e+00,1.7510000000e-02
-3.0000000000e+00,1.7518000000e-02
-3.0000000000e+00,1.7512000000e-02
-3.0000000000e+00,1.7516000000e-02
-3.0000000000e+00,1.7516000000e-02
-3.0000000000e+00,1.7512000000e-02
-3.0000000000e+00,1.7516000000e-02
-3.0000000000e+00,1.7510000000e-02
-3.0000000000e+00,1.7514000000e-02
-3.0000000000e+00,1.7508000000e-02
-3.0000000000e+00,1.7514000000e-02
-3.0000000000e+00,1.7512000000e-02
-3.0000000000e+00,1.7508000000e-02
-3.0000000000e+00,1.7512000000e-02
-3.0000000000e+00,1.7512000000e-02
-3.0000000000e+00,1.7510000000e-02
-3.0000000000e+00,1.7510000000e-02
-3.0000000000e+00,1.7510000000e-02
-3.0000000000e+00,1.7512000000e-02
-3.0000000000e+00,1.7514000000e-02
-3.0000000000e+00,1.7514000000e-02
-3.0000000000e+00,1.7510000000e-02
-3.0000000000e+00,1.7510000000e-02
-3.0000000000e+00,1.7516000000e-02
-3.0000000000e+00,1.7514000000e-02
-3.0000000000e+00,1.7510000000e-02
-3.0000000000e+00,1.7510000000e-02
-3.0000000000e+00,1.7508000000e-02
-3.0000000000e+00,1.7512000000e-02
-3.0000000000e+00,1.7510000000e-02
-3.0000000000e+00,1.7510000000e-02
-3.0000000000e+00,1.7504000000e-02
-3.0000000000e+00,1.7508000000e-02
-3.0000000000e+00,1.7512000000e-02
-3.0000000000e+00,1.7508000000e-02
-3.0000000000e+00,1.7510000000e-02
-3.0000000000e+00,1.7510000000e-02
-3.0000000000e+00,1.7508000000e-02
-3.0000000000e+00,1.7510000000e-02
-3.0000000000e+00,1.7508000000e-02
-3.0000000000e+00,1.7510000000e-02
-3.0000000000e+00,1.7506000000e-02
-3.0000000000e+00,1.7516000000e-02
-3.0000000000e+00,1.7510000000e-02
