# Saved on 2025-06-19T18:05:40.116393
# Name: Evan
# Sample_ID: Batch3_F5_TPTE07
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 1
#   Max_Voltage: 7
#   IComp: 0.05
#   Dynamic_Check: True
#   D_StartV: -2
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
Voltage (V),Current (A)
-2.0000000000e+00,1.0730000000e-02
-2.0000000000e+00,1.0742000000e-02
-2.0000000000e+00,1.0738000000e-02
-2.0000000000e+00,1.0742000000e-02
-2.0000000000e+00,1.0736000000e-02
-2.0000000000e+00,1.0736000000e-02
-2.0000000000e+00,1.0734000000e-02
-2.0000000000e+00,1.0740000000e-02
-2.0000000000e+00,1.0736000000e-02
-2.0000000000e+00,1.0734000000e-02
-2.0000000000e+00,1.0736000000e-02
-2.0000000000e+00,1.0738000000e-02
-2.0000000000e+00,1.0728000000e-02
-2.0000000000e+00,1.0734000000e-02
-2.0000000000e+00,1.0740000000e-02
-2.0000000000e+00,1.0736000000e-02
-2.0000000000e+00,1.0738000000e-02
-2.0000000000e+00,1.0740000000e-02
-2.0000000000e+00,1.0738000000e-02
-2.0000000000e+00,1.0742000000e-02
-2.0000000000e+00,1.0744000000e-02
-2.0000000000e+00,1.0742000000e-02
-2.0000000000e+00,1.0736000000e-02
-2.0000000000e+00,1.0742000000e-02
-2.0000000000e+00,1.0734000000e-02
-2.0000000000e+00,1.0734000000e-02
-2.0000000000e+00,1.0744000000e-02
-2.0000000000e+00,1.0740000000e-02
-2.0000000000e+00,1.0740000000e-02
-2.0000000000e+00,1.0740000000e-02
-2.0000000000e+00,1.0742000000e-02
-2.0000000000e+00,1.0740000000e-02
-2.0000000000e+00,1.0740000000e-02
-2.0000000000e+00,1.0738000000e-02
-2.0000000000e+00,1.0736000000e-02
-2.0000000000e+00,1.0740000000e-02
-2.0000000000e+00,1.0746000000e-02
-2.0000000000e+00,1.0736000000e-02
-2.0000000000e+00,1.0742000000e-02
-2.0000000000e+00,1.0746000000e-02
-2.0000000000e+00,1.0742000000e-02
-2.0000000000e+00,1.0740000000e-02
-2.0000000000e+00,1.0744000000e-02
-2.0000000000e+00,1.0740000000e-02
-2.0000000000e+00,1.0746000000e-02
-2.0000000000e+00,1.0742000000e-02
-2.0000000000e+00,1.0748000000e-02
-2.0000000000e+00,1.0742000000e-02
-2.0000000000e+00,1.0748000000e-02
-2.0000000000e+00,1.0748000000e-02
-2.0000000000e+00,1.0750000000e-02
-2.0000000000e+00,1.0746000000e-02
-2.0000000000e+00,1.0746000000e-02
-2.0000000000e+00,1.0742000000e-02
-2.0000000000e+00,1.0750000000e-02
-2.0000000000e+00,1.0746000000e-02
-2.0000000000e+00,1.0742000000e-02
-2.0000000000e+00,1.0748000000e-02
-2.0000000000e+00,1.0746000000e-02
-2.0000000000e+00,1.0746000000e-02
-2.0000000000e+00,1.0746000000e-02
-2.0000000000e+00,1.0744000000e-02
-2.0000000000e+00,1.0746000000e-02
-2.0000000000e+00,1.0742000000e-02
-2.0000000000e+00,1.0742000000e-02
-2.0000000000e+00,1.0744000000e-02
-2.0000000000e+00,1.0748000000e-02
-2.0000000000e+00,1.0742000000e-02
-2.0000000000e+00,1.0740000000e-02
-2.0000000000e+00,1.0744000000e-02
-2.0000000000e+00,1.0742000000e-02
-2.0000000000e+00,1.0732000000e-02
-2.0000000000e+00,1.0734000000e-02
-2.0000000000e+00,1.0742000000e-02
-2.0000000000e+00,1.0738000000e-02
-2.0000000000e+00,1.0740000000e-02
-2.0000000000e+00,1.0738000000e-02
-2.0000000000e+00,1.0742000000e-02
-2.0000000000e+00,1.0742000000e-02
-2.0000000000e+00,1.0746000000e-02
-2.0000000000e+00,1.0748000000e-02
-2.0000000000e+00,1.0748000000e-02
-1.9000000000e+00,1.0164000000e-02
-1.9000000000e+00,1.0162000000e-02
-1.9000000000e+00,1.0160000000e-02
-1.9000000000e+00,1.0164000000e-02
-1.9000000000e+00,1.0162000000e-02
-1.9000000000e+00,1.0158000000e-02
-1.9000000000e+00,1.0164000000e-02
-1.9000000000e+00,1.0162000000e-02
-1.9000000000e+00,1.0158000000e-02
-1.9000000000e+00,1.0158000000e-02
-1.9000000000e+00,1.0156000000e-02
-1.9000000000e+00,1.0158000000e-02
-1.9000000000e+00,1.0156000000e-02
-1.9000000000e+00,1.0152000000e-02
-1.9000000000e+00,1.0156000000e-02
-1.9000000000e+00,1.0156000000e-02
-1.9000000000e+00,1.0158000000e-02
-1.9000000000e+00,1.0156000000e-02
-1.9000000000e+00,1.0158000000e-02
-1.9000000000e+00,1.0158000000e-02
-1.9000000000e+00,1.0162000000e-02
-1.9000000000e+00,1.0160000000e-02
-1.9000000000e+00,1.0160000000e-02
-1.9000000000e+00,1.0158000000e-02
-1.9000000000e+00,1.0158000000e-02
-1.9000000000e+00,1.0160000000e-02
-1.9000000000e+00,1.0156000000e-02
-1.9000000000e+00,1.0162000000e-02
-1.9000000000e+00,1.0158000000e-02
-1.9000000000e+00,1.0158000000e-02
-1.9000000000e+00,1.0158000000e-02
-1.9000000000e+00,1.0164000000e-02
-1.9000000000e+00,1.0160000000e-02
-1.9000000000e+00,1.0156000000e-02
-1.9000000000e+00,1.0162000000e-02
-1.9000000000e+00,1.0162000000e-02
-1.9000000000e+00,1.0162000000e-02
-1.9000000000e+00,1.0160000000e-02
-1.9000000000e+00,1.0156000000e-02
-1.9000000000e+00,1.0158000000e-02
-1.9000000000e+00,1.0156000000e-02
-1.9000000000e+00,1.0160000000e-02
-1.9000000000e+00,1.0156000000e-02
-1.9000000000e+00,1.0158000000e-02
-1.9000000000e+00,1.0156000000e-02
-1.9000000000e+00,1.0150000000e-02
-1.9000000000e+00,1.0150000000e-02
-1.9000000000e+00,1.0156000000e-02
-1.9000000000e+00,1.0150000000e-02
-1.9000000000e+00,1.0154000000e-02
-1.9000000000e+00,1.0160000000e-02
-1.9000000000e+00,1.0152000000e-02
-1.9000000000e+00,1.0152000000e-02
-1.9000000000e+00,1.0154000000e-02
-1.9000000000e+00,1.0156000000e-02
-1.9000000000e+00,1.0152000000e-02
