# Saved on 2025-06-19T17:39:00.326154
# Name: Evan
# Sample_ID: Batch3_F5_TPTE08
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 3000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
Voltage (V),Current (A)
1.0000000000e+00,7.0002000000e-05
1.0000000000e+00,6.7906000000e-05
1.0000000000e+00,6.7912000000e-05
1.0000000000e+00,6.8784000000e-05
1.0000000000e+00,6.9108000000e-05
1.0000000000e+00,6.6724000000e-05
1.0000000000e+00,6.7416000000e-05
1.0000000000e+00,6.9122000000e-05
1.0000000000e+00,6.7928000000e-05
1.0000000000e+00,6.6904000000e-05
1.0000000000e+00,6.6274000000e-05
1.0000000000e+00,6.6502000000e-05
1.0000000000e+00,6.6546000000e-05
1.0000000000e+00,6.8916000000e-05
1.0000000000e+00,6.7834000000e-05
1.0000000000e+00,6.9580000000e-05
1.0000000000e+00,6.7846000000e-05
1.0000000000e+00,6.7144000000e-05
1.0000000000e+00,6.6874000000e-05
1.0000000000e+00,6.8334000000e-05
1.0000000000e+00,6.6750000000e-05
1.0000000000e+00,6.8618000000e-05
1.0000000000e+00,6.8776000000e-05
1.0000000000e+00,6.7042000000e-05
1.0000000000e+00,6.7696000000e-05
1.0000000000e+00,6.6876000000e-05
1.0000000000e+00,6.7186000000e-05
1.0000000000e+00,6.8998000000e-05
1.0000000000e+00,6.8000000000e-05
1.0000000000e+00,6.8238000000e-05
1.0000000000e+00,6.9388000000e-05
1.0000000000e+00,6.8174000000e-05
1.0000000000e+00,6.8088000000e-05
1.0000000000e+00,6.8666000000e-05
1.0000000000e+00,6.8776000000e-05
1.0000000000e+00,6.7868000000e-05
1.0000000000e+00,6.7978000000e-05
1.0000000000e+00,6.7404000000e-05
1.0000000000e+00,6.7808000000e-05
1.0000000000e+00,6.7358000000e-05
1.0000000000e+00,6.7144000000e-05
1.0000000000e+00,6.9900000000e-05
1.0000000000e+00,6.7352000000e-05
1.0000000000e+00,6.7116000000e-05
1.0000000000e+00,6.8820000000e-05
1.0000000000e+00,6.7782000000e-05
1.0000000000e+00,6.9088000000e-05
1.0000000000e+00,6.7190000000e-05
1.0000000000e+00,6.7410000000e-05
1.0000000000e+00,6.9862000000e-05
1.1000000000e+00,9.2832000000e-05
1.1000000000e+00,9.1434000000e-05
1.1000000000e+00,9.2802000000e-05
1.1000000000e+00,9.4086000000e-05
1.1000000000e+00,9.2610000000e-05
1.1000000000e+00,9.2006000000e-05
1.1000000000e+00,9.2480000000e-05
1.1000000000e+00,9.2558000000e-05
1.1000000000e+00,9.2648000000e-05
1.1000000000e+00,9.3052000000e-05
