# Saved on 2025-06-25T20:52:00.888022
# Name: Evan
# Sample_ID: Batch3_F5_TPTE08
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -10
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 2
#   v_rst: -2.5
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 1
#   v_max: 2.5
#   v_step: 0.1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S)
1.4400000000e-04,4.3871797970e-04
1.1440000000e-03,4.2367748392e-04
2.1440000000e-03,4.2267525714e-04
3.1440000000e-03,4.0501647163e-04
4.1440000000e-03,4.0182098019e-04
5.1440000000e-03,3.8781836338e-04
6.1440000000e-03,4.0091301344e-04
7.1440000000e-03,4.0814113163e-04
8.1440000000e-03,3.9804195694e-04
9.1440000000e-03,3.9665355871e-04
1.0144000000e-02,4.0248614823e-04
1.1144000000e-02,4.2094219680e-04
1.2144000000e-02,4.2235460569e-04
1.3144000000e-02,4.3807565817e-04
1.4144000000e-02,4.1165643779e-04
1.5144000000e-02,4.2387622671e-04
1.6144000000e-02,4.1992341721e-04
1.7144000000e-02,4.2979030695e-04
1.8144000000e-02,4.2252573621e-04
1.9144000000e-02,4.1755454731e-04
2.0144000000e-02,4.0302002162e-04
2.1144000000e-02,3.9057984395e-04
2.2144000000e-02,3.9943261072e-04
2.3144000000e-02,4.0509348764e-04
2.4144000000e-02,4.0537641325e-04
2.5144000000e-02,3.8751888496e-04
2.6144000000e-02,4.0119495679e-04
2.7144000000e-02,4.0549843106e-04
2.8144000000e-02,4.2237101297e-04
2.9144000000e-02,4.2542509618e-04
3.0144000000e-02,4.3887084757e-04
3.1144000000e-02,4.2399715312e-04
3.2144000000e-02,4.1951396270e-04
3.3144000000e-02,4.2926232709e-04
3.4144000000e-02,4.3089297833e-04
3.5144000000e-02,4.2286614189e-04
3.6144000000e-02,4.0672399336e-04
3.7144000000e-02,4.0462637116e-04
3.8144000000e-02,3.8904152461e-04
3.9144000000e-02,4.1560098907e-04
4.0144000000e-02,4.0190232539e-04
4.1144000000e-02,4.0546477976e-04
4.2144000000e-02,3.9515787648e-04
4.3144000000e-02,4.0142276703e-04
4.4144000000e-02,4.0781600546e-04
4.5144000000e-02,4.2019259126e-04
4.6144000000e-02,4.3269898015e-04
4.7144000000e-02,4.2765524995e-04
4.8144000000e-02,4.2096115067e-04
4.9144000000e-02,4.2226693040e-04
5.0144000000e-02,4.3849926442e-04
5.1144000000e-02,4.2455863877e-04
5.2144000000e-02,4.2145420593e-04
5.3144000000e-02,4.0202507080e-04
5.4144000000e-02,3.9891696360e-04
5.5144000000e-02,3.8502948883e-04
5.6144000000e-02,4.0044957132e-04
5.7144000000e-02,4.0693987103e-04
5.8144000000e-02,3.9834296331e-04
5.9144000000e-02,3.9670518163e-04
