# Saved on 2025-06-25T21:52:52.624230
# Name: Evan
# Sample_ID: Batch3_F5_TPTE08
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -10
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1.5
#   v_rst: -2
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 1
#   v_max: 2.5
#   v_step: 0.1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_400.00 uS,Conductance_Target_500.00 uS,Conductance_Target_600.00 uS,Conductance_Target_700.00 uS,Conductance_Target_800.00 uS,Conductance_Target_900.00 uS,Conductance_Target_1000.00 uS,Conductance_Target_1100.00 uS,Conductance_Target_1200.00 uS,Conductance_Target_1300.00 uS
1.4400000000e-04,4.0540053305e-04,4.7790850658e-04,6.3469044107e-04,6.4654625021e-04,7.7812270320e-04,8.8091335783e-04,1.0159090743e-03,1.1306252418e-03,1.1997911497e-03,1.2586385128e-03
1.1440000000e-03,3.9707603719e-04,4.6480654419e-04,6.5556225309e-04,6.6623193561e-04,7.8315490100e-04,8.6203988758e-04,1.0019371985e-03,1.1200959852e-03,1.2077167048e-03,1.2832444918e-03
2.1440000000e-03,3.9898204705e-04,4.8143701861e-04,6.4209954871e-04,6.5983738750e-04,7.9074146925e-04,8.7677290139e-04,9.9049742857e-04,1.1140378774e-03,1.2268980208e-03,1.2850090570e-03
3.1440000000e-03,4.1676241381e-04,4.8606187192e-04,6.3900457462e-04,6.6308581154e-04,7.8517914517e-04,8.7970693130e-04,9.7501739219e-04,1.0970733274e-03,1.1997675756e-03,1.2809093460e-03
4.1440000000e-03,4.0342663851e-04,4.7623718274e-04,6.1824503064e-04,6.4462299633e-04,7.6886281022e-04,8.9815315732e-04,9.9284981843e-04,1.0880515038e-03,1.2078746659e-03,1.2725299166e-03
5.1440000000e-03,4.0063907363e-04,4.7537789214e-04,6.1561862822e-04,6.5785578045e-04,7.6120639278e-04,9.0549881861e-04,9.8802192952e-04,1.0904751252e-03,1.2017989502e-03,1.2801501725e-03
6.1440000000e-03,3.8121499529e-04,4.8356392654e-04,5.9984238760e-04,6.5994710894e-04,7.4530413258e-04,9.1978552518e-04,9.9117845821e-04,1.1000424274e-03,1.2194596638e-03,1.2914133549e-03
7.1440000000e-03,3.7834030081e-04,5.0313625252e-04,6.1771046603e-04,6.7652828875e-04,7.6917123806e-04,9.0211593488e-04,9.7146767075e-04,1.1014204210e-03,1.2081436580e-03,1.3043210492e-03
8.1440000000e-03,3.6405810533e-04,5.0403315981e-04,6.2227780290e-04,6.8736757385e-04,7.5837859185e-04,8.9966502856e-04,9.8449330835e-04,1.0794581613e-03,1.2022572628e-03,1.3221365225e-03
9.1440000000e-03,3.7867372157e-04,5.1886447181e-04,6.1297716456e-04,6.9525594881e-04,7.6229269325e-04,9.1231398983e-04,9.9022996437e-04,1.0928767006e-03,1.1839526269e-03,1.3029472029e-03
1.0144000000e-02,3.8338821469e-04,4.9237740313e-04,6.1002923758e-04,6.8020846811e-04,7.4575829785e-04,9.1148489446e-04,1.0112313612e-03,1.0975956684e-03,1.1699657625e-03,1.3057669275e-03
1.1144000000e-02,3.7524885556e-04,5.0157559599e-04,6.1652710428e-04,6.7963934271e-04,7.5704112533e-04,9.0397479653e-04,1.0198902601e-03,1.1202938913e-03,1.1710997205e-03,1.3038795441e-03
1.2144000000e-02,3.7208184949e-04,4.9833226512e-04,6.3567669713e-04,6.9600158895e-04,7.6211224950e-04,8.8114036771e-04,1.0301900329e-03,1.1277195154e-03,1.1866802379e-03,1.3200854301e-03
1.3144000000e-02,3.7893587432e-04,5.0792998081e-04,6.3824212702e-04,6.8916793680e-04,7.7745025919e-04,8.8007989689e-04,1.0161897808e-03,1.1454980995e-03,1.1864452244e-03,1.3083977683e-03
1.4144000000e-02,3.9587212086e-04,5.0259834097e-04,6.5461441409e-04,6.8463959906e-04,7.8977216617e-04,8.6030922830e-04,1.0135180491e-03,1.1268716480e-03,1.1660011660e-03,1.3068247063e-03
1.5144000000e-02,4.0025221097e-04,4.9709607993e-04,6.2934406742e-04,6.6073473135e-04,7.9300094512e-04,8.8682703790e-04,1.0216718510e-03,1.1173067469e-03,1.1763488874e-03,1.2873347441e-03
1.6144000000e-02,4.1544390115e-04,4.8456571676e-04,6.4017825935e-04,6.6044813138e-04,7.8002645751e-04,8.7795408035e-04,1.0167199798e-03,1.1280901526e-03,1.1826692935e-03,1.2748134031e-03
1.7144000000e-02,3.8901907828e-04,4.7201643611e-04,6.3649487856e-04,6.4215564635e-04,7.7840493759e-04,8.8033571956e-04,1.0094373283e-03,1.1281099432e-03,1.2094416161e-03,1.2609086116e-03
1.8144000000e-02,4.0168393753e-04,4.8068948672e-04,6.4684136305e-04,6.6450687882e-04,7.9729121353e-04,8.6994004960e-04,9.8525051726e-04,1.1227326468e-03,1.2126731599e-03,1.2822372082e-03
1.9144000000e-02,3.9658581954e-04,4.8335001338e-04,6.3916493673e-04,6.6175562097e-04,7.8499600932e-04,8.7700362201e-04,9.8512668046e-04,1.0983911488e-03,1.2315585627e-03,1.2834375957e-03
2.0144000000e-02,4.0748367610e-04,4.8514237278e-04,6.3387800765e-04,6.5919550252e-04,7.8038741776e-04,8.8732485892e-04,9.6508061688e-04,1.0946341354e-03,1.2116815924e-03,1.2629834237e-03
2.1144000000e-02,3.9957329136e-04,4.6526045480e-04,6.1935403210e-04,6.5123516833e-04,7.5702482718e-04,9.0080859081e-04,9.9112417956e-04,1.0765246407e-03,1.2072982645e-03,1.2723280815e-03
2.2144000000e-02,3.9592487155e-04,4.7994773922e-04,6.0661604948e-04,6.5986430855e-04,7.5637421105e-04,9.1545960458e-04,9.8563359643e-04,1.1083902791e-03,1.2160769256e-03,1.2776863878e-03
2.3144000000e-02,3.8197173126e-04,4.8263798817e-04,6.1218408518e-04,6.7104134359e-04,7.3773400800e-04,9.0383800853e-04,9.9012911960e-04,1.0959699284e-03,1.2206150859e-03,1.3094814494e-03
2.4144000000e-02,3.6918132537e-04,5.0032551371e-04,6.1908969656e-04,6.8148954597e-04,7.5840100180e-04,9.0138863015e-04,9.8052005342e-04,1.0993247997e-03,1.2097848230e-03,1.3062385551e-03
2.5144000000e-02,3.7345129385e-04,5.0609876780e-04,6.2037099269e-04,6.9432760938e-04,7.6157797594e-04,8.9888089860e-04,9.8688156868e-04,1.0845781799e-03,1.1951937631e-03,1.3296092220e-03
