# Saved on 2025-06-19T17:45:17.044778
# Name: Evan
# Sample_ID: Batch3_F5_TPTE08
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 1.5
#   Neg_Voltage: -1.8
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A),Loop 4 (A),Loop 5 (A)
0.0000000000e+00,2.0570000000e-09,1.2800000000e-10,7.2400000000e-09,4.2910000000e-09,1.2300000000e-09
-1.8000000000e-02,6.4938000000e-07,1.0884000000e-06,1.7354000000e-06,1.3282000000e-06,1.4899000000e-06
-3.6000000000e-02,1.2954000000e-06,2.1390000000e-06,3.4451000000e-06,2.6139000000e-06,2.9042000000e-06
-5.4000000000e-02,1.9491000000e-06,3.2531000000e-06,5.1248000000e-06,4.0126000000e-06,4.4745000000e-06
-7.2000000000e-02,2.6292000000e-06,4.3539000000e-06,7.0042000000e-06,5.2905000000e-06,6.0541000000e-06
-9.0000000000e-02,3.3611000000e-06,5.5091000000e-06,8.7267000000e-06,6.6545000000e-06,7.4844000000e-06
-1.0800000000e-01,4.0688000000e-06,6.6598000000e-06,1.0680000000e-05,8.0871000000e-06,9.1372000000e-06
-1.2600000000e-01,4.8951000000e-06,7.8294000000e-06,1.2514000000e-05,9.4567000000e-06,1.0576000000e-05
-1.4400000000e-01,5.7141000000e-06,8.9946000000e-06,1.4384000000e-05,1.1448000000e-05,1.2348000000e-05
-1.6200000000e-01,6.5638000000e-06,1.0190000000e-05,1.6274000000e-05,1.2888000000e-05,1.4066000000e-05
-1.8000000000e-01,7.4877000000e-06,1.1320000000e-05,1.8184000000e-05,1.3904000000e-05,1.5870000000e-05
-1.9800000000e-01,8.3452000000e-06,1.2512000000e-05,2.0282000000e-05,1.5372000000e-05,1.7758000000e-05
-2.1600000000e-01,9.4006000000e-06,1.3934000000e-05,2.2400000000e-05,1.6972000000e-05,1.9414000000e-05
-2.3400000000e-01,1.0392000000e-05,1.5372000000e-05,2.4482000000e-05,1.8582000000e-05,2.1490000000e-05
-2.5200000000e-01,1.1454000000e-05,1.6710000000e-05,2.6742000000e-05,2.0246000000e-05,2.3554000000e-05
-2.7000000000e-01,1.2542000000e-05,1.8088000000e-05,2.8858000000e-05,2.1926000000e-05,2.5394000000e-05
-2.8800000000e-01,1.3616000000e-05,1.9562000000e-05,3.1182000000e-05,2.3668000000e-05,2.7462000000e-05
-3.0600000000e-01,1.4910000000e-05,2.1136000000e-05,3.3354000000e-05,2.5512000000e-05,2.9560000000e-05
-3.2400000000e-01,1.6088000000e-05,2.2654000000e-05,3.5846000000e-05,2.7522000000e-05,3.1682000000e-05
-3.4200000000e-01,1.7296000000e-05,2.4150000000e-05,3.8366000000e-05,3.0084000000e-05,3.4024000000e-05
-3.6000000000e-01,1.8572000000e-05,2.5740000000e-05,4.1058000000e-05,3.0994000000e-05,3.6180000000e-05
-3.7800000000e-01,1.9798000000e-05,2.7536000000e-05,4.3676000000e-05,3.2966000000e-05,3.8418000000e-05
-3.9600000000e-01,2.1256000000e-05,2.9356000000e-05,4.6136000000e-05,3.6034000000e-05,4.0878000000e-05
-4.1400000000e-01,2.2728000000e-05,3.1088000000e-05,4.8904000000e-05,3.7188000000e-05,4.3108000000e-05
-4.3200000000e-01,2.4156000000e-05,3.2904000000e-05,5.1510000000e-05,4.0284000000e-05,4.5598000000e-05
-4.5000000000e-01,2.5694000000e-05,3.4690000000e-05,5.4512000000e-05,4.2564000000e-05,4.8234000000e-05
-4.6800000000e-01,2.7362000000e-05,3.6628000000e-05,5.7396000000e-05,4.4632000000e-05,5.0790000000e-05
-4.8600000000e-01,2.8846000000e-05,3.8576000000e-05,6.0312000000e-05,4.6992000000e-05,5.3516000000e-05
-5.0400000000e-01,3.0540000000e-05,3.9782000000e-05,6.3442000000e-05,4.8330000000e-05,5.6288000000e-05
-5.2200000000e-01,3.2254000000e-05,4.1754000000e-05,6.6586000000e-05,5.1928000000e-05,5.8950000000e-05
-5.4000000000e-01,3.4168000000e-05,4.3956000000e-05,6.9766000000e-05,5.4358000000e-05,6.1572000000e-05
-5.5800000000e-01,3.6156000000e-05,4.6096000000e-05,7.2862000000e-05,5.7006000000e-05,6.4664000000e-05
-5.7600000000e-01,3.8104000000e-05,4.8292000000e-05,7.6360000000e-05,5.9370000000e-05,6.7616000000e-05
-5.9400000000e-01,4.0098000000e-05,5.0412000000e-05,8.1496000000e-05,6.2168000000e-05,7.0872000000e-05
-6.1200000000e-01,4.2262000000e-05,5.2866000000e-05,8.3150000000e-05,6.4984000000e-05,7.4048000000e-05
-6.3000000000e-01,4.4384000000e-05,5.5332000000e-05,8.6694000000e-05,6.7440000000e-05,7.7402000000e-05
-6.4800000000e-01,4.6788000000e-05,5.8066000000e-05,9.0484000000e-05,6.7630000000e-05,8.0752000000e-05
-6.6600000000e-01,4.9012000000e-05,6.0440000000e-05,9.4082000000e-05,7.0090000000e-05,8.3906000000e-05
-6.8400000000e-01,5.1420000000e-05,6.3154000000e-05,9.9922000000e-05,7.3294000000e-05,8.7344000000e-05
-7.0200000000e-01,5.4162000000e-05,6.6016000000e-05,1.0290000000e-04,7.6104000000e-05,9.0972000000e-05
-7.2000000000e-01,5.6838000000e-05,6.8754000000e-05,1.0650000000e-04,7.9080000000e-05,9.4616000000e-05
-7.3800000000e-01,5.9542000000e-05,7.1500000000e-05,1.1076000000e-04,8.3086000000e-05,9.8794000000e-05
-7.5600000000e-01,6.2210000000e-05,7.4490000000e-05,1.1568000000e-04,8.5946000000e-05,1.0276000000e-04
-7.7400000000e-01,6.5074000000e-05,7.7302000000e-05,1.2000000000e-04,8.9422000000e-05,1.0680000000e-04
-7.9200000000e-01,6.8166000000e-05,8.0394000000e-05,1.2394000000e-04,9.3594000000e-05,1.1092000000e-04
-8.1000000000e-01,7.1446000000e-05,8.3948000000e-05,1.2884000000e-04,9.6582000000e-05,1.1522000000e-04
-8.2800000000e-01,7.4576000000e-05,8.7222000000e-05,1.3344000000e-04,1.0128000000e-04,1.1964000000e-04
-8.4600000000e-01,7.7626000000e-05,9.1982000000e-05,1.3874000000e-04,1.0424000000e-04,1.2392000000e-04
-8.6400000000e-01,8.1594000000e-05,9.5464000000e-05,1.4356000000e-04,1.0862000000e-04,1.2872000000e-04
-8.8200000000e-01,8.4840000000e-05,9.8946000000e-05,1.4896000000e-04,1.1292000000e-04,1.3374000000e-04
-9.0000000000e-01,8.8528000000e-05,1.0274000000e-04,1.5386000000e-04,1.1692000000e-04,1.3842000000e-04
-9.1800000000e-01,9.2114000000e-05,1.0674000000e-04,1.5998000000e-04,1.2126000000e-04,1.4336000000e-04
-9.3600000000e-01,9.6214000000e-05,1.1032000000e-04,1.6522000000e-04,1.2550000000e-04,1.4904000000e-04
-9.5400000000e-01,1.0008400000e-04,1.1454000000e-04,1.7124000000e-04,1.3026000000e-04,1.5442000000e-04
-9.7200000000e-01,1.0442000000e-04,1.1900000000e-04,1.7852000000e-04,1.3548000000e-04,1.5968000000e-04
-9.9000000000e-01,1.0872000000e-04,1.2384000000e-04,1.8420000000e-04,1.3984000000e-04,1.6532000000e-04
-1.0080000000e+00,1.1274000000e-04,1.2820000000e-04,1.9038000000e-04,1.4484000000e-04,1.7108000000e-04
-1.0260000000e+00,1.1758000000e-04,1.3284000000e-04,1.9784000000e-04,1.5054000000e-04,1.7712000000e-04
-1.0440000000e+00,1.2210000000e-04,1.3782000000e-04,2.0390000000e-04,1.5590000000e-04,1.8368000000e-04
-1.0620000000e+00,1.2712000000e-04,1.4232000000e-04,2.0916000000e-04,1.6134000000e-04,1.8952000000e-04
-1.0800000000e+00,1.3180000000e-04,1.4792000000e-04,2.1612000000e-04,1.6748000000e-04,1.9620000000e-04
