# Saved on 2025-06-19T17:26:36.077398
# Name: Evan
# Sample_ID: Batch3_F5_TPTE09
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1
#   Reset_Compliance: 0.1
#   SaveData: True
Voltage (V),Current (A)
1.0000000000e+00,1.3625000000e-10
1.0000000000e+00,6.3110000000e-10
1.0000000000e+00,1.1370000000e-10
1.0000000000e+00,3.7940000000e-11
1.0000000000e+00,1.0267000000e-10
1.0000000000e+00,1.2200000000e-10
1.0000000000e+00,1.2150000000e-10
1.0000000000e+00,6.4759000000e-10
1.0000000000e+00,8.9100000000e-11
1.0000000000e+00,6.6225000000e-10
1.0000000000e+00,1.3980000000e-11
1.0000000000e+00,3.0030000000e-11
1.0000000000e+00,1.1500000000e-11
1.0000000000e+00,6.1800000000e-11
1.0000000000e+00,9.1700000000e-11
1.0000000000e+00,6.5310000000e-10
1.0000000000e+00,7.9200000000e-11
1.0000000000e+00,1.7530000000e-10
1.1000000000e+00,2.9230000000e-11
1.1000000000e+00,6.6321000000e-10
1.1000000000e+00,2.6267000000e-10
1.1000000000e+00,9.4300000000e-11
1.1000000000e+00,6.5970000000e-10
1.1000000000e+00,1.1503000000e-10
1.1000000000e+00,6.2267000000e-10
1.1000000000e+00,1.0640000000e-10
1.1000000000e+00,1.6000000000e-12
1.1000000000e+00,1.0806000000e-10
1.1000000000e+00,6.4585000000e-10
1.1000000000e+00,2.6040000000e-11
1.1000000000e+00,8.1700000000e-11
1.1000000000e+00,6.1000000000e-12
1.1000000000e+00,1.4330000000e-10
1.1000000000e+00,3.8000000000e-12
1.1000000000e+00,1.2090000000e-10
1.1000000000e+00,1.5920000000e-10
1.1000000000e+00,1.5216000000e-10
1.2000000000e+00,6.4775000000e-10
1.2000000000e+00,2.7268000000e-10
1.2000000000e+00,2.9920000000e-10
1.2000000000e+00,3.1490000000e-10
1.2000000000e+00,4.0500000000e-11
1.2000000000e+00,3.0630000000e-10
1.2000000000e+00,3.0700000000e-11
1.2000000000e+00,6.9070000000e-10
1.2000000000e+00,1.0113000000e-10
1.2000000000e+00,6.7253000000e-10
1.2000000000e+00,5.6000000000e-11
1.2000000000e+00,3.0690000000e-10
1.2000000000e+00,1.8800000000e-11
1.2000000000e+00,6.7410000000e-10
1.2000000000e+00,4.2670000000e-10
1.2000000000e+00,4.3580000000e-10
1.2000000000e+00,1.2990000000e-10
1.2000000000e+00,1.0570000000e-10
1.2000000000e+00,1.2730000000e-10
1.3000000000e+00,1.7730000000e-10
1.3000000000e+00,3.2170000000e-10
1.3000000000e+00,1.8570000000e-10
1.3000000000e+00,3.4280000000e-10
1.3000000000e+00,2.2000000000e-10
1.3000000000e+00,1.1970000000e-10
1.3000000000e+00,2.6670000000e-10
1.3000000000e+00,1.7420000000e-10
1.3000000000e+00,2.2740000000e-10
1.3000000000e+00,2.1520000000e-10
1.3000000000e+00,4.0400000000e-11
1.3000000000e+00,3.4900000000e-10
1.3000000000e+00,2.7810000000e-10
1.3000000000e+00,2.4160000000e-10
1.3000000000e+00,3.3940000000e-10
1.3000000000e+00,2.3960000000e-10
1.3000000000e+00,1.6580000000e-10
1.3000000000e+00,5.8158000000e-10
1.3000000000e+00,1.2210000000e-10
1.3000000000e+00,4.7070000000e-10
1.4000000000e+00,2.0520000000e-10
1.4000000000e+00,8.9410000000e-10
1.4000000000e+00,2.0240000000e-10
1.4000000000e+00,1.8750000000e-10
1.4000000000e+00,3.9480000000e-10
1.4000000000e+00,2.0080000000e-10
1.4000000000e+00,3.3400000000e-10
1.4000000000e+00,4.4040000000e-10
1.4000000000e+00,3.0620000000e-10
1.4000000000e+00,3.5400000000e-10
1.4000000000e+00,5.3480000000e-10
1.4000000000e+00,2.7610000000e-10
1.4000000000e+00,5.4610000000e-10
1.4000000000e+00,3.0910000000e-10
1.4000000000e+00,8.9730000000e-10
1.4000000000e+00,1.7520000000e-10
1.4000000000e+00,9.1000000000e-10
1.4000000000e+00,3.4030000000e-10
1.4000000000e+00,9.2580000000e-10
1.4000000000e+00,1.0530000000e-10
1.4000000000e+00,2.2020000000e-10
1.5000000000e+00,5.7510000000e-10
1.5000000000e+00,3.6250000000e-10
1.5000000000e+00,1.0127000000e-09
1.5000000000e+00,3.7060000000e-10
1.5000000000e+00,1.0285000000e-09
1.5000000000e+00,1.0950000000e-10
1.5000000000e+00,5.5690000000e-10
1.5000000000e+00,1.0551000000e-09
1.5000000000e+00,3.8030000000e-10
1.5000000000e+00,1.0561000000e-09
1.5000000000e+00,4.3050000000e-10
1.5000000000e+00,1.0662000000e-09
1.5000000000e+00,4.6450000000e-10
1.5000000000e+00,1.0639000000e-09
1.5000000000e+00,5.6460000000e-10
1.5000000000e+00,1.0613000000e-09
1.5000000000e+00,5.0840000000e-10
1.5000000000e+00,3.9950000000e-10
1.5000000000e+00,9.9980000000e-10
1.5000000000e+00,3.7470000000e-10
1.5000000000e+00,1.0348000000e-09
1.6000000000e+00,1.1170000000e-10
1.6000000000e+00,7.8780000000e-10
1.6000000000e+00,8.2970000000e-10
1.6000000000e+00,1.0470000000e-09
1.6000000000e+00,8.7440000000e-10
1.6000000000e+00,1.0777000000e-09
1.6000000000e+00,9.0990000000e-10
1.6000000000e+00,1.0960000000e-09
1.6000000000e+00,1.2454000000e-09
1.6000000000e+00,1.1190000000e-09
1.6000000000e+00,1.2856000000e-09
1.6000000000e+00,1.1711000000e-09
1.6000000000e+00,1.2894000000e-09
1.6000000000e+00,1.1685000000e-09
1.6000000000e+00,1.0082000000e-09
1.6000000000e+00,1.2019000000e-09
1.6000000000e+00,1.2672000000e-09
1.6000000000e+00,4.8440000000e-10
1.6000000000e+00,8.0200000000e-11
1.6000000000e+00,7.8180000000e-10
1.6000000000e+00,1.2755000000e-09
1.7000000000e+00,8.3370000000e-10
1.7000000000e+00,8.2650000000e-10
1.7000000000e+00,9.2640000000e-10
1.7000000000e+00,9.9960000000e-10
1.7000000000e+00,7.9690000000e-10
1.7000000000e+00,3.9190000000e-10
1.7000000000e+00,6.6510000000e-10
1.7000000000e+00,8.7290000000e-10
1.7000000000e+00,7.9900000000e-10
1.7000000000e+00,9.9170000000e-10
1.7000000000e+00,5.2610000000e-10
1.7000000000e+00,9.1160000000e-10
1.7000000000e+00,9.1960000000e-10
1.7000000000e+00,7.7720000000e-10
1.7000000000e+00,4.1610000000e-10
1.7000000000e+00,1.1008000000e-09
1.7000000000e+00,1.1021000000e-09
1.7000000000e+00,8.5180000000e-10
1.7000000000e+00,7.8170000000e-10
1.7000000000e+00,9.5600000000e-10
1.7000000000e+00,1.5924000000e-09
1.8000000000e+00,1.6044000000e-09
1.8000000000e+00,9.1740000000e-10
1.8000000000e+00,1.5116000000e-09
1.8000000000e+00,2.0228000000e-09
1.8000000000e+00,1.4074000000e-09
1.8000000000e+00,9.9030000000e-10
1.8000000000e+00,1.5801000000e-09
1.8000000000e+00,2.1522000000e-09
1.8000000000e+00,1.4088000000e-09
1.8000000000e+00,9.4410000000e-10
1.8000000000e+00,1.7132000000e-09
1.8000000000e+00,1.7255000000e-09
1.8000000000e+00,1.3893000000e-09
1.8000000000e+00,1.4385000000e-09
1.8000000000e+00,1.7019000000e-09
1.8000000000e+00,2.1729000000e-09
1.8000000000e+00,1.3316000000e-09
1.8000000000e+00,1.0295000000e-09
1.8000000000e+00,1.7427000000e-09
1.8000000000e+00,1.9783000000e-09
1.8000000000e+00,1.4215000000e-09
1.9000000000e+00,1.9348000000e-09
1.9000000000e+00,2.3309000000e-09
1.9000000000e+00,2.4817000000e-09
1.9000000000e+00,2.7592000000e-09
1.9000000000e+00,2.0624000000e-09
1.9000000000e+00,2.1903000000e-09
1.9000000000e+00,2.3129000000e-09
1.9000000000e+00,2.3945000000e-09
1.9000000000e+00,2.2856000000e-09
1.9000000000e+00,1.9800000000e-09
1.9000000000e+00,2.4098000000e-09
1.9000000000e+00,2.8785000000e-09
1.9000000000e+00,2.2902000000e-09
1.9000000000e+00,1.6232000000e-09
1.9000000000e+00,2.2405000000e-09
1.9000000000e+00,2.7340000000e-09
1.9000000000e+00,2.0184000000e-09
1.9000000000e+00,1.6799000000e-09
1.9000000000e+00,2.3124000000e-09
1.9000000000e+00,2.8221000000e-09
1.9000000000e+00,2.0969000000e-09
2.0000000000e+00,2.7683000000e-09
2.0000000000e+00,3.4248000000e-09
2.0000000000e+00,3.8739000000e-09
2.0000000000e+00,3.0866000000e-09
2.0000000000e+00,2.6365000000e-09
2.0000000000e+00,3.4873000000e-09
2.0000000000e+00,3.8584000000e-09
2.0000000000e+00,3.0130000000e-09
2.0000000000e+00,2.7823000000e-09
2.0000000000e+00,3.4678000000e-09
2.0000000000e+00,3.2193000000e-09
2.0000000000e+00,3.1358000000e-09
2.0000000000e+00,3.0072000000e-09
2.0000000000e+00,3.4862000000e-09
2.0000000000e+00,3.4289000000e-09
2.0000000000e+00,3.2230000000e-09
2.0000000000e+00,3.0733000000e-09
2.0000000000e+00,3.1155000000e-09
2.0000000000e+00,3.1882000000e-09
2.0000000000e+00,3.4232000000e-09
2.0000000000e+00,3.2719000000e-09
2.1000000000e+00,4.7700000000e-09
2.1000000000e+00,4.6223000000e-09
2.1000000000e+00,4.3532000000e-09
2.1000000000e+00,4.7026000000e-09
2.1000000000e+00,4.7304000000e-09
2.1000000000e+00,4.7134000000e-09
2.1000000000e+00,4.9520000000e-09
2.1000000000e+00,4.9955000000e-09
2.1000000000e+00,4.1766000000e-09
2.1000000000e+00,4.9933000000e-09
2.1000000000e+00,5.4185000000e-09
2.1000000000e+00,4.6025000000e-09
2.1000000000e+00,5.0050000000e-09
2.1000000000e+00,5.2879000000e-09
2.1000000000e+00,4.4119000000e-09
2.1000000000e+00,5.0125000000e-09
2.1000000000e+00,5.1410000000e-09
2.1000000000e+00,4.8309000000e-09
2.1000000000e+00,4.6018000000e-09
2.1000000000e+00,4.9142000000e-09
2.1000000000e+00,4.9580000000e-09
2.1000000000e+00,4.9950000000e-09
2.2000000000e+00,6.9406000000e-09
2.2000000000e+00,7.3201000000e-09
2.2000000000e+00,7.1840000000e-09
2.2000000000e+00,6.6550000000e-09
2.2000000000e+00,6.7010000000e-09
2.2000000000e+00,7.2960000000e-09
2.2000000000e+00,7.4320000000e-09
2.2000000000e+00,7.2940000000e-09
2.2000000000e+00,7.2940000000e-09
2.2000000000e+00,7.3080000000e-09
2.2000000000e+00,6.7170000000e-09
2.2000000000e+00,7.2780000000e-09
2.2000000000e+00,7.2080000000e-09
2.2000000000e+00,7.5920000000e-09
2.2000000000e+00,7.5980000000e-09
2.2000000000e+00,7.7240000000e-09
2.2000000000e+00,7.4670000000e-09
2.2000000000e+00,7.7200000000e-09
2.2000000000e+00,7.8240000000e-09
2.2000000000e+00,7.9030000000e-09
2.2000000000e+00,8.3730000000e-09
2.2000000000e+00,8.3150000000e-09
2.2000000000e+00,7.9500000000e-09
2.2000000000e+00,7.8660000000e-09
2.2000000000e+00,7.7910000000e-09
2.3000000000e+00,1.0651000000e-08
2.3000000000e+00,1.1441000000e-08
2.3000000000e+00,1.1658000000e-08
2.3000000000e+00,1.1774000000e-08
2.3000000000e+00,1.1293000000e-08
2.3000000000e+00,1.2377000000e-08
2.3000000000e+00,1.2185000000e-08
2.3000000000e+00,1.1716000000e-08
2.3000000000e+00,1.2493000000e-08
2.3000000000e+00,1.2134000000e-08
2.3000000000e+00,1.1705000000e-08
2.3000000000e+00,1.2504000000e-08
2.3000000000e+00,1.2411000000e-08
2.3000000000e+00,1.1300000000e-08
2.3000000000e+00,1.2043000000e-08
2.3000000000e+00,1.2944000000e-08
2.3000000000e+00,1.1695000000e-08
2.3000000000e+00,1.2163000000e-08
2.3000000000e+00,1.2245000000e-08
2.3000000000e+00,1.1628000000e-08
2.3000000000e+00,1.1734000000e-08
2.3000000000e+00,1.2183000000e-08
