# Saved on 2025-06-25T20:03:22.917376
# Name: Evan
# Sample_ID: Batch3_F5_TPTE09
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -10
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.3
#   v_max: 2.5
#   v_step: 0.1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_400.00 uS,Conductance_Target_500.00 uS,Conductance_Target_600.00 uS,Conductance_Target_700.00 uS,Conductance_Target_800.00 uS,Conductance_Target_900.00 uS,Conductance_Target_1000.00 uS,Conductance_Target_1100.00 uS,Conductance_Target_1200.00 uS,Conductance_Target_1300.00 uS
1.4400000000e-04,4.1298342694e-04,5.3348121583e-04,6.4017767727e-04,6.9782108767e-04,8.2775819465e-04,8.8486580353e-04,9.7339878266e-04,1.1158465350e-03,1.2048955978e-03,1.2567119848e-03
1.1440000000e-03,4.1435021558e-04,5.4193867982e-04,6.2737592089e-04,7.1397364081e-04,8.4058243374e-04,8.8887471065e-04,9.9485776445e-04,1.1041462858e-03,1.2072583195e-03,1.2521339522e-03
2.1440000000e-03,3.9760965592e-04,5.4027128499e-04,6.1727914726e-04,7.2613322118e-04,8.4737221187e-04,9.1333742603e-04,9.8943070043e-04,1.1013894255e-03,1.1929445463e-03,1.2700805382e-03
3.1440000000e-03,4.2290332203e-04,5.3747076890e-04,6.0940576077e-04,7.3190538387e-04,8.2834078057e-04,9.1283778602e-04,9.9001954368e-04,1.0838794697e-03,1.1818825442e-03,1.2689367577e-03
4.1440000000e-03,4.1180035623e-04,5.1762955991e-04,6.2863175117e-04,7.1399001172e-04,8.2878133981e-04,9.3288181233e-04,9.6985539130e-04,1.0706441390e-03,1.1646050552e-03,1.2491538655e-03
5.1440000000e-03,4.1454855818e-04,5.1072081988e-04,6.3439198129e-04,7.1219263191e-04,8.4478378994e-04,9.1026129667e-04,9.8347118183e-04,1.0627923621e-03,1.1869984883e-03,1.2615103333e-03
6.1440000000e-03,4.0508410166e-04,5.0913982705e-04,6.1545753852e-04,7.3499075370e-04,8.3536062448e-04,9.1057256213e-04,9.8729367892e-04,1.0806787759e-03,1.1811768491e-03,1.2677804625e-03
7.1440000000e-03,4.1048646381e-04,5.1677125157e-04,6.1104088672e-04,7.2426148108e-04,8.3017439465e-04,9.1733818408e-04,1.0055055463e-03,1.0819151066e-03,1.1866950808e-03,1.2955689454e-03
8.1440000000e-03,4.1737079300e-04,5.1982871810e-04,6.3335057348e-04,7.1008478699e-04,8.1016325566e-04,9.2216701887e-04,1.0169099551e-03,1.0620165267e-03,1.1663466285e-03,1.2966338545e-03
9.1440000000e-03,4.3042364268e-04,4.9933660193e-04,6.4367908635e-04,6.9768990215e-04,8.1058489741e-04,9.1583184258e-04,1.0254396329e-03,1.0718908743e-03,1.1790676217e-03,1.3165709970e-03
1.0144000000e-02,4.4120228267e-04,5.0588092563e-04,6.4545027271e-04,7.0034875534e-04,7.9046527389e-04,8.9746608865e-04,1.0084775568e-03,1.0797747382e-03,1.1844135588e-03,1.2942764442e-03
1.1144000000e-02,4.3632018787e-04,5.1824070397e-04,6.6445514676e-04,6.7228414991e-04,8.1274651166e-04,8.8630680693e-04,1.0065193055e-03,1.1022885155e-03,1.2020261784e-03,1.2943052570e-03
1.2144000000e-02,4.3328094762e-04,5.3354491683e-04,6.4892832597e-04,6.9338348112e-04,8.1181875430e-04,8.6929925601e-04,1.0242547432e-03,1.1037090735e-03,1.2158425670e-03,1.2980312749e-03
1.3144000000e-02,4.2805389967e-04,5.3938601923e-04,6.4396750531e-04,6.9008041464e-04,8.0562946096e-04,8.9601911895e-04,1.0159518570e-03,1.1205584451e-03,1.2219474593e-03,1.3076582400e-03
1.4144000000e-02,4.4923221139e-04,5.5270007579e-04,6.4265012043e-04,6.9947891461e-04,7.9948309576e-04,8.8711836725e-04,1.0095179459e-03,1.0993267642e-03,1.2085970229e-03,1.2972473633e-03
1.5144000000e-02,4.3595715397e-04,5.3855943406e-04,6.5023406933e-04,6.8185057899e-04,8.0812504166e-04,8.8539432909e-04,9.8376993265e-04,1.0967014532e-03,1.2031901861e-03,1.2823913130e-03
1.6144000000e-02,4.2926822061e-04,5.2634230087e-04,6.4377083618e-04,6.9006790000e-04,8.2187034423e-04,8.6812215159e-04,9.8308373708e-04,1.1073155474e-03,1.2245452672e-03,1.2689329742e-03
1.7144000000e-02,4.1211500502e-04,5.4155589169e-04,6.3306601078e-04,7.0807087468e-04,8.3046448708e-04,8.8107568445e-04,9.6330113593e-04,1.1149689817e-03,1.2169049296e-03,1.2513346155e-03
1.8144000000e-02,4.0903720219e-04,5.4438427469e-04,6.2292092480e-04,7.1569753345e-04,8.4639170382e-04,8.8417102234e-04,9.8744785646e-04,1.1085633741e-03,1.2078951113e-03,1.2788058666e-03
1.9144000000e-02,3.9332186134e-04,5.3740317526e-04,6.1378654209e-04,7.2215807450e-04,8.2483806182e-04,9.0221779828e-04,9.8862779851e-04,1.0932369332e-03,1.1821421504e-03,1.2655438331e-03
2.0144000000e-02,4.0793227527e-04,5.2106195653e-04,6.2581726525e-04,7.1270907938e-04,8.3227074356e-04,9.1947884357e-04,9.8366210295e-04,1.0837447917e-03,1.1803942471e-03,1.2680966756e-03
2.1144000000e-02,4.1703216993e-04,5.1520117268e-04,6.2174418417e-04,7.1724920417e-04,8.2951570221e-04,9.2163594672e-04,9.7455813375e-04,1.0637178639e-03,1.1633950635e-03,1.2496576528e-03
2.2144000000e-02,4.0680759412e-04,5.0134571211e-04,6.2350307417e-04,7.1734910307e-04,8.4344370407e-04,9.0880741482e-04,9.8567259556e-04,1.0882884089e-03,1.1847210408e-03,1.2648649863e-03
2.3144000000e-02,4.0524639189e-04,5.2544430218e-04,6.0204507463e-04,7.3219474871e-04,8.3273036580e-04,9.0516063210e-04,9.9705604953e-04,1.0829124221e-03,1.1857579375e-03,1.2681246153e-03
2.4144000000e-02,4.1535076889e-04,5.1683280617e-04,6.2455983425e-04,7.0916867116e-04,8.3045408246e-04,9.2351700005e-04,1.0084460519e-03,1.0824962374e-03,1.1804787209e-03,1.2888736092e-03
2.5144000000e-02,4.2802206735e-04,5.2003124438e-04,6.3091996708e-04,7.1731315984e-04,8.1264734035e-04,9.1134177637e-04,1.0238921823e-03,1.0649955948e-03,1.1730191181e-03,1.3054572628e-03
2.6144000000e-02,4.3007494241e-04,5.0780963647e-04,6.4933774411e-04,7.0011126809e-04,7.9980360169e-04,9.0936388006e-04,9.9997043435e-04,1.0771275265e-03,1.1816397455e-03,1.3104094251e-03
2.7144000000e-02,4.4776134018e-04,5.1535858802e-04,6.5174353949e-04,6.7950582888e-04,7.9636236478e-04,8.8358072389e-04,1.0100049985e-03,1.0816561553e-03,1.1948871543e-03,1.2947648065e-03
2.8144000000e-02,4.2350297008e-04,5.1855531638e-04,6.6898501245e-04,6.8396948336e-04,8.0872567196e-04,8.8347791461e-04,1.0097321501e-03,1.0992515308e-03,1.2067920034e-03,1.2927505304e-03
2.9144000000e-02,4.3021493184e-04,5.3309238865e-04,6.5123545937e-04,6.9902329415e-04,8.1174664956e-04,8.6836946139e-04,1.0255549569e-03,1.1136779358e-03,1.2270065781e-03,1.3140591909e-03
3.0144000000e-02,4.2870531615e-04,5.3999759984e-04,6.4789463067e-04,7.0373556809e-04,7.9245946836e-04,8.8630702521e-04,1.0105763067e-03,1.1214811821e-03,1.2032197992e-03,1.3008870883e-03
3.1144000000e-02,4.3780943088e-04,5.3416475566e-04,6.5641259425e-04,6.8608227593e-04,8.0543082731e-04,8.8751236035e-04,1.0086991824e-03,1.1055395589e-03,1.2089150550e-03,1.2927172065e-03
3.2144000000e-02,4.3447969801e-04,5.2208593843e-04,6.5717693360e-04,6.9192057708e-04,8.1144818978e-04,8.7651351350e-04,9.9100536318e-04,1.1038681259e-03,1.2074325059e-03,1.2668046111e-03
3.3144000000e-02,4.2863841372e-04,5.2582065109e-04,6.4748943259e-04,6.9780762715e-04,8.3317543613e-04,8.6982501671e-04,9.7760588687e-04,1.1218331201e-03,1.2233578309e-03,1.2679869542e-03
3.4144000000e-02,4.1686063923e-04,5.4609656218e-04,6.2780272856e-04,7.2267976066e-04,8.3262479166e-04,8.7791653641e-04,9.7331998404e-04,1.1108122271e-03,1.2096058344e-03,1.2463088206e-03
3.5144000000e-02,4.0695107600e-04,5.3257550462e-04,6.2260514824e-04,7.0957532444e-04,8.5008774477e-04,8.9737397502e-04,9.8599281046e-04,1.1049456953e-03,1.2056050764e-03,1.2701509695e-03
3.6144000000e-02,4.1180413973e-04,5.2775230870e-04,6.0477894294e-04,7.3296774644e-04,8.2833292254e-04,9.0253452072e-04,9.9017510365e-04,1.0787806241e-03,1.1890123278e-03,1.2717409118e-03
3.7144000000e-02,4.1703820898e-04,5.0880964409e-04,6.3836974732e-04,7.1470749390e-04,8.2615981228e-04,9.1726818937e-04,9.7100826679e-04,1.0775341798e-03,1.1729491234e-03,1.2656350737e-03
3.8144000000e-02,4.1476105253e-04,5.1015467761e-04,6.2073551817e-04,7.1907132224e-04,8.3064944192e-04,8.9124863734e-04,9.7781223303e-04,1.0571335588e-03,1.1686156358e-03,1.2560976029e-03
3.9144000000e-02,3.9554332034e-04,4.9807629694e-04,6.3233688707e-04,7.2096692747e-04,8.4147846792e-04,8.9922803454e-04,9.8720673122e-04,1.0814562847e-03,1.1833377357e-03,1.2679722568e-03
4.0144000000e-02,4.1201794375e-04,5.1354516472e-04,6.1128957896e-04,7.2080423706e-04,8.3456347056e-04,8.9467896032e-04,1.0107392882e-03,1.0842170741e-03,1.1881870159e-03,1.2828143372e-03
4.1144000000e-02,4.1360297473e-04,5.1790895668e-04,6.2265651650e-04,7.2168986662e-04,8.2162900071e-04,9.0957299108e-04,1.0130795999e-03,1.0797584400e-03,1.1657999858e-03,1.2924695329e-03
4.2144000000e-02,4.3043906771e-04,5.1381895901e-04,6.2830702518e-04,7.1114984166e-04,8.1073303591e-04,9.0078494395e-04,1.0301393922e-03,1.0696922254e-03,1.1759372137e-03,1.3102863159e-03
4.3144000000e-02,4.3717343942e-04,5.0531521993e-04,6.3957159000e-04,6.9971109042e-04,7.9492558143e-04,9.0226996690e-04,1.0082708468e-03,1.0800266318e-03,1.1842381355e-03,1.2841343414e-03
4.4144000000e-02,4.4666245230e-04,5.0670656492e-04,6.5624524723e-04,6.8642548285e-04,8.2065998868e-04,8.8454231445e-04,1.0085362010e-03,1.0942146037e-03,1.2084346235e-03,1.2949512166e-03
4.5144000000e-02,4.3406504119e-04,5.2452131058e-04,6.4559812017e-04,7.0720416261e-04,8.0899626482e-04,8.6526481027e-04,1.0104887770e-03,1.1043736595e-03,1.2094254635e-03,1.2914370745e-03
4.6144000000e-02,4.2982006562e-04,5.2435425459e-04,6.4934647526e-04,7.0252179285e-04,8.1194317318e-04,8.6847670900e-04,1.0192182526e-03,1.1210054799e-03,1.2290728046e-03,1.3103468518e-03
4.7144000000e-02,4.3984684453e-04,5.4216281569e-04,6.4820706029e-04,6.9695939601e-04,7.9733203165e-04,8.7994005298e-04,1.0085228860e-03,1.0981751257e-03,1.2043246534e-03,1.2981478358e-03
4.8144000000e-02,4.4073309255e-04,5.1686267398e-04,6.6122935095e-04,6.7987348302e-04,8.0981684732e-04,8.7798522145e-04,9.9774566479e-04,1.1062408157e-03,1.2028852507e-03,1.2945801427e-03
4.9144000000e-02,4.3057851144e-04,5.2974133723e-04,6.5633525082e-04,7.0002235589e-04,8.0943835201e-04,8.6418964202e-04,9.8556403827e-04,1.0999074584e-03,1.2128978415e-03,1.2761827384e-03
5.0144000000e-02,4.1178016545e-04,5.2520092140e-04,6.5130181611e-04,6.9171524956e-04,8.2620390458e-04,8.7462212832e-04,9.7007519798e-04,1.1186847405e-03,1.2206403335e-03,1.2623463408e-03
