# Saved on 2025-06-19T19:22:40.327034
# Name: Evan
# Sample_ID: Batch3_F5_TPTE14
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 3000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.2
#   Reset_Compliance: 0.1
#   SaveData: True
Voltage (V),Current (A)
1.0000000000e+00,3.7567000000e-10
1.0000000000e+00,3.4888000000e-10
1.0000000000e+00,1.9336000000e-10
1.0000000000e+00,2.3270000000e-11
1.0000000000e+00,1.8204000000e-10
1.0000000000e+00,3.9510000000e-10
1.0000000000e+00,3.8617000000e-10
1.0000000000e+00,5.2660000000e-11
1.0000000000e+00,3.8199000000e-10
1.0000000000e+00,4.5110000000e-11
1.0000000000e+00,8.4580000000e-11
1.0000000000e+00,2.1506000000e-10
1.0000000000e+00,1.0619000000e-10
1.0000000000e+00,3.9264000000e-10
1.0000000000e+00,1.8960000000e-11
1.0000000000e+00,3.0231000000e-10
1.0000000000e+00,3.7784000000e-10
1.0000000000e+00,3.6811000000e-10
1.1000000000e+00,3.4651000000e-10
1.1000000000e+00,3.5013000000e-10
1.1000000000e+00,3.5906000000e-10
1.1000000000e+00,3.7940000000e-11
1.1000000000e+00,7.9200000000e-12
1.1000000000e+00,1.5880000000e-10
1.1000000000e+00,1.8780000000e-10
1.1000000000e+00,3.5208000000e-10
1.1000000000e+00,3.4488000000e-10
1.1000000000e+00,7.6800000000e-12
1.1000000000e+00,3.1850000000e-11
1.1000000000e+00,3.2740000000e-11
1.1000000000e+00,1.8091000000e-10
1.1000000000e+00,2.1461000000e-10
1.1000000000e+00,3.4532000000e-10
1.1000000000e+00,3.5261000000e-10
1.1000000000e+00,3.6696000000e-10
1.1000000000e+00,2.4398000000e-10
1.2000000000e+00,7.8260000000e-11
1.2000000000e+00,3.4417000000e-10
1.2000000000e+00,3.0070000000e-11
1.2000000000e+00,3.4410000000e-10
1.2000000000e+00,6.0970000000e-11
1.2000000000e+00,1.2341000000e-10
1.2000000000e+00,2.2384000000e-10
1.2000000000e+00,9.4980000000e-11
1.2000000000e+00,3.3564000000e-10
1.2000000000e+00,3.4869000000e-10
1.2000000000e+00,3.6446000000e-10
1.2000000000e+00,3.4470000000e-11
1.2000000000e+00,1.5100000000e-12
1.2000000000e+00,1.4414000000e-10
1.2000000000e+00,1.6863000000e-10
1.2000000000e+00,3.3880000000e-10
1.2000000000e+00,3.5396000000e-10
1.2000000000e+00,3.5370000000e-10
1.3000000000e+00,9.3900000000e-12
1.3000000000e+00,1.6000000000e-11
1.3000000000e+00,1.7600000000e-10
1.3000000000e+00,1.9547000000e-10
1.3000000000e+00,3.3083000000e-10
1.3000000000e+00,3.4436000000e-10
1.3000000000e+00,3.5125000000e-10
1.3000000000e+00,8.8480000000e-11
1.3000000000e+00,9.6500000000e-11
1.3000000000e+00,3.3088000000e-10
1.3000000000e+00,3.2899000000e-10
1.3000000000e+00,7.8600000000e-11
1.3000000000e+00,1.0090000000e-11
1.3000000000e+00,4.1925000000e-10
1.3000000000e+00,2.6093000000e-10
1.3000000000e+00,7.1730000000e-11
1.3000000000e+00,3.2003000000e-10
1.3000000000e+00,3.2491000000e-10
1.4000000000e+00,3.0963000000e-10
1.4000000000e+00,3.0036000000e-10
1.4000000000e+00,1.2738000000e-10
1.4000000000e+00,3.2970000000e-10
1.4000000000e+00,3.8800000000e-11
1.4000000000e+00,2.9979000000e-10
1.4000000000e+00,3.0018000000e-10
1.4000000000e+00,1.8902000000e-10
1.4000000000e+00,4.3574000000e-10
1.4000000000e+00,5.1710000000e-11
1.4000000000e+00,3.0279000000e-10
1.4000000000e+00,2.7600000000e-12
1.4000000000e+00,2.4742000000e-10
1.4000000000e+00,8.2300000000e-12
1.4000000000e+00,4.4153000000e-10
1.4000000000e+00,2.8120000000e-10
1.4000000000e+00,4.5370000000e-11
1.4000000000e+00,1.9383000000e-10
1.5000000000e+00,2.6569000000e-10
1.5000000000e+00,1.2599000000e-10
1.5000000000e+00,1.1720000000e-10
1.5000000000e+00,1.6949000000e-10
1.5000000000e+00,3.6347000000e-10
1.5000000000e+00,3.0000000000e-13
1.5000000000e+00,2.5866000000e-10
1.5000000000e+00,1.3253000000e-10
1.5000000000e+00,1.4630000000e-10
1.5000000000e+00,5.1400000000e-12
1.5000000000e+00,2.3840000000e-11
1.5000000000e+00,2.6892000000e-10
1.5000000000e+00,6.6650000000e-11
1.5000000000e+00,1.6471000000e-10
1.5000000000e+00,1.3135000000e-10
1.5000000000e+00,4.3550000000e-11
1.5000000000e+00,1.8845000000e-10
1.5000000000e+00,2.2981000000e-10
1.6000000000e+00,5.0640000000e-11
1.6000000000e+00,1.9560000000e-10
1.6000000000e+00,6.7600000000e-12
1.6000000000e+00,3.5580000000e-11
1.6000000000e+00,6.7040000000e-11
1.6000000000e+00,2.1229000000e-10
1.6000000000e+00,2.1963000000e-10
1.6000000000e+00,6.5430000000e-11
1.6000000000e+00,1.0420000000e-11
1.6000000000e+00,4.4530000000e-11
1.6000000000e+00,2.2476000000e-10
1.6000000000e+00,8.0060000000e-11
1.6000000000e+00,1.2094000000e-10
1.6000000000e+00,3.2348000000e-10
1.6000000000e+00,1.1280000000e-10
1.6000000000e+00,1.0432000000e-10
1.6000000000e+00,1.4240000000e-10
1.6000000000e+00,7.4060000000e-11
1.7000000000e+00,2.7037000000e-10
1.7000000000e+00,9.6610000000e-11
1.7000000000e+00,4.3310000000e-11
1.7000000000e+00,1.8928000000e-10
1.7000000000e+00,1.0498000000e-10
1.7000000000e+00,2.6897000000e-10
1.7000000000e+00,3.3880000000e-11
1.7000000000e+00,5.0800000000e-11
1.7000000000e+00,1.6881000000e-10
1.7000000000e+00,2.5302000000e-10
1.7000000000e+00,6.0768000000e-10
1.7000000000e+00,4.8260000000e-10
1.7000000000e+00,4.5371000000e-10
1.7000000000e+00,2.5961000000e-10
1.7000000000e+00,3.7770000000e-10
1.7000000000e+00,3.1730000000e-11
1.7000000000e+00,1.4880000000e-10
1.7000000000e+00,1.2497000000e-10
1.8000000000e+00,1.9054000000e-10
1.8000000000e+00,2.7860000000e-10
1.8000000000e+00,3.5601000000e-10
1.8000000000e+00,3.8217000000e-10
