# Saved on 2025-06-26T18:26:51.569236
# Name: Abir
# Sample_ID: Batch3_F5_TPTE13
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1.5e-05
#   ProgramTargetOffset: 1.5e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_400.00 uS,Conductance_Target_500.00 uS,Conductance_Target_600.00 uS,Conductance_Target_700.00 uS,Conductance_Target_800.00 uS,Conductance_Target_900.00 uS,Conductance_Target_1000.00 uS,Conductance_Target_1100.00 uS,Conductance_Target_1200.00 uS,Conductance_Target_1300.00 uS
1.4400000000e-04,4.2598530854e-04,5.3674619267e-04,6.1878708948e-04,6.8818553700e-04,7.7663113188e-04,9.1200461611e-04,1.0048156400e-03,1.0890858539e-03,1.1690238898e-03,1.2765631254e-03
1.1440000000e-03,4.2691339331e-04,5.3322732128e-04,6.2022736529e-04,6.8419976742e-04,7.6998105214e-04,9.0119101515e-04,1.0124318942e-03,1.0840559116e-03,1.1729288235e-03,1.2865902681e-03
2.1440000000e-03,4.1665625758e-04,5.3482228395e-04,6.2751925725e-04,6.8329543865e-04,7.6587552030e-04,9.1397952929e-04,1.0131009913e-03,1.0901386122e-03,1.1659404845e-03,1.2850329222e-03
3.1440000000e-03,4.1920051444e-04,5.2888102800e-04,6.2371247623e-04,6.7642307840e-04,7.6354575867e-04,9.0798668680e-04,1.0212691996e-03,1.0920996283e-03,1.1752363935e-03,1.2824896839e-03
4.1440000000e-03,4.2121715524e-04,5.1998234994e-04,6.2298735429e-04,6.8159271905e-04,7.6765114500e-04,9.0746209025e-04,1.0158016812e-03,1.0909271805e-03,1.1751906277e-03,1.2802747369e-03
5.1440000000e-03,4.3237680075e-04,5.2274161135e-04,6.1186845414e-04,6.8158937211e-04,7.7364806202e-04,9.0108202130e-04,1.0266292520e-03,1.0956104961e-03,1.1760916823e-03,1.2806049199e-03
6.1440000000e-03,4.3072006520e-04,5.1359111239e-04,6.1620579800e-04,6.7873821536e-04,7.6483287557e-04,9.0071487648e-04,1.0174795170e-03,1.0940433276e-03,1.1653187539e-03,1.2733069889e-03
7.1440000000e-03,4.3778971303e-04,5.3118212236e-04,6.0527760070e-04,6.6780885390e-04,7.5947267760e-04,9.0538545919e-04,1.0150494927e-03,1.0935081809e-03,1.1698391609e-03,1.2795565999e-03
8.1440000000e-03,4.2673258577e-04,5.2164923545e-04,6.1710547016e-04,6.7383691203e-04,7.7298980614e-04,9.1273264843e-04,1.0159355588e-03,1.0924636445e-03,1.1698190792e-03,1.2899441936e-03
9.1440000000e-03,4.3115040171e-04,5.2765437431e-04,6.1692691816e-04,6.6988497565e-04,7.7338598203e-04,9.1704059741e-04,1.0140213999e-03,1.0994437616e-03,1.1803127563e-03,1.2791849440e-03
1.0144000000e-02,4.3116171582e-04,5.1955368690e-04,6.1693979660e-04,6.8651526817e-04,7.7056974987e-04,9.1902787972e-04,1.0162773833e-03,1.0930350254e-03,1.1667852959e-03,1.2805507868e-03
1.1144000000e-02,4.3302454287e-04,5.2189931012e-04,6.1493970861e-04,6.7380533437e-04,7.7735589002e-04,9.1664915089e-04,1.0069252312e-03,1.0919706983e-03,1.1709486716e-03,1.2750073802e-03
1.2144000000e-02,4.3065520003e-04,5.2396659157e-04,6.1575665313e-04,6.7666289397e-04,7.6663156506e-04,9.0812012786e-04,1.0064071830e-03,1.0813674453e-03,1.1698011804e-03,1.2846695608e-03
1.3144000000e-02,4.2599505832e-04,5.3100950026e-04,6.2042825448e-04,6.7721550295e-04,7.7036587754e-04,9.1328147391e-04,1.0038539040e-03,1.0855664732e-03,1.1684410129e-03,1.2860231800e-03
1.4144000000e-02,4.2083589506e-04,5.3980769735e-04,6.2370738306e-04,6.7667853727e-04,7.6757998613e-04,9.1453497589e-04,1.0223009303e-03,1.0800179734e-03,1.1587086919e-03,1.2865668396e-03
1.5144000000e-02,4.1588409658e-04,5.3730826039e-04,6.2254242948e-04,6.7807712185e-04,7.7623655670e-04,9.1106390755e-04,1.0143916734e-03,1.0881276830e-03,1.1602311133e-03,1.2901902664e-03
1.6144000000e-02,4.2644063797e-04,5.3115469200e-04,6.1032242229e-04,6.7716900958e-04,7.7544405940e-04,9.0186847956e-04,1.0130707233e-03,1.0861435294e-03,1.1629989604e-03,1.2924498878e-03
1.7144000000e-02,4.2349405703e-04,5.2905830671e-04,6.1814585933e-04,6.8382425525e-04,7.6414500654e-04,9.0123459813e-04,1.0068416304e-03,1.0855763685e-03,1.1545966117e-03,1.2895662803e-03
1.8144000000e-02,4.2635427235e-04,5.3424915677e-04,6.1531238316e-04,6.7336099164e-04,7.6344520494e-04,8.9688575827e-04,1.0051808204e-03,1.0998931975e-03,1.1623883620e-03,1.2799016258e-03
1.9144000000e-02,4.1515435441e-04,5.3159550589e-04,6.2456660089e-04,6.7745422712e-04,7.5923831901e-04,9.1809917649e-04,1.0088493582e-03,1.0961263615e-03,1.1648821965e-03,1.2876153050e-03
2.0144000000e-02,4.2399537051e-04,5.3802799812e-04,6.1901162553e-04,6.7989669333e-04,7.6992320828e-04,9.0362103947e-04,1.0114054021e-03,1.0930201825e-03,1.1766509851e-03,1.2908451026e-03
2.1144000000e-02,4.2485742597e-04,5.2597275499e-04,6.1820646806e-04,6.8786743213e-04,7.6658601756e-04,9.0637069661e-04,1.0184066196e-03,1.0925746028e-03,1.1737118621e-03,1.2893973326e-03
