# Saved on 2025-06-19T19:33:25.275437
# Name: Evan
# Sample_ID: Batch3_F5_TPTE15
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A),Loop 4 (A),Loop 5 (A)
0.0000000000e+00,2.0410000000e-07,1.1788000000e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-2.0000000000e-02,1.5058000000e-05,1.4798000000e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-4.0000000000e-02,3.0052000000e-05,2.9556000000e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-6.0000000000e-02,4.5336000000e-05,4.4612000000e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-8.0000000000e-02,6.1926000000e-05,6.0954000000e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-1.0000000000e-01,7.8670000000e-05,7.7384000000e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-1.2000000000e-01,9.5846000000e-05,9.4234000000e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-1.4000000000e-01,1.1396000000e-04,1.1194000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-1.6000000000e-01,1.3234000000e-04,1.2988000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-1.8000000000e-01,1.5310000000e-04,1.5042000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-2.0000000000e-01,1.7296000000e-04,1.6936000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-2.2000000000e-01,1.9398000000e-04,1.8992000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-2.4000000000e-01,2.1600000000e-04,2.1148000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-2.6000000000e-01,2.3864000000e-04,2.3386000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-2.8000000000e-01,2.6316000000e-04,2.5748000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-3.0000000000e-01,2.8760000000e-04,2.8072000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-3.2000000000e-01,3.1166000000e-04,3.0508000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-3.4000000000e-01,3.3924000000e-04,3.3178000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-3.6000000000e-01,3.6624000000e-04,3.5776000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-3.8000000000e-01,3.9374000000e-04,3.8438000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-4.0000000000e-01,4.2300000000e-04,4.1246000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-4.2000000000e-01,4.5152000000e-04,4.4192000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-4.4000000000e-01,4.8302000000e-04,4.7140000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-4.6000000000e-01,5.1342000000e-04,5.0124000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-4.8000000000e-01,5.4420000000e-04,5.3224000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-5.0000000000e-01,5.7698000000e-04,5.6516000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-5.2000000000e-01,6.1060000000e-04,5.9762000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-5.4000000000e-01,6.4436000000e-04,6.3032000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-5.6000000000e-01,6.7740000000e-04,6.6332000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
