# Saved on 2025-06-19T19:35:11.676607
# Name: Evan
# Sample_ID: Batch3_F5_TPTE15
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A),Loop 4 (A),Loop 5 (A)
0.0000000000e+00,1.8194000000e-08,1.8600000000e-09,1.7090000000e-09,1.7706000000e-08,9.7700000000e-09
-2.0000000000e-02,1.6121000000e-06,1.2408000000e-06,2.5958000000e-06,2.2872000000e-06,2.3878000000e-06
-4.0000000000e-02,3.2388000000e-06,2.4774000000e-06,5.1988000000e-06,4.5340000000e-06,4.7363000000e-06
-6.0000000000e-02,4.8800000000e-06,3.7681000000e-06,7.8475000000e-06,6.9858000000e-06,7.2788000000e-06
-8.0000000000e-02,6.4836000000e-06,5.1432000000e-06,1.0380000000e-05,9.5344000000e-06,9.8648000000e-06
-1.0000000000e-01,8.3319000000e-06,6.4626000000e-06,1.3022000000e-05,1.1892000000e-05,1.2658000000e-05
-1.2000000000e-01,1.0172000000e-05,8.0986000000e-06,1.5760000000e-05,1.4836000000e-05,1.5444000000e-05
-1.4000000000e-01,1.2020000000e-05,9.6163000000e-06,1.8126000000e-05,1.7584000000e-05,1.8250000000e-05
-1.6000000000e-01,1.4022000000e-05,1.1350000000e-05,1.7022000000e-05,2.0138000000e-05,2.1298000000e-05
-1.8000000000e-01,1.6284000000e-05,1.3022000000e-05,1.9334000000e-05,2.3194000000e-05,2.4666000000e-05
-2.0000000000e-01,1.8162000000e-05,1.4846000000e-05,2.1342000000e-05,2.6352000000e-05,2.8044000000e-05
-2.2000000000e-01,2.1028000000e-05,1.6682000000e-05,2.3242000000e-05,2.9646000000e-05,3.1670000000e-05
-2.4000000000e-01,2.3182000000e-05,1.8840000000e-05,2.5258000000e-05,3.2742000000e-05,3.5238000000e-05
-2.6000000000e-01,2.5172000000e-05,2.0970000000e-05,2.8048000000e-05,3.6144000000e-05,3.8928000000e-05
-2.8000000000e-01,2.4728000000e-05,2.3234000000e-05,3.0574000000e-05,3.9694000000e-05,4.2942000000e-05
-3.0000000000e-01,2.7318000000e-05,2.5480000000e-05,3.3406000000e-05,4.3326000000e-05,4.7032000000e-05
-3.2000000000e-01,2.9890000000e-05,2.8056000000e-05,3.6400000000e-05,4.7304000000e-05,5.1356000000e-05
-3.4000000000e-01,3.2618000000e-05,3.0636000000e-05,3.9728000000e-05,5.1456000000e-05,5.5946000000e-05
-3.6000000000e-01,3.5624000000e-05,3.3248000000e-05,4.0460000000e-05,5.5706000000e-05,6.1048000000e-05
-3.8000000000e-01,3.8726000000e-05,3.6146000000e-05,4.3724000000e-05,6.0314000000e-05,6.6180000000e-05
-4.0000000000e-01,4.2166000000e-05,3.9416000000e-05,4.7236000000e-05,6.5304000000e-05,7.1962000000e-05
-4.2000000000e-01,4.5926000000e-05,4.2750000000e-05,5.1390000000e-05,7.0692000000e-05,7.6978000000e-05
-4.4000000000e-01,4.9788000000e-05,4.6424000000e-05,5.5506000000e-05,7.5540000000e-05,8.2942000000e-05
-4.6000000000e-01,5.3888000000e-05,5.0080000000e-05,6.0012000000e-05,8.1578000000e-05,8.9478000000e-05
-4.8000000000e-01,5.8322000000e-05,5.4080000000e-05,6.4580000000e-05,8.7946000000e-05,9.6244000000e-05
-5.0000000000e-01,6.3044000000e-05,5.8504000000e-05,6.9526000000e-05,9.4948000000e-05,1.0374000000e-04
-5.2000000000e-01,6.8320000000e-05,6.3014000000e-05,7.4860000000e-05,1.0184000000e-04,1.1084000000e-04
-5.4000000000e-01,7.3548000000e-05,6.7856000000e-05,7.9326000000e-05,1.0958000000e-04,1.1914000000e-04
-5.6000000000e-01,7.9002000000e-05,7.3066000000e-05,8.5304000000e-05,1.1768000000e-04,1.2816000000e-04
-5.8000000000e-01,8.5006000000e-05,7.8784000000e-05,9.1592000000e-05,1.2638000000e-04,1.3714000000e-04
-6.0000000000e-01,9.1174000000e-05,8.4754000000e-05,9.9430000000e-05,1.3544000000e-04,1.4702000000e-04
-6.2000000000e-01,9.7870000000e-05,9.1052000000e-05,1.0656000000e-04,1.4494000000e-04,1.5756000000e-04
-6.4000000000e-01,1.0474000000e-04,9.7408000000e-05,1.1406000000e-04,1.5572000000e-04,1.6850000000e-04
-6.6000000000e-01,1.1216000000e-04,1.0476000000e-04,1.2262000000e-04,1.6696000000e-04,1.8054000000e-04
