# Saved on 2025-06-19T19:44:31.784997
# Name: Evan
# Sample_ID: Batch3_F5_TPTE16
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 1
#   Max_Voltage: 7
#   IComp: 0.02
#   Dynamic_Check: True
#   D_StartV: -3
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.5
#   Reset_Compliance: 0.1
#   SaveData: True
Voltage (V),Current (A)
-3.0000000000e+00,1.6588000000e-02
-3.0000000000e+00,1.6584000000e-02
-3.0000000000e+00,1.6586000000e-02
-3.0000000000e+00,1.6588000000e-02
-3.0000000000e+00,1.6588000000e-02
-3.0000000000e+00,1.6584000000e-02
-3.0000000000e+00,1.6586000000e-02
-3.0000000000e+00,1.6582000000e-02
-3.0000000000e+00,1.6582000000e-02
-3.0000000000e+00,1.6586000000e-02
-3.0000000000e+00,1.6582000000e-02
-3.0000000000e+00,1.6584000000e-02
-3.0000000000e+00,1.6582000000e-02
-3.0000000000e+00,1.6584000000e-02
-3.0000000000e+00,1.6584000000e-02
-3.0000000000e+00,1.6584000000e-02
-3.0000000000e+00,1.6584000000e-02
-3.0000000000e+00,1.6584000000e-02
-3.0000000000e+00,1.6588000000e-02
-3.0000000000e+00,1.6584000000e-02
-3.0000000000e+00,1.6588000000e-02
-3.0000000000e+00,1.6590000000e-02
-3.0000000000e+00,1.6586000000e-02
-3.0000000000e+00,1.6590000000e-02
-3.0000000000e+00,1.6592000000e-02
-3.0000000000e+00,1.6590000000e-02
-3.0000000000e+00,1.6586000000e-02
-3.0000000000e+00,1.6590000000e-02
-3.0000000000e+00,1.6588000000e-02
-3.0000000000e+00,1.6588000000e-02
-3.0000000000e+00,1.6590000000e-02
-3.0000000000e+00,1.6588000000e-02
-3.0000000000e+00,1.6586000000e-02
-3.0000000000e+00,1.6586000000e-02
-3.0000000000e+00,1.6590000000e-02
-3.0000000000e+00,1.6584000000e-02
-3.0000000000e+00,1.6588000000e-02
-3.0000000000e+00,1.6586000000e-02
-3.0000000000e+00,1.6582000000e-02
-3.0000000000e+00,1.6586000000e-02
-3.0000000000e+00,1.6586000000e-02
-3.0000000000e+00,1.6588000000e-02
-3.0000000000e+00,1.6588000000e-02
-3.0000000000e+00,1.6588000000e-02
-3.0000000000e+00,1.6586000000e-02
-3.0000000000e+00,1.6590000000e-02
-3.0000000000e+00,1.6588000000e-02
-3.0000000000e+00,1.6590000000e-02
-3.0000000000e+00,1.6588000000e-02
-3.0000000000e+00,1.6590000000e-02
-3.0000000000e+00,1.6588000000e-02
-3.0000000000e+00,1.6586000000e-02
-3.0000000000e+00,1.6592000000e-02
-3.0000000000e+00,1.6590000000e-02
-3.0000000000e+00,1.6590000000e-02
-3.0000000000e+00,1.6590000000e-02
-3.0000000000e+00,1.6590000000e-02
-3.0000000000e+00,1.6588000000e-02
-3.0000000000e+00,1.6584000000e-02
-3.0000000000e+00,1.6588000000e-02
-3.0000000000e+00,1.6586000000e-02
-3.0000000000e+00,1.6588000000e-02
-3.0000000000e+00,1.6588000000e-02
-3.0000000000e+00,1.6586000000e-02
-3.0000000000e+00,1.6588000000e-02
-3.0000000000e+00,1.6588000000e-02
-3.0000000000e+00,1.6584000000e-02
-3.0000000000e+00,1.6586000000e-02
-3.0000000000e+00,1.6588000000e-02
-3.0000000000e+00,1.6584000000e-02
-3.0000000000e+00,1.6588000000e-02
-3.0000000000e+00,1.6586000000e-02
-3.0000000000e+00,1.6588000000e-02
-3.0000000000e+00,1.6588000000e-02
-3.0000000000e+00,1.6592000000e-02
-3.0000000000e+00,1.6590000000e-02
-3.0000000000e+00,1.6590000000e-02
-3.0000000000e+00,1.6596000000e-02
-3.0000000000e+00,1.6592000000e-02
-3.0000000000e+00,1.6590000000e-02
-3.0000000000e+00,1.6592000000e-02
-3.0000000000e+00,1.6592000000e-02
-2.9000000000e+00,1.6062000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6054000000e-02
-2.9000000000e+00,1.6058000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6056000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6058000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6064000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6058000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6058000000e-02
-2.9000000000e+00,1.6058000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6062000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6062000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6058000000e-02
-2.9000000000e+00,1.6058000000e-02
-2.9000000000e+00,1.6058000000e-02
-2.9000000000e+00,1.6058000000e-02
-2.9000000000e+00,1.6062000000e-02
-2.9000000000e+00,1.6056000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6058000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6062000000e-02
-2.9000000000e+00,1.6058000000e-02
-2.9000000000e+00,1.6062000000e-02
-2.9000000000e+00,1.6058000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6064000000e-02
-2.9000000000e+00,1.6058000000e-02
-2.9000000000e+00,1.6058000000e-02
-2.9000000000e+00,1.6062000000e-02
-2.9000000000e+00,1.6058000000e-02
-2.9000000000e+00,1.6064000000e-02
-2.9000000000e+00,1.6062000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6058000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6056000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6056000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6056000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6062000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6062000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6068000000e-02
-2.9000000000e+00,1.6064000000e-02
-2.9000000000e+00,1.6060000000e-02
-2.9000000000e+00,1.6064000000e-02
-2.9000000000e+00,1.6064000000e-02
-2.9000000000e+00,1.6062000000e-02
-2.9000000000e+00,1.6066000000e-02
-2.8000000000e+00,1.5528000000e-02
-2.8000000000e+00,1.5532000000e-02
-2.8000000000e+00,1.5526000000e-02
-2.8000000000e+00,1.5528000000e-02
-2.8000000000e+00,1.5530000000e-02
-2.8000000000e+00,1.5528000000e-02
-2.8000000000e+00,1.5526000000e-02
-2.8000000000e+00,1.5526000000e-02
-2.8000000000e+00,1.5526000000e-02
-2.8000000000e+00,1.5530000000e-02
-2.8000000000e+00,1.5524000000e-02
-2.8000000000e+00,1.5526000000e-02
-2.8000000000e+00,1.5530000000e-02
-2.8000000000e+00,1.5526000000e-02
-2.8000000000e+00,1.5526000000e-02
-2.8000000000e+00,1.5526000000e-02
-2.8000000000e+00,1.5524000000e-02
-2.8000000000e+00,1.5528000000e-02
-2.8000000000e+00,1.5528000000e-02
-2.8000000000e+00,1.5528000000e-02
-2.8000000000e+00,1.5526000000e-02
-2.8000000000e+00,1.5530000000e-02
-2.8000000000e+00,1.5526000000e-02
-2.8000000000e+00,1.5528000000e-02
-2.8000000000e+00,1.5530000000e-02
-2.8000000000e+00,1.5528000000e-02
-2.8000000000e+00,1.5526000000e-02
-2.8000000000e+00,1.5528000000e-02
-2.8000000000e+00,1.5532000000e-02
-2.8000000000e+00,1.5530000000e-02
-2.8000000000e+00,1.5528000000e-02
-2.8000000000e+00,1.5528000000e-02
-2.8000000000e+00,1.5526000000e-02
-2.8000000000e+00,1.5528000000e-02
-2.8000000000e+00,1.5528000000e-02
-2.8000000000e+00,1.5526000000e-02
-2.8000000000e+00,1.5524000000e-02
-2.8000000000e+00,1.5530000000e-02
-2.8000000000e+00,1.5524000000e-02
-2.8000000000e+00,1.5528000000e-02
-2.8000000000e+00,1.5528000000e-02
