# Saved on 2025-06-19T19:37:35.783020
# Name: Evan
# Sample_ID: Batch3_F5_TPTE16
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.5
#   Reset_Compliance: 0.1
#   SaveData: True
Voltage (V),Current (A)
1.0000000000e+00,1.5587000000e-09
1.0000000000e+00,1.6580000000e-09
1.0000000000e+00,1.7132000000e-09
1.0000000000e+00,1.7241000000e-09
1.0000000000e+00,1.3279000000e-09
1.0000000000e+00,1.5237000000e-09
1.0000000000e+00,1.6893000000e-09
1.0000000000e+00,1.5817000000e-09
1.0000000000e+00,1.7440000000e-09
1.0000000000e+00,1.4777000000e-09
1.0000000000e+00,1.7857000000e-09
1.0000000000e+00,2.0237000000e-09
1.0000000000e+00,1.6427000000e-09
1.0000000000e+00,1.3210000000e-09
1.0000000000e+00,1.7668000000e-09
1.0000000000e+00,2.0371000000e-09
1.0000000000e+00,1.5797000000e-09
1.0000000000e+00,1.3219000000e-09
1.0000000000e+00,1.7889000000e-09
1.0000000000e+00,1.9438000000e-09
1.0000000000e+00,1.5611000000e-09
1.1000000000e+00,2.5962000000e-09
1.1000000000e+00,3.0112000000e-09
1.1000000000e+00,3.1000000000e-09
1.1000000000e+00,2.8466000000e-09
1.1000000000e+00,2.9086000000e-09
1.1000000000e+00,2.8809000000e-09
1.1000000000e+00,3.2667000000e-09
1.1000000000e+00,3.0833000000e-09
1.1000000000e+00,3.0024000000e-09
1.1000000000e+00,3.0690000000e-09
1.1000000000e+00,3.2208000000e-09
1.1000000000e+00,3.2409000000e-09
1.1000000000e+00,2.8236000000e-09
1.1000000000e+00,2.6849000000e-09
1.1000000000e+00,3.0577000000e-09
1.1000000000e+00,3.0369000000e-09
1.1000000000e+00,2.8346000000e-09
1.1000000000e+00,2.7804000000e-09
1.1000000000e+00,2.9535000000e-09
1.1000000000e+00,3.3315000000e-09
1.1000000000e+00,2.8251000000e-09
1.2000000000e+00,4.7590000000e-09
1.2000000000e+00,5.0396000000e-09
1.2000000000e+00,5.1279000000e-09
1.2000000000e+00,4.8163000000e-09
1.2000000000e+00,4.8688000000e-09
1.2000000000e+00,5.0157000000e-09
1.2000000000e+00,5.1869000000e-09
1.2000000000e+00,4.7616000000e-09
1.2000000000e+00,4.6871000000e-09
1.2000000000e+00,4.9328000000e-09
1.2000000000e+00,5.2819000000e-09
1.2000000000e+00,4.5983000000e-09
1.2000000000e+00,4.6072000000e-09
1.2000000000e+00,4.6620000000e-09
1.2000000000e+00,4.9100000000e-09
1.2000000000e+00,4.8330000000e-09
1.2000000000e+00,4.7652000000e-09
1.2000000000e+00,4.3696000000e-09
1.2000000000e+00,4.7807000000e-09
1.2000000000e+00,5.0272000000e-09
1.2000000000e+00,4.6662000000e-09
1.3000000000e+00,7.8288000000e-09
1.3000000000e+00,8.1260000000e-09
1.3000000000e+00,8.3570000000e-09
1.3000000000e+00,8.4010000000e-09
1.3000000000e+00,8.3330000000e-09
1.3000000000e+00,8.0350000000e-09
1.3000000000e+00,8.5150000000e-09
1.3000000000e+00,8.4780000000e-09
1.3000000000e+00,8.3650000000e-09
1.3000000000e+00,7.9860000000e-09
1.3000000000e+00,8.0920000000e-09
1.3000000000e+00,8.5090000000e-09
1.3000000000e+00,8.4070000000e-09
1.3000000000e+00,8.0960000000e-09
1.3000000000e+00,8.0760000000e-09
1.3000000000e+00,7.9494000000e-09
1.3000000000e+00,8.1233000000e-09
1.3000000000e+00,8.7310000000e-09
1.3000000000e+00,8.4630000000e-09
1.3000000000e+00,8.2250000000e-09
1.3000000000e+00,8.3750000000e-09
1.3000000000e+00,8.3830000000e-09
1.3000000000e+00,7.7911000000e-09
1.3000000000e+00,8.4520000000e-09
1.3000000000e+00,7.9510000000e-09
1.4000000000e+00,1.3837000000e-08
1.4000000000e+00,1.4156000000e-08
1.4000000000e+00,1.3890000000e-08
1.4000000000e+00,1.4085000000e-08
1.4000000000e+00,1.5933000000e-08
