# Saved on 2025-06-23T13:41:18.633240
# Name: Evan
# Sample_ID: Batch3_F5_TPTE16
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 3
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -4
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A)
0.0000000000e+00,1.1120000000e-09,0.0000000000e+00,0.0000000000e+00
-4.0000000000e-02,1.5642000000e-05,0.0000000000e+00,0.0000000000e+00
-8.0000000000e-02,3.1741000000e-05,0.0000000000e+00,0.0000000000e+00
-1.2000000000e-01,4.8362000000e-05,0.0000000000e+00,0.0000000000e+00
-1.6000000000e-01,6.5776000000e-05,0.0000000000e+00,0.0000000000e+00
-2.0000000000e-01,8.4343000000e-05,0.0000000000e+00,0.0000000000e+00
-2.4000000000e-01,1.0365000000e-04,0.0000000000e+00,0.0000000000e+00
-2.8000000000e-01,1.2421000000e-04,0.0000000000e+00,0.0000000000e+00
-3.2000000000e-01,1.4596000000e-04,0.0000000000e+00,0.0000000000e+00
-3.6000000000e-01,1.6882000000e-04,0.0000000000e+00,0.0000000000e+00
-4.0000000000e-01,1.9323000000e-04,0.0000000000e+00,0.0000000000e+00
-4.4000000000e-01,2.1898000000e-04,0.0000000000e+00,0.0000000000e+00
-4.8000000000e-01,2.4618000000e-04,0.0000000000e+00,0.0000000000e+00
-5.2000000000e-01,2.7464000000e-04,0.0000000000e+00,0.0000000000e+00
-5.6000000000e-01,3.0464000000e-04,0.0000000000e+00,0.0000000000e+00
-6.0000000000e-01,3.3713000000e-04,0.0000000000e+00,0.0000000000e+00
-6.4000000000e-01,3.7071000000e-04,0.0000000000e+00,0.0000000000e+00
-6.8000000000e-01,4.0393000000e-04,0.0000000000e+00,0.0000000000e+00
-7.2000000000e-01,4.3990000000e-04,0.0000000000e+00,0.0000000000e+00
-7.6000000000e-01,4.8096000000e-04,0.0000000000e+00,0.0000000000e+00
-8.0000000000e-01,5.2103000000e-04,0.0000000000e+00,0.0000000000e+00
-8.4000000000e-01,5.6761000000e-04,0.0000000000e+00,0.0000000000e+00
-8.8000000000e-01,6.2298000000e-04,0.0000000000e+00,0.0000000000e+00
-9.2000000000e-01,6.7300000000e-04,0.0000000000e+00,0.0000000000e+00
-9.6000000000e-01,7.2582000000e-04,0.0000000000e+00,0.0000000000e+00
-1.0000000000e+00,7.8084000000e-04,0.0000000000e+00,0.0000000000e+00
-1.0400000000e+00,8.3694000000e-04,0.0000000000e+00,0.0000000000e+00
-1.0800000000e+00,9.0166000000e-04,0.0000000000e+00,0.0000000000e+00
-1.1200000000e+00,9.7405000000e-04,0.0000000000e+00,0.0000000000e+00
-1.1600000000e+00,1.0430000000e-03,0.0000000000e+00,0.0000000000e+00
-1.2000000000e+00,1.1127000000e-03,0.0000000000e+00,0.0000000000e+00
-1.2400000000e+00,1.1813000000e-03,0.0000000000e+00,0.0000000000e+00
-1.2800000000e+00,1.2568000000e-03,0.0000000000e+00,0.0000000000e+00
-1.3200000000e+00,1.3367000000e-03,0.0000000000e+00,0.0000000000e+00
-1.3600000000e+00,1.4091000000e-03,0.0000000000e+00,0.0000000000e+00
-1.4000000000e+00,1.5072000000e-03,0.0000000000e+00,0.0000000000e+00
-1.4400000000e+00,1.6025000000e-03,0.0000000000e+00,0.0000000000e+00
-1.4800000000e+00,1.6958000000e-03,0.0000000000e+00,0.0000000000e+00
-1.5200000000e+00,1.8007000000e-03,0.0000000000e+00,0.0000000000e+00
-1.5600000000e+00,1.9124000000e-03,0.0000000000e+00,0.0000000000e+00
-1.6000000000e+00,2.0188000000e-03,0.0000000000e+00,0.0000000000e+00
-1.6400000000e+00,2.1416000000e-03,0.0000000000e+00,0.0000000000e+00
-1.6800000000e+00,2.2698000000e-03,0.0000000000e+00,0.0000000000e+00
-1.7200000000e+00,2.4073000000e-03,0.0000000000e+00,0.0000000000e+00
-1.7600000000e+00,2.5458000000e-03,0.0000000000e+00,0.0000000000e+00
-1.8000000000e+00,2.6941000000e-03,0.0000000000e+00,0.0000000000e+00
-1.8400000000e+00,2.8180000000e-03,0.0000000000e+00,0.0000000000e+00
-1.8800000000e+00,2.9541000000e-03,0.0000000000e+00,0.0000000000e+00
-1.9200000000e+00,3.1331000000e-03,0.0000000000e+00,0.0000000000e+00
-1.9600000000e+00,3.2787000000e-03,0.0000000000e+00,0.0000000000e+00
-2.0000000000e+00,3.4614000000e-03,0.0000000000e+00,0.0000000000e+00
-2.0400000000e+00,3.5985000000e-03,0.0000000000e+00,0.0000000000e+00
-2.0800000000e+00,3.7717000000e-03,0.0000000000e+00,0.0000000000e+00
-2.1200000000e+00,3.9493000000e-03,0.0000000000e+00,0.0000000000e+00
-2.1600000000e+00,4.1247000000e-03,0.0000000000e+00,0.0000000000e+00
-2.2000000000e+00,4.3089000000e-03,0.0000000000e+00,0.0000000000e+00
-2.2400000000e+00,4.5049000000e-03,0.0000000000e+00,0.0000000000e+00
-2.2800000000e+00,4.6940000000e-03,0.0000000000e+00,0.0000000000e+00
-2.3200000000e+00,4.8924000000e-03,0.0000000000e+00,0.0000000000e+00
-2.3600000000e+00,5.0806000000e-03,0.0000000000e+00,0.0000000000e+00
-2.4000000000e+00,5.2706000000e-03,0.0000000000e+00,0.0000000000e+00
-2.4400000000e+00,5.4656000000e-03,0.0000000000e+00,0.0000000000e+00
