# Saved on 2025-06-23T13:40:51.977556
# Name: Evan
# Sample_ID: Batch3_F5_TPTE16
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 3
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -3
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A)
0.0000000000e+00,2.8776000000e-08,2.6465000000e-08,5.7479000000e-08
-3.0000000000e-02,1.0881000000e-05,7.3827000000e-06,1.0873000000e-05
-6.0000000000e-02,2.1600000000e-05,1.5020000000e-05,2.2213000000e-05
-9.0000000000e-02,3.2612000000e-05,2.2835000000e-05,3.3906000000e-05
-1.2000000000e-01,4.3619000000e-05,3.1173000000e-05,4.6969000000e-05
-1.5000000000e-01,5.5114000000e-05,3.9968000000e-05,6.1050000000e-05
-1.8000000000e-01,6.6960000000e-05,4.9368000000e-05,7.1369000000e-05
-2.1000000000e-01,7.9478000000e-05,5.9030000000e-05,8.4759000000e-05
-2.4000000000e-01,9.2373000000e-05,6.9208000000e-05,9.9005000000e-05
-2.7000000000e-01,1.0601000000e-04,7.9830000000e-05,1.1402000000e-04
-3.0000000000e-01,1.2025000000e-04,9.0835000000e-05,1.2972000000e-04
-3.3000000000e-01,1.3516000000e-04,1.0307000000e-04,1.4633000000e-04
-3.6000000000e-01,1.5085000000e-04,1.1514000000e-04,1.6458000000e-04
-3.9000000000e-01,1.6687000000e-04,1.2790000000e-04,1.8325000000e-04
-4.2000000000e-01,1.8377000000e-04,1.4177000000e-04,2.0225000000e-04
-4.5000000000e-01,2.0305000000e-04,1.5615000000e-04,2.2314000000e-04
-4.8000000000e-01,2.2181000000e-04,1.7128000000e-04,2.4296000000e-04
-5.1000000000e-01,2.4172000000e-04,1.8740000000e-04,2.6701000000e-04
-5.4000000000e-01,2.6280000000e-04,2.0456000000e-04,2.8841000000e-04
-5.7000000000e-01,2.8721000000e-04,2.2239000000e-04,3.1200000000e-04
-6.0000000000e-01,3.0652000000e-04,2.4096000000e-04,3.4012000000e-04
-6.3000000000e-01,3.3018000000e-04,2.6039000000e-04,3.6804000000e-04
-6.6000000000e-01,3.5531000000e-04,2.8069000000e-04,3.9273000000e-04
-6.9000000000e-01,3.8278000000e-04,3.0241000000e-04,4.2270000000e-04
-7.2000000000e-01,4.1037000000e-04,3.2731000000e-04,4.5204000000e-04
-7.5000000000e-01,4.3960000000e-04,3.5147000000e-04,4.8481000000e-04
-7.8000000000e-01,4.6173000000e-04,3.7669000000e-04,5.1845000000e-04
-8.1000000000e-01,4.9419000000e-04,4.0356000000e-04,5.5387000000e-04
-8.4000000000e-01,5.3413000000e-04,4.3139000000e-04,5.9462000000e-04
-8.7000000000e-01,5.7162000000e-04,4.6098000000e-04,6.3553000000e-04
-9.0000000000e-01,6.1329000000e-04,4.9321000000e-04,6.7749000000e-04
-9.3000000000e-01,6.5110000000e-04,5.2740000000e-04,7.2239000000e-04
-9.6000000000e-01,6.8895000000e-04,5.6324000000e-04,7.7512000000e-04
-9.9000000000e-01,7.2673000000e-04,6.0035000000e-04,8.2174000000e-04
-1.0200000000e+00,7.7420000000e-04,6.4128000000e-04,8.7533000000e-04
-1.0500000000e+00,8.1643000000e-04,6.8092000000e-04,9.2661000000e-04
-1.0800000000e+00,8.6678000000e-04,7.2517000000e-04,9.8874000000e-04
-1.1100000000e+00,9.2675000000e-04,7.7438000000e-04,1.0447000000e-03
-1.1400000000e+00,9.8021000000e-04,8.2069000000e-04,1.1362000000e-03
-1.1700000000e+00,1.0449000000e-03,8.7613000000e-04,1.1969000000e-03
-1.2000000000e+00,1.0992000000e-03,9.4184000000e-04,1.3334000000e-03
-1.2300000000e+00,1.1613000000e-03,1.0001000000e-03,1.4476000000e-03
-1.2600000000e+00,1.2252000000e-03,1.0577000000e-03,1.5322000000e-03
-1.2900000000e+00,1.2905000000e-03,1.1226000000e-03,1.6140000000e-03
-1.3200000000e+00,1.3601000000e-03,1.1975000000e-03,1.6983000000e-03
-1.3500000000e+00,1.4325000000e-03,1.2715000000e-03,1.7727000000e-03
-1.3800000000e+00,1.5104000000e-03,1.3429000000e-03,1.8670000000e-03
-1.4100000000e+00,1.5918000000e-03,1.4303000000e-03,1.9673000000e-03
-1.4400000000e+00,1.6850000000e-03,1.5143000000e-03,2.0634000000e-03
-1.4700000000e+00,1.7661000000e-03,1.6075000000e-03,2.1511000000e-03
-1.5000000000e+00,1.8718000000e-03,1.7075000000e-03,2.2375000000e-03
-1.5300000000e+00,1.9617000000e-03,1.8193000000e-03,2.3357000000e-03
-1.5600000000e+00,2.0697000000e-03,1.9258000000e-03,2.4435000000e-03
-1.5900000000e+00,2.1719000000e-03,2.0504000000e-03,2.5493000000e-03
-1.6200000000e+00,2.2915000000e-03,2.1806000000e-03,2.6530000000e-03
-1.6500000000e+00,2.4033000000e-03,2.3087000000e-03,2.7604000000e-03
-1.6800000000e+00,2.5173000000e-03,2.4421000000e-03,2.8731000000e-03
-1.7100000000e+00,2.6400000000e-03,2.5693000000e-03,2.9688000000e-03
-1.7400000000e+00,2.7724000000e-03,2.6960000000e-03,3.0956000000e-03
-1.7700000000e+00,2.8970000000e-03,2.8283000000e-03,3.2125000000e-03
-1.8000000000e+00,3.0311000000e-03,2.9635000000e-03,3.3440000000e-03
-1.8300000000e+00,3.1559000000e-03,3.0896000000e-03,3.4526000000e-03
-1.8600000000e+00,3.2914000000e-03,3.2170000000e-03,3.5624000000e-03
-1.8900000000e+00,3.4156000000e-03,3.3588000000e-03,3.6897000000e-03
-1.9200000000e+00,3.5518000000e-03,3.4847000000e-03,3.8114000000e-03
-1.9500000000e+00,3.6824000000e-03,3.6203000000e-03,3.9463000000e-03
-1.9800000000e+00,3.8216000000e-03,3.7471000000e-03,4.0712000000e-03
-2.0100000000e+00,3.9540000000e-03,3.8868000000e-03,4.1879000000e-03
-2.0400000000e+00,4.0872000000e-03,4.0236000000e-03,4.3240000000e-03
-2.0700000000e+00,4.2199000000e-03,4.1573000000e-03,4.4575000000e-03
-2.1000000000e+00,4.3496000000e-03,4.2876000000e-03,4.5878000000e-03
-2.1300000000e+00,4.4857000000e-03,4.4143000000e-03,4.7226000000e-03
-2.1600000000e+00,4.6156000000e-03,4.5473000000e-03,4.8586000000e-03
-2.1900000000e+00,4.7532000000e-03,4.6849000000e-03,4.9961000000e-03
-2.2200000000e+00,4.8889000000e-03,4.8316000000e-03,5.1467000000e-03
-2.2500000000e+00,5.0317000000e-03,4.9614000000e-03,5.2806000000e-03
-2.2800000000e+00,5.1576000000e-03,5.0866000000e-03,5.4072000000e-03
-2.3100000000e+00,5.2894000000e-03,5.2310000000e-03,5.5530000000e-03
