# Saved on 2025-06-18T14:29:43.302953
# Name: Evan
# Sample_ID: Batch3_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.00095
#   max_gtarget: 0.001
#   num_level: 2
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
# SmartProgram:
#   min_gtarget: 0.00095
#   max_gtarget: 0.001
#   num_level: 2
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: False
#   use_fine: False
#   use_ultra_fine: False
#   use_ultra_ultra_fine: False
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 60
#   SampleRate: 60
#   SaveData: True
Voltage (V),Current (A)
1.0000000000e+00,4.5755000000e-09
1.0000000000e+00,4.8584000000e-09
1.0000000000e+00,4.8244000000e-09
1.0000000000e+00,4.8861000000e-09
1.0000000000e+00,5.1166000000e-09
1.0000000000e+00,4.6593000000e-09
1.0000000000e+00,4.5386000000e-09
1.0000000000e+00,4.8316000000e-09
1.0000000000e+00,4.7716000000e-09
1.0000000000e+00,4.7669000000e-09
1.0000000000e+00,4.6573000000e-09
1.0000000000e+00,4.7160000000e-09
1.0000000000e+00,5.2428000000e-09
1.0000000000e+00,4.8636000000e-09
1.0000000000e+00,5.0542000000e-09
1.0000000000e+00,4.7140000000e-09
1.0000000000e+00,4.4501000000e-09
1.0000000000e+00,4.6316000000e-09
1.0000000000e+00,5.1947000000e-09
1.0000000000e+00,4.6940000000e-09
1.0000000000e+00,4.7756000000e-09
1.1000000000e+00,7.3154000000e-09
1.1000000000e+00,8.0060000000e-09
1.1000000000e+00,7.9750000000e-09
1.1000000000e+00,7.9500000000e-09
1.1000000000e+00,8.0540000000e-09
1.1000000000e+00,7.9940000000e-09
1.1000000000e+00,7.9630000000e-09
1.1000000000e+00,8.0950000000e-09
1.1000000000e+00,7.4217000000e-09
1.1000000000e+00,7.1096000000e-09
1.1000000000e+00,7.6160000000e-09
1.1000000000e+00,7.9930000000e-09
1.1000000000e+00,8.3190000000e-09
1.1000000000e+00,8.0780000000e-09
1.1000000000e+00,8.2240000000e-09
1.1000000000e+00,7.5629000000e-09
1.1000000000e+00,7.1121000000e-09
1.1000000000e+00,8.0410000000e-09
1.1000000000e+00,8.2410000000e-09
1.1000000000e+00,7.9200000000e-09
1.1000000000e+00,7.9730000000e-09
1.1000000000e+00,7.9750000000e-09
1.1000000000e+00,7.9970000000e-09
1.1000000000e+00,8.0000000000e-09
1.2000000000e+00,1.3212000000e-08
1.2000000000e+00,1.2483000000e-08
1.2000000000e+00,1.2372000000e-08
1.2000000000e+00,1.2731000000e-08
1.2000000000e+00,1.2554000000e-08
1.2000000000e+00,1.2406000000e-08
1.2000000000e+00,1.2841000000e-08
1.2000000000e+00,1.2745000000e-08
1.2000000000e+00,1.2296000000e-08
1.2000000000e+00,1.2641000000e-08
1.2000000000e+00,1.2641000000e-08
1.2000000000e+00,1.2323000000e-08
1.2000000000e+00,1.2735000000e-08
1.2000000000e+00,1.2864000000e-08
1.2000000000e+00,1.2550000000e-08
1.2000000000e+00,1.2717000000e-08
1.2000000000e+00,1.2877000000e-08
1.2000000000e+00,1.2491000000e-08
1.2000000000e+00,1.2754000000e-08
1.2000000000e+00,1.3102000000e-08
1.2000000000e+00,1.2789000000e-08
