# Saved on 2025-06-24T11:36:23.199570
# Name: Evan
# Sample_ID: Batch3_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.5
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2.3
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.003
#   num_level: 6
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -1
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.003
#   num_level: 6
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: False
#   use_fine: False
#   use_ultra_fine: False
#   use_ultra_ultra_fine: False
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
Time (s),Conductance_Target_1 (S)
1.4400000000e-04,4.0495488065e-04
1.1440000000e-03,4.0612005250e-04
2.1440000000e-03,4.0957856982e-04
3.1440000000e-03,4.1569241148e-04
4.1440000000e-03,4.1463848902e-04
5.1440000000e-03,4.1056264308e-04
6.1440000000e-03,4.1057322960e-04
7.1440000000e-03,4.1928080464e-04
8.1440000000e-03,4.1448511183e-04
9.1440000000e-03,4.1400373448e-04
1.0144000000e-02,4.0344264562e-04
1.1144000000e-02,4.0437174903e-04
1.2144000000e-02,3.9858445234e-04
1.3144000000e-02,4.0550876292e-04
1.4144000000e-02,4.0782175347e-04
1.5144000000e-02,4.0552928112e-04
1.6144000000e-02,4.0309954784e-04
1.7144000000e-02,4.0470931708e-04
1.8144000000e-02,4.1118888475e-04
1.9144000000e-02,4.1297087591e-04
2.0144000000e-02,4.1722669266e-04
2.1144000000e-02,4.0383962187e-04
2.2144000000e-02,4.1136292566e-04
2.3144000000e-02,4.1154034989e-04
2.4144000000e-02,4.1626892198e-04
2.5144000000e-02,4.1378119931e-04
2.6144000000e-02,4.1273731767e-04
2.7144000000e-02,4.0904869820e-04
2.8144000000e-02,4.0197210183e-04
2.9144000000e-02,4.0282684495e-04
3.0144000000e-02,4.0825831093e-04
3.1144000000e-02,4.0971877752e-04
3.2144000000e-02,4.0032078687e-04
3.3144000000e-02,4.0504481149e-04
3.4144000000e-02,4.0465434722e-04
3.5144000000e-02,4.1519153456e-04
3.6144000000e-02,4.1292281821e-04
3.7144000000e-02,4.1937804781e-04
3.8144000000e-02,4.1252216761e-04
3.9144000000e-02,4.1029670683e-04
4.0144000000e-02,4.1336192226e-04
4.1144000000e-02,4.1486877308e-04
4.2144000000e-02,4.1432267608e-04
4.3144000000e-02,4.0968883695e-04
4.4144000000e-02,4.0553604777e-04
4.5144000000e-02,4.0253504267e-04
4.6144000000e-02,4.1450177378e-04
4.7144000000e-02,4.0733033529e-04
4.8144000000e-02,4.0905761125e-04
4.9144000000e-02,4.0233175241e-04
5.0144000000e-02,4.0559134504e-04
5.1144000000e-02,4.0604809328e-04
5.2144000000e-02,4.0976290620e-04
5.3144000000e-02,4.1684666940e-04
5.4144000000e-02,4.1589653847e-04
5.5144000000e-02,4.0999631892e-04
5.6144000000e-02,4.1029841668e-04
5.7144000000e-02,4.1899129428e-04
5.8144000000e-02,4.1493887693e-04
5.9144000000e-02,4.1464965761e-04
6.0144000000e-02,4.0258764784e-04
6.1144000000e-02,4.0587859985e-04
6.2144000000e-02,4.0009246732e-04
6.3144000000e-02,4.0724240534e-04
6.4144000000e-02,4.0827399062e-04
6.5144000000e-02,4.0746337618e-04
