# Saved on 2025-06-24T12:15:49.698534
# Name: Evan
# Sample_ID: Batch3_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.5
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2.3
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.003
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.003
#   num_level: 6
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: False
#   use_fine: False
#   use_ultra_fine: False
#   use_ultra_ultra_fine: False
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
Time (s),Conductance_Target_1 (S)
1.4400000000e-04,3.9997215936e-04
1.1440000000e-03,4.0282728150e-04
2.1440000000e-03,4.0154376620e-04
3.1440000000e-03,3.9287180698e-04
4.1440000000e-03,4.1123992560e-04
5.1440000000e-03,4.1040075303e-04
6.1440000000e-03,4.2067938921e-04
7.1440000000e-03,4.1798881284e-04
8.1440000000e-03,4.2501167627e-04
9.1440000000e-03,4.0927658119e-04
1.0144000000e-02,4.0472121327e-04
1.1144000000e-02,4.0733655624e-04
1.2144000000e-02,4.0781440475e-04
1.3144000000e-02,4.0736016672e-04
1.4144000000e-02,3.9854614442e-04
1.5144000000e-02,4.0953698772e-04
1.6144000000e-02,4.0532373532e-04
1.7144000000e-02,4.1856561438e-04
1.8144000000e-02,4.0964358050e-04
1.9144000000e-02,4.1293100367e-04
2.0144000000e-02,3.9595342969e-04
2.1144000000e-02,3.9744147216e-04
2.2144000000e-02,4.0020386223e-04
2.3144000000e-02,4.0312075726e-04
2.4144000000e-02,4.0885486669e-04
2.5144000000e-02,4.0564787923e-04
2.6144000000e-02,4.0352650103e-04
2.7144000000e-02,4.0559712943e-04
2.8144000000e-02,4.1487797716e-04
2.9144000000e-02,4.1836232413e-04
3.0144000000e-02,4.1939136281e-04
3.1144000000e-02,4.0892868128e-04
3.2144000000e-02,4.1053281166e-04
3.3144000000e-02,4.0508792154e-04
3.4144000000e-02,4.0927006921e-04
3.5144000000e-02,4.1569182940e-04
3.6144000000e-02,3.9865939470e-04
3.7144000000e-02,3.9686496166e-04
3.8144000000e-02,3.9927068428e-04
3.9144000000e-02,4.1998609959e-04
4.0144000000e-02,4.1952127503e-04
4.1144000000e-02,4.2425548600e-04
4.2144000000e-02,3.9850725443e-04
4.3144000000e-02,4.1804127250e-04
4.4144000000e-02,4.0430062654e-04
4.5144000000e-02,4.0771261411e-04
4.6144000000e-02,4.0724931750e-04
4.7144000000e-02,4.0584382077e-04
4.8144000000e-02,4.0224935219e-04
4.9144000000e-02,3.9615897549e-04
5.0144000000e-02,4.0191189328e-04
5.1144000000e-02,4.0329123294e-04
5.2144000000e-02,4.0248894948e-04
5.3144000000e-02,3.9200451283e-04
5.4144000000e-02,4.0023369365e-04
5.5144000000e-02,3.9970214857e-04
5.6144000000e-02,4.1216335376e-04
5.7144000000e-02,4.0862923925e-04
5.8144000000e-02,4.2387011490e-04
5.9144000000e-02,4.2096620746e-04
6.0144000000e-02,4.0261860704e-04
6.1144000000e-02,4.0741135308e-04
6.2144000000e-02,4.0875776904e-04
6.3144000000e-02,4.0798982809e-04
6.4144000000e-02,4.0431135858e-04
6.5144000000e-02,3.9959340938e-04
