# Saved on 2025-06-24T12:30:42.248953
# Name: Evan
# Sample_ID: Batch3_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.5
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2.3
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0003
#   max_gtarget: 0.003
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.003
#   num_level: 6
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: False
#   use_fine: False
#   use_ultra_fine: False
#   use_ultra_ultra_fine: False
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S)
1.4400000000e-04,2.9479935620e-04,5.9418089222e-04
1.1440000000e-03,2.9378219551e-04,5.9102294472e-04
2.1440000000e-03,2.9496404750e-04,5.9097557823e-04
3.1440000000e-03,3.0405219150e-04,5.8354740759e-04
4.1440000000e-03,3.0376888390e-04,5.8914116380e-04
5.1440000000e-03,3.0848812457e-04,5.8930530940e-04
6.1440000000e-03,2.9534730857e-04,5.9197904193e-04
7.1440000000e-03,3.0401415643e-04,5.9794372646e-04
8.1440000000e-03,2.9979793908e-04,5.9965361288e-04
9.1440000000e-03,3.0328030334e-04,5.9760910517e-04
1.0144000000e-02,3.0396935472e-04,5.8994315623e-04
1.1144000000e-02,3.0149791201e-04,5.9895595768e-04
1.2144000000e-02,2.9671478842e-04,5.9595986386e-04
1.3144000000e-02,2.9177006581e-04,5.9604753915e-04
1.4144000000e-02,2.9361028282e-04,5.8385801822e-04
1.5144000000e-02,3.0300237995e-04,5.8743466070e-04
1.6144000000e-02,2.9709195587e-04,5.8815581724e-04
1.7144000000e-02,2.9188839108e-04,5.9963778767e-04
1.8144000000e-02,2.9466138585e-04,5.8974990679e-04
1.9144000000e-02,2.9317217923e-04,5.9205933212e-04
2.0144000000e-02,3.0270846764e-04,5.9036246967e-04
2.1144000000e-02,3.0445975426e-04,5.9004931245e-04
2.2144000000e-02,3.0861901905e-04,5.9327951021e-04
2.3144000000e-02,3.0611663533e-04,5.9421705373e-04
2.4144000000e-02,2.9878090572e-04,5.9938742197e-04
2.5144000000e-02,3.0894854717e-04,5.8821293351e-04
2.6144000000e-02,3.1116622267e-04,5.9372367105e-04
2.7144000000e-02,3.0776725907e-04,5.9703004808e-04
2.8144000000e-02,2.9500546589e-04,6.0066908190e-04
2.9144000000e-02,2.9809101761e-04,5.9397560108e-04
3.0144000000e-02,2.9356942832e-04,5.9499885538e-04
3.1144000000e-02,3.0668845284e-04,5.8985013311e-04
3.2144000000e-02,2.9845858080e-04,5.8562669437e-04
3.3144000000e-02,3.0236662496e-04,5.8409041230e-04
3.4144000000e-02,2.9657807318e-04,5.8502333559e-04
3.5144000000e-02,2.9830265703e-04,5.9199457610e-04
3.6144000000e-02,3.0542334571e-04,5.8594010625e-04
3.7144000000e-02,3.0455588785e-04,5.8934499975e-04
3.8144000000e-02,3.0927807529e-04,5.8669360442e-04
3.9144000000e-02,3.0646227970e-04,5.9707061155e-04
4.0144000000e-02,3.0402434277e-04,5.9400317696e-04
4.1144000000e-02,3.0531165976e-04,6.0002483224e-04
4.2144000000e-02,3.1332961953e-04,5.8802561398e-04
4.3144000000e-02,3.0787075957e-04,5.9282076109e-04
