# Saved on 2025-06-24T12:51:19.021874
# Name: Evan
# Sample_ID: Batch3_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.5
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2.3
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0002
#   max_gtarget: 0.0013
#   num_level: 12
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0002
#   max_gtarget: 0.0013
#   num_level: 6
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: False
#   use_fine: False
#   use_ultra_fine: False
#   use_ultra_ultra_fine: False
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S),Conductance_Target_3 (S),Conductance_Target_4 (S),Conductance_Target_5 (S),Conductance_Target_6 (S),Conductance_Target_7 (S)
1.4400000000e-04,2.1676247343e-04,3.2427480619e-04,4.0014376282e-04,5.0847098464e-04,6.0408034187e-04,6.8489884143e-04,7.9220575572e-04
1.1440000000e-03,2.1365372959e-04,3.1467192457e-04,4.0604754759e-04,4.9587841204e-04,5.9369653172e-04,7.0060988946e-04,7.9288576671e-04
2.1440000000e-03,2.1855206796e-04,3.1676252547e-04,3.9936003304e-04,5.0419450417e-04,6.0786820541e-04,6.9080531830e-04,7.9631565313e-04
3.1440000000e-03,2.1901478249e-04,3.1586791010e-04,3.9994076360e-04,5.0124312111e-04,6.0781068896e-04,6.9332985731e-04,7.7990989666e-04
4.1440000000e-03,2.1770838430e-04,3.1782281440e-04,4.0111965063e-04,5.1035316574e-04,6.0598740674e-04,6.8728484621e-04,7.9035453382e-04
5.1440000000e-03,2.0731751647e-04,3.1877887523e-04,4.1280534788e-04,5.1167655329e-04,5.9719091951e-04,6.9220950536e-04,7.9036748502e-04
6.1440000000e-03,2.0766005036e-04,3.1438677979e-04,4.1319141019e-04,5.1616843848e-04,5.9247693571e-04,6.9049754529e-04,7.9546785855e-04
7.1440000000e-03,2.0068384401e-04,3.0978248105e-04,4.1901486838e-04,5.1011480537e-04,5.8785950387e-04,6.9168971095e-04,7.9026089224e-04
8.1440000000e-03,2.1412986825e-04,3.0594925192e-04,4.0691724280e-04,5.0317932619e-04,6.0225891502e-04,6.9884474215e-04,7.9141718743e-04
9.1440000000e-03,2.0927082005e-04,3.1580191717e-04,4.1212351789e-04,5.1501967391e-04,5.9370475356e-04,6.9814115705e-04,7.9181074398e-04
1.0144000000e-02,2.1029774871e-04,3.1105326343e-04,4.1071616579e-04,5.1097973483e-04,5.9738023992e-04,6.9485089625e-04,7.8426099208e-04
1.1144000000e-02,2.0631123334e-04,3.1319461414e-04,4.1280251025e-04,5.0950355217e-04,5.9503050579e-04,6.9419846113e-04,7.8528522863e-04
1.2144000000e-02,2.0773102733e-04,3.0506977055e-04,4.0897193685e-04,5.0191265473e-04,5.9444253566e-04,7.0162306656e-04,7.8771343397e-04
1.3144000000e-02,2.1066472982e-04,3.0994237022e-04,4.1012495785e-04,5.0394031859e-04,5.9736961703e-04,6.9617861300e-04,7.9022080172e-04
1.4144000000e-02,2.1578898668e-04,3.1033130654e-04,4.0570597776e-04,4.9764636060e-04,6.0526839661e-04,6.9722249464e-04,7.8113429481e-04
1.5144000000e-02,2.2061227355e-04,3.1583302189e-04,4.0155620809e-04,5.1207676734e-04,6.0274735006e-04,6.8491382990e-04,7.8587290773e-04
1.6144000000e-02,2.1696561816e-04,3.2119336538e-04,4.0989605623e-04,5.0637190725e-04,5.9676738601e-04,6.8938184995e-04,7.8744626080e-04
1.7144000000e-02,2.1430021661e-04,3.2257750718e-04,4.0844573959e-04,5.0934449973e-04,5.9656747908e-04,6.8454086431e-04,7.9869481851e-04
1.8144000000e-02,2.1385518266e-04,3.1630122976e-04,4.0721301048e-04,5.0734040997e-04,6.0504138673e-04,6.8938963523e-04,7.9307887063e-04
1.9144000000e-02,2.2298643671e-04,3.1401370507e-04,4.0047940274e-04,5.0709881180e-04,6.1370468757e-04,6.9314679422e-04,7.9793659097e-04
2.0144000000e-02,2.1664598535e-04,3.2235810068e-04,4.0823426389e-04,5.0899518101e-04,6.0372323787e-04,6.9064539275e-04,7.9276003817e-04
2.1144000000e-02,2.1640000341e-04,3.2008614653e-04,4.0724524297e-04,5.1061415434e-04,6.0719205067e-04,6.9162510044e-04,7.9033954535e-04
2.2144000000e-02,2.0859974029e-04,3.1885676435e-04,4.1293751565e-04,5.1584611356e-04,5.9861326008e-04,6.8975037721e-04,7.9156008724e-04
2.3144000000e-02,2.0559435143e-04,3.0997856811e-04,4.1557846998e-04,5.1113933296e-04,5.9207333834e-04,6.9660331064e-04,7.9032040958e-04
2.4144000000e-02,2.0096404114e-04,3.0920346035e-04,4.1908373532e-04,5.1122176956e-04,5.8993242419e-04,6.9696383434e-04,7.9275610915e-04
2.5144000000e-02,2.0681240130e-04,3.0358509321e-04,4.1448267439e-04,5.1268605603e-04,5.8861427533e-04,6.9928457378e-04,7.8657089034e-04
2.6144000000e-02,2.1175894290e-04,3.1259081879e-04,4.0975060983e-04,5.2149443945e-04,5.9770522057e-04,6.8512505095e-04,7.8646698967e-04
2.7144000000e-02,2.0494559067e-04,3.1150961149e-04,4.1539537051e-04,5.0891656429e-04,5.9047582909e-04,6.9563619036e-04,7.8376535384e-04
2.8144000000e-02,2.0549341571e-04,3.1256156944e-04,4.1471848817e-04,5.1019116654e-04,5.9866244555e-04,6.9330031693e-04,7.9873934737e-04
2.9144000000e-02,2.0664472686e-04,3.0905655876e-04,4.0996845200e-04,5.0522059610e-04,6.0002526880e-04,6.9890171289e-04,7.8934048361e-04
3.0144000000e-02,2.1666153771e-04,3.0983126635e-04,3.9967257180e-04,5.0256749091e-04,6.0318743635e-04,6.9518886448e-04,7.8935729107e-04
3.1144000000e-02,2.1686368200e-04,3.1459305319e-04,4.0517697926e-04,4.9802438298e-04,6.0096554080e-04,6.9601774157e-04,7.8381119238e-04
3.2144000000e-02,2.2302334401e-04,3.1916424632e-04,3.9929964259e-04,5.0006354286e-04,6.0619098804e-04,6.9463610998e-04,7.8866345575e-04
3.3144000000e-02,2.0990670237e-04,3.2336676668e-04,4.1081399104e-04,5.0315742556e-04,5.9121310187e-04,6.8727909820e-04,7.8820768977e-04
3.4144000000e-02,2.1551968530e-04,3.1267678423e-04,4.0726939915e-04,4.9938083976e-04,6.0091857449e-04,6.9002082455e-04,7.8862256487e-04
3.5144000000e-02,2.1349016606e-04,3.1679926906e-04,4.0775910747e-04,5.0078735512e-04,5.9644931753e-04,6.9217108830e-04,7.9590259702e-04
3.6144000000e-02,2.1736725103e-04,3.1688650779e-04,4.0624927351e-04,5.0017646572e-04,5.9793554101e-04,6.9381392677e-04,7.9521676525e-04
3.7144000000e-02,2.2068874387e-04,3.2359650504e-04,4.0615610487e-04,5.0604292483e-04,5.9928534029e-04,6.8512490543e-04,7.9166842625e-04
