# Saved on 2025-06-24T12:58:57.515812
# Name: Evan
# Sample_ID: Batch3_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.5
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2.3
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0002
#   max_gtarget: 0.0013
#   num_level: 12
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0002
#   max_gtarget: 0.0013
#   num_level: 6
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: False
#   use_fine: False
#   use_ultra_fine: False
#   use_ultra_ultra_fine: False
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S),Conductance_Target_3 (S),Conductance_Target_4 (S),Conductance_Target_5 (S),Conductance_Target_6 (S)
1.4400000000e-04,2.1229474441e-04,2.9025231925e-04,4.1899707867e-04,4.8978206905e-04,6.0256712459e-04,6.8344299507e-04
1.1440000000e-03,2.1177153030e-04,2.8900429243e-04,4.1364139179e-04,4.8970388889e-04,5.9814632550e-04,6.8238579843e-04
2.1440000000e-03,2.0380233764e-04,2.9601429560e-04,4.0805385652e-04,4.9738722737e-04,5.8836420067e-04,6.8046065280e-04
3.1440000000e-03,2.0208382921e-04,2.8388923965e-04,4.0183625970e-04,4.9224050599e-04,5.9168287407e-04,6.7122055043e-04
4.1440000000e-03,1.9623039407e-04,2.8861029932e-04,3.9830229071e-04,4.8697744205e-04,5.8628731495e-04,6.8016925070e-04
5.1440000000e-03,2.0911404135e-04,2.8702115742e-04,4.1950741434e-04,4.8654823331e-04,5.9676964156e-04,6.8130124419e-04
6.1440000000e-03,2.0280482204e-04,2.9032498787e-04,4.1007759137e-04,4.8351681471e-04,5.9359659645e-04,6.8701163400e-04
7.1440000000e-03,2.0534511350e-04,2.8878588637e-04,4.1127528675e-04,4.8250021791e-04,5.9355868871e-04,6.8574663601e-04
8.1440000000e-03,1.9970853828e-04,2.8595606636e-04,4.0638260543e-04,4.8201702157e-04,5.9345351474e-04,6.9003537646e-04
9.1440000000e-03,2.0155948732e-04,2.8039978133e-04,4.0781960706e-04,4.8894686188e-04,5.9085781686e-04,6.8837878644e-04
1.0144000000e-02,2.0395318643e-04,2.7680727726e-04,4.1139770474e-04,4.8112313380e-04,5.9415415308e-04,6.8136090704e-04
1.1144000000e-02,2.0898596631e-04,2.8322536309e-04,4.1293002141e-04,4.8524634622e-04,5.9775273257e-04,6.8663808634e-04
1.2144000000e-02,2.1536658096e-04,2.8248274248e-04,4.2125306209e-04,4.8560315918e-04,6.0240919993e-04,6.8731162173e-04
1.3144000000e-02,2.1449135602e-04,2.8224325433e-04,4.1511590098e-04,4.9542628403e-04,5.9264868469e-04,6.8605309934e-04
1.4144000000e-02,2.0950719772e-04,2.7397860322e-04,4.1404910007e-04,4.8820438678e-04,5.9628728195e-04,6.7618275352e-04
1.5144000000e-02,2.0931167455e-04,2.8053818824e-04,4.1525825509e-04,4.9931255489e-04,5.9774738475e-04,6.7913046223e-04
1.6144000000e-02,2.1788946469e-04,2.8059954275e-04,4.2586285417e-04,4.9003203458e-04,6.0547099565e-04,6.7309563747e-04
1.7144000000e-02,2.1225288947e-04,2.8706426747e-04,4.1808438255e-04,4.8924204748e-04,5.9756202972e-04,6.8759080023e-04
1.8144000000e-02,2.1189056497e-04,2.8950771593e-04,4.1501552914e-04,4.9130605476e-04,5.9751495428e-04,6.7911802034e-04
