# Saved on 2025-06-18T14:31:05.140948
# Name: Evan
# Sample_ID: Batch3_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.00095
#   max_gtarget: 0.001
#   num_level: 2
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
# SmartProgram:
#   min_gtarget: 0.00095
#   max_gtarget: 0.001
#   num_level: 2
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: False
#   use_fine: False
#   use_ultra_fine: False
#   use_ultra_ultra_fine: False
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 60
#   SampleRate: 60
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,1.4012000000e-07,3.3187000000e-08
-1.1000000000e-02,9.1789000000e-06,8.0454000000e-06
-2.2000000000e-02,1.9038000000e-05,1.6932000000e-05
-3.3000000000e-02,2.8454000000e-05,2.5504000000e-05
-4.4000000000e-02,3.8514000000e-05,3.4466000000e-05
-5.5000000000e-02,4.7948000000e-05,4.2606000000e-05
-6.6000000000e-02,5.7734000000e-05,5.0954000000e-05
-7.7000000000e-02,6.7766000000e-05,5.9946000000e-05
-8.8000000000e-02,7.7286000000e-05,6.8176000000e-05
-9.9000000000e-02,8.6964000000e-05,7.6696000000e-05
-1.1000000000e-01,9.7176000000e-05,8.5586000000e-05
-1.2100000000e-01,1.0648000000e-04,9.4050000000e-05
-1.3200000000e-01,1.1698000000e-04,1.0372000000e-04
-1.4300000000e-01,1.2728000000e-04,1.1196000000e-04
-1.5400000000e-01,1.3668000000e-04,1.2050000000e-04
-1.6500000000e-01,1.4648000000e-04,1.2906000000e-04
-1.7600000000e-01,1.5592000000e-04,1.3740000000e-04
-1.8700000000e-01,1.6594000000e-04,1.4668000000e-04
-1.9800000000e-01,1.7628000000e-04,1.5562000000e-04
-2.0900000000e-01,1.8588000000e-04,1.6436000000e-04
-2.2000000000e-01,1.9616000000e-04,1.7248000000e-04
-2.3100000000e-01,2.0610000000e-04,1.8148000000e-04
-2.4200000000e-01,2.1520000000e-04,1.9038000000e-04
-2.5300000000e-01,2.2552000000e-04,1.9970000000e-04
-2.6400000000e-01,2.3578000000e-04,2.0842000000e-04
-2.7500000000e-01,2.4586000000e-04,2.1718000000e-04
-2.8600000000e-01,2.5634000000e-04,2.2626000000e-04
-2.9700000000e-01,2.6550000000e-04,2.3472000000e-04
-3.0800000000e-01,2.7542000000e-04,2.4338000000e-04
-3.1900000000e-01,2.8534000000e-04,2.5316000000e-04
-3.3000000000e-01,2.9580000000e-04,2.6176000000e-04
-3.4100000000e-01,3.0578000000e-04,2.7014000000e-04
-3.5200000000e-01,3.1556000000e-04,2.7886000000e-04
-3.6300000000e-01,3.2486000000e-04,2.8706000000e-04
-3.7400000000e-01,3.3498000000e-04,2.9632000000e-04
-3.8500000000e-01,3.4480000000e-04,3.0502000000e-04
-3.9600000000e-01,3.5452000000e-04,3.1382000000e-04
-4.0700000000e-01,3.6452000000e-04,3.2262000000e-04
-4.1800000000e-01,3.7490000000e-04,3.3090000000e-04
-4.2900000000e-01,3.8356000000e-04,3.3950000000e-04
-4.4000000000e-01,3.9338000000e-04,3.4876000000e-04
-4.5100000000e-01,4.0362000000e-04,3.5742000000e-04
-4.6200000000e-01,4.1366000000e-04,3.6638000000e-04
