# Saved on 2025-06-24T17:15:07.607190
# Name: Evan
# Sample_ID: Batch3_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.5
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 0.1
#   Neg_Voltage: -5
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.01
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0002
#   max_gtarget: 0.0013
#   num_level: 12
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0002
#   max_gtarget: 0.0013
#   num_level: 6
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: False
#   use_fine: False
#   use_ultra_fine: False
#   use_ultra_ultra_fine: False
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A),Loop 4 (A),Loop 5 (A)
0.0000000000e+00,4.2617000000e-08,9.7945000000e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-5.0000000000e-02,7.1565000000e-06,1.0318000000e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-1.0000000000e-01,1.4916000000e-05,2.1456000000e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-1.5000000000e-01,2.3908000000e-05,3.4120000000e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-2.0000000000e-01,3.5376000000e-05,4.8330000000e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-2.5000000000e-01,4.9532000000e-05,6.4822000000e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-3.0000000000e-01,6.4518000000e-05,8.3762000000e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-3.5000000000e-01,8.0962000000e-05,1.0512000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-4.0000000000e-01,1.0001400000e-04,1.2894000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-4.5000000000e-01,1.2110000000e-04,1.5586000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-5.0000000000e-01,1.4414000000e-04,1.8700000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-5.5000000000e-01,1.7032000000e-04,2.2208000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-6.0000000000e-01,2.0766000000e-04,2.6144000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-6.5000000000e-01,2.3910000000e-04,3.0752000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-7.0000000000e-01,2.8468000000e-04,3.5812000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-7.5000000000e-01,3.3172000000e-04,4.1560000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-8.0000000000e-01,3.8548000000e-04,4.8104000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-8.5000000000e-01,4.4862000000e-04,5.5296000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-9.0000000000e-01,5.2306000000e-04,6.3510000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-9.5000000000e-01,6.0548000000e-04,7.2546000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-1.0000000000e+00,7.0504000000e-04,8.2536000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-1.0500000000e+00,8.1608000000e-04,9.3412000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
